"sp" "spn" "depth" "taxa" "ntip"
"species" 161 0.00705240238788085 "Zotu234_P3_A07_81ACON3_S507_N701;size=5" 5
"species" 161 0.00705240238788085 "Zotu121_P2_G01_87ACONS9_S505_N707;size=2" 5
"species" 161 0.00705240238788085 "Zotu130_P2_G01_87ACONS9_S505_N707;size=4" 5
"species" 161 0.00705240238788085 "Zotu230_P3_A07_81ACON3_S507_N701;size=3" 5
"species" 161 0.00705240238788085 "Zotu192_P3_E01_83ACON5_S517_N710;size=1" 5
"species" 162 0.0122061456908838 "Zotu159_P3_A05_107ACON20_S507_N712;size=2" 3
"species" 162 0.0122061456908838 "Zotu344_P3_A05_107ACON20_S507_N712;size=1" 3
"species" 162 0.0122061456908838 "Zotu183_P3_C06_84ACON6_S504_N701;size=2" 3
"species" 16 0.00119355138485481 "Zotu261_P3_G07_111ACON24_S502_N702;size=1" 2
"species" 16 0.00119355138485481 "Zotu129_P3_G08_127ACON17_S506_N702;size=1" 2
"species" 142 0.00119355138485481 "Zotu154_P1_D06_74SHCON5_S517_N703;size=2" 2
"species" 142 0.00119355138485481 "Zotu156_P1_A01_32TCONS2_S502_N701;size=2" 2
"species" 46 0.00119355138485481 "Zotu99_P3_C05_110ACON23_S508_N712;size=1" 2
"species" 46 0.00119355138485481 "Zotu76_P2_A02_76SHCON7_S506_N707;size=1" 2
"species" 65 0.0115548381773806 "Zotu194_P1_H08_70SHCON1_S504_N705;size=1" 5
"species" 65 0.0115548381773806 "Zotu156_P1_H08_70SHCON1_S504_N705;size=1" 5
"species" 65 0.0115548381773806 "Zotu176_P1_H08_70SHCON1_S504_N705;size=1" 5
"species" 65 0.0115548381773806 "Zotu160_P1_H08_70SHCON1_S504_N705;size=1" 5
"species" 65 0.0115548381773806 "Zotu88_P2_A02_76SHCON7_S506_N707;size=1" 5
"species" 69 0.00359176832970972 "Zotu181_P3_G03_126ACON16_S502_N712;size=1" 2
"species" 69 0.00359176832970972 "Zotu282_P3_E03_86ACON8_S517_N711;size=2" 2
"species" 125 0.00299629667708754 "Zotu216_P2_G02_14SHCN5C2_S517_N707;size=2" 3
"species" 125 0.00299629667708754 "Zotu183_P1_H01_75SHCON6_S506_N701;size=2" 3
"species" 125 0.00299629667708754 "Zotu150_P4_E06_120ACON10_S508_N705;size=1" 3
"species" 126 0.00359929762746443 "Zotu81_P1_B08_17IZPOC2_S517_N704;size=3" 2
"species" 126 0.00359929762746443 "Zotu304_P2_C01_18IZTAC3_S503_N707;size=1" 2
"species" 148 0.0119955625273559 "Zotu111_P1_B06_71SHCON2_S508_N703;size=3" 7
"species" 148 0.0119955625273559 "Zotu201_P1_B06_71SHCON2_S508_N703;size=2" 7
"species" 148 0.0119955625273559 "Zotu146_P1_B06_71SHCON2_S508_N703;size=1" 7
"species" 148 0.0119955625273559 "Zotu39_P1_D07_35TCONS5_S506_N704;size=1" 7
"species" 148 0.0119955625273559 "Zotu79_P1_H08_70SHCON1_S504_N705;size=1" 7
"species" 148 0.0119955625273559 "Zotu44_P1_H08_70SHCON1_S504_N705;size=1" 7
"species" 148 0.0119955625273559 "Zotu156_P1_D07_35TCONS5_S506_N704;size=1" 7
"species" 169 0.0084577483752189 "Zotu7_P1_B08_17IZPOC2_S517_N704;size=3" 3
"species" 169 0.0084577483752189 "Zotu7_P3_G07_111ACON24_S502_N702;size=1" 3
"species" 169 0.0084577483752189 "Zotu91_P3_E03_86ACON8_S517_N711;size=1" 3
"species" 171 0.00635508558888095 "Zotu174_P1_A01_32TCONS2_S502_N701;size=22" 8
