"sp" "spn" "depth" "taxa" "ntip"
"species" "18" "0.001192694732365" "Zotu121_P1_G02_20MMC2_S502_N7021" "2"
"species" "18" "0.001192694732365" "Zotu221_P1_G02_20MMC2_S502_N7021" "2"
"species" "27" "0.00360007763899639" "Zotu210_P1_D07_35TCONS5_S506_N7043" "2"
"species" "27" "0.00360007763899639" "Zotu213_P1_D07_35TCONS5_S506_N7041" "2"
"species" "74" "0.00179363840416542" "Zotu79_P1_D07_35TCONS5_S506_N7041" "3"
"species" "74" "0.00179363840416542" "Zotu210_P1_H01_75SHCON6_S506_N7011" "3"
"species" "74" "0.00179363840416542" "Zotu125_P1_G03_33TCONS3_S506_N7021" "3"
"species" "76" "0.00239363996506992" "Zotu24_P3_G07_111ACON24_S502_N7021" "2"
"species" "76" "0.00239363996506992" "Zotu191_P1_H09_37TCONS7_S508_N7051" "2"
"species" "85" "0.00119363684326092" "Zotu179_P3_A07_81ACON3_S507_N7011" "2"
"species" "85" "0.00119363684326092" "Zotu184_P3_C04_79ACON1_S504_N7121" "2"
"species" "97" "0.00360007763899639" "Zotu192_P1_F11_78SHCON9_S508_N7061" "2"
"species" "97" "0.00360007763899639" "Zotu136_P1_B06_71SHCON2_S508_N7031" "2"
"species" "98" "0.00428313638233662" "Zotu137_P1_D05_13SHC4C1_S505_N7035" "8"
"species" "98" "0.00428313638233662" "Zotu179_P1_D05_13SHC4C1_S505_N7031" "8"
"species" "98" "0.00428313638233662" "Zotu286_P3_G02_82ACON4_S506_N7111" "8"
"species" "98" "0.00428313638233662" "Zotu198_P1_F05_15SHC6C3_S506_N7031" "8"
"species" "98" "0.00428313638233662" "Zotu185_P1_D05_13SHC4C1_S505_N7031" "8"
"species" "98" "0.00428313638233662" "Zotu194_P2_G02_14SHCN5C2_S517_N7071" "8"
"species" "98" "0.00428313638233662" "Zotu229_P2_G02_14SHCN5C2_S517_N7071" "8"
"species" "98" "0.00428313638233662" "Zotu208_P3_A02_39TCONSER9_S503_N7111" "8"
"species" "104" "0.00239578481577574" "Zotu193_P3_C04_79ACON1_S504_N7125" "4"
"species" "104" "0.00239578481577574" "Zotu238_P3_A01_85ACON7_S507_N7103" "4"
"species" "104" "0.00239578481577574" "Zotu181_P3_E04_121ACON11_S505_N7121" "4"
"species" "104" "0.00239578481577574" "Zotu193_P3_C06_84ACON6_S504_N7011" "4"
"species" "127" "0.00119363684326092" "Zotu191_P2_A01_16IZPOC1_S502_N7073" "2"
"species" "127" "0.00119363684326092" "Zotu225_P1_B06_71SHCON2_S508_N7031" "2"
"species" "128" "0.00119363684326092" "Zotu186_P1_D05_13SHC4C1_S505_N7032" "2"
"species" "128" "0.00119363684326092" "Zotu70_P3_G08_127ACON17_S506_N7021" "2"
"species" "135" "0.00238918715579837" "Zotu153_P1_A03_38TCONS8_S503_N7022" "2"
"species" "135" "0.00238918715579837" "Zotu146_P3_C04_79ACON1_S504_N7121" "2"
"species" "136" "0.00119363684326092" "Zotu4_P1_B08_17IZPOC2_S517_N7045" "2"
"species" "136" "0.00119363684326092" "Zotu166_P2_A01_16IZPOC1_S502_N7071" "2"
"species" "138" "0.00179363840416542" "Zotu179_P1_B08_17IZPOC2_S517_N7042" "3"
"species" "138" "0.00179363840416542" "Zotu118_P1_G02_20MMC2_S502_N7021" "3"
"species" "138" "0.00179363840416542" "Zotu242_P3_A02_39TCONSER9_S503_N7111" "3"
"species" "140" "0.00481630646070268" "Zotu299_P3_G02_82ACON4_S506_N7111" "3"
"species" "140" "0.00481630646070268" "Zotu127_P3_A06_128ACON18_S503_N7011" "3"
"species" "140" "0.00481630646070268" "Zotu258_P3_A05_107ACON20_S507_N7121" "3"
"species" "141" "0.00725586588395834" "Zotu147_P1_G03_33TCONS3_S506_N7021" "4"
"species" "141" "0.00725586588395834" "Zotu209_P1_D07_35TCONS5_S506_N7041" "4"
"species" "141" "0.00725586588395834" "Zotu183_P1_D08_34TCONS4_S502_N7051" "4"
"species" "141" "0.00725586588395834" "Zotu249_P3_A02_39TCONSER9_S503_N7111" "4"
"species" "145" "0.00199363892446692" "Zotu83_P1_B08_17IZPOC2_S517_N7043" "4"
"species" "145" "0.00199363892446692" "Zotu106_P1_B08_17IZPOC2_S517_N7042" "4"
"species" "145" "0.00199363892446692" "Zotu104_P2_A01_16IZPOC1_S502_N7071" "4"
"species" "145" "0.00199363892446692" "Zotu296_P2_C01_18IZTAC3_S503_N7071" "4"
"species" "147" "0.00435698764521858" "Zotu24_P1_D05_13SHC4C1_S505_N7038" "6"
"species" "147" "0.00435698764521858" "Zotu86_P1_B06_71SHCON2_S508_N7034" "6"
"species" "147" "0.00435698764521858" "Zotu32_P1_G02_20MMC2_S502_N7021" "6"
"species" "147" "0.00435698764521858" "Zotu198_P1_H01_75SHCON6_S506_N7011" "6"
"species" "147" "0.00435698764521858" "Zotu206_P1_E02_21MMC3_S517_N7011" "6"
