"sp" "spn" "depth" "taxa" "ntip"
"species" 178 0.0184401475705541 "Zotu328_P3_G06_108ACON21_S506_N7012" 3
"species" 178 0.0184401475705541 "Zotu255_P3_G06_108ACON21_S506_N7011" 3
"species" 178 0.0184401475705541 "Zotu156_P3_C06_84ACON6_S504_N7011" 3
"species" 204 0.0267032041761721 "Zotu350_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu238_P3_C05_110ACON23_S508_N7128" 18
"species" 204 0.0267032041761721 "Zotu305_P3_C05_110ACON23_S508_N7121" 18
"species" 204 0.0267032041761721 "Zotu274_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu276_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu173_P3_C05_110ACON23_S508_N7121" 18
"species" 204 0.0267032041761721 "Zotu250_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu281_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu212_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu241_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu231_P3_A05_107ACON20_S507_N7123" 18
"species" 204 0.0267032041761721 "Zotu132_P3_H03G04_123ACON13_S506_N7121" 18
"species" 204 0.0267032041761721 "Zotu230_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu136_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu344_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu263_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu389_P3_G06_108ACON21_S506_N7011" 18
"species" 204 0.0267032041761721 "Zotu287_P3_G06_108ACON21_S506_N7011" 18
"species" 186 0.00562554431673764 "Zotu57_P3_A01_85ACON7_S507_N7102" 4
"species" 186 0.00562554431673764 "Zotu200_P3_G06_108ACON21_S506_N7011" 4
"species" 186 0.00562554431673764 "Zotu290_P3_A01_85ACON7_S507_N7101" 4
"species" 186 0.00562554431673764 "Zotu263_P3_C06_84ACON6_S504_N7011" 4
"species" 195 0.0281440384198215 "Zotu285_P3_A05_107ACON20_S507_N7122" 48
"species" 195 0.0281440384198215 "Zotu420_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu376_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu303_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu215_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu124_P1_H09_37TCONS7_S508_N7051" 48
"species" 195 0.0281440384198215 "Zotu321_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu223_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu361_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu353_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu378_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu400_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu363_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu407_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu300_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu247_P3_G06_108ACON21_S506_N7012" 48
"species" 195 0.0281440384198215 "Zotu337_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu421_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu297_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu331_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu190_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu340_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu137_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu260_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu224_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu234_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu256_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu145_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu112_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu233_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu204_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu299_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu261_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu135_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu405_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu282_P3_A02_39TCONSER9_S503_N7111" 48
"species" 195 0.0281440384198215 "Zotu293_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu214_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu202_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu244_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu272_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu347_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu320_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu313_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu380_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu349_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu229_P3_G06_108ACON21_S506_N7011" 48
"species" 195 0.0281440384198215 "Zotu191_P3_G06_108ACON21_S506_N7011" 48
"species" 207 0.0249973609362271 "Zotu78_P4_C10_106ACON19_S508_N7071" 2
"species" 207 0.0249973609362271 "Zotu210_P3_G06_108ACON21_S506_N7011" 2
"species" 182 0.0159264705512314 "Zotu270_P3_C06_84ACON6_S504_N7011" 2
"species" 182 0.0159264705512314 "Zotu152_P3_G06_108ACON21_S506_N7011" 2
"species" 210 0.0151577607024663 "Zotu13_P1_A01_32TCONS2_S502_N7019" 44
"species" 210 0.0151577607024663 "Zotu12_P1_D07_35TCONS5_S506_N7043" 44
"species" 210 0.0151577607024663 "Zotu31_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu38_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu44_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu64_P1_G03_33TCONS3_S506_N7022" 44
"species" 210 0.0151577607024663 "Zotu45_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu8_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu21_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu17_P1_D07_35TCONS5_S506_N7042" 44
"species" 210 0.0151577607024663 "Zotu42_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu14_P1_D08_34TCONS4_S502_N7052" 44
"species" 210 0.0151577607024663 "Zotu232_P2_C01_18IZTAC3_S503_N7071" 44
"species" 210 0.0151577607024663 "Zotu4_P1_D07_35TCONS5_S506_N7045" 44
"species" 210 0.0151577607024663 "Zotu13_P1_D07_35TCONS5_S506_N7042" 44
"species" 210 0.0151577607024663 "Zotu39_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu40_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu29_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu30_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu302_P2_C01_18IZTAC3_S503_N7071" 44
"species" 210 0.0151577607024663 "Zotu65_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu141_P1_A03_38TCONS8_S503_N7023" 44
"species" 210 0.0151577607024663 "Zotu118_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu42_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu39_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu51_P1_D07_35TCONS5_S506_N7042" 44
"species" 210 0.0151577607024663 "Zotu28_P1_H09_37TCONS7_S508_N7051" 44
"species" 210 0.0151577607024663 "Zotu29_P1_H09_37TCONS7_S508_N7051" 44
"species" 210 0.0151577607024663 "Zotu143_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu26_P1_H09_37TCONS7_S508_N7051" 44
"species" 210 0.0151577607024663 "Zotu63_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu30_P1_D07_35TCONS5_S506_N7042" 44
"species" 210 0.0151577607024663 "Zotu68_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu98_P1_G03_33TCONS3_S506_N7022" 44
"species" 210 0.0151577607024663 "Zotu19_P1_D07_35TCONS5_S506_N7041" 44
"species" 210 0.0151577607024663 "Zotu26_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu98_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu75_P2_E01_31TCONS1_S504_N7071" 44
"species" 210 0.0151577607024663 "Zotu89_P1_D08_34TCONS4_S502_N7051" 44
"species" 210 0.0151577607024663 "Zotu56_P2_E01_31TCONS1_S504_N7071" 44
"species" 210 0.0151577607024663 "Zotu83_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu94_P1_G03_33TCONS3_S506_N7021" 44
"species" 210 0.0151577607024663 "Zotu129_P2_E01_31TCONS1_S504_N7071" 44
"species" 210 0.0151577607024663 "Zotu240_P1_D07_35TCONS5_S506_N7041" 44
"species" 209 0.00119625669748204 "Zotu1_P3_A05_107ACON20_S507_N7124" 2
"species" 209 0.00119625669748204 "Zotu181_P3_G06_108ACON21_S506_N7011" 2
"species" 219 0.00179734371492571 "Zotu68_P2_G01_87ACONS9_S505_N7074" 3
"species" 219 0.00179734371492571 "Zotu91_P3_E04_121ACON11_S505_N7123" 3
