"sp" "spn" "depth" "taxa" "ntip"
"species" "14" "0.00660790463622523" "Zotu211_P3_A01_85ACON7_S507_N71012" "11"
"species" "14" "0.00660790463622523" "Zotu57_P1_G02_20MMC2_S502_N7025" "11"
"species" "14" "0.00660790463622523" "Zotu241_P3_G02_82ACON4_S506_N7111" "11"
"species" "14" "0.00660790463622523" "Zotu81_P1_B06_71SHCON2_S508_N7035" "11"
"species" "14" "0.00660790463622523" "Zotu112_P1_A01_32TCONS2_S502_N7013" "11"
"species" "14" "0.00660790463622523" "Zotu117_P1_D08_34TCONS4_S502_N7051" "11"
"species" "14" "0.00660790463622523" "Zotu61_P1_D05_13SHC4C1_S505_N7035" "11"
"species" "14" "0.00660790463622523" "Zotu171_P1_F11_78SHCON9_S508_N7062" "11"
"species" "14" "0.00660790463622523" "Zotu108_P4_C10_106ACON19_S508_N7071" "11"
"species" "14" "0.00660790463622523" "Zotu130_P1_D05_13SHC4C1_S505_N7033" "11"
"species" "14" "0.00660790463622523" "Zotu243_P1_D05_13SHC4C1_S505_N7031" "11"
"species" "16" "0.00603576397255819" "Zotu109_P3_C04_79ACON1_S504_N7122" "2"
"species" "16" "0.00603576397255819" "Zotu128_P3_E01_83ACON5_S517_N7101" "2"
"species" "48" "0.00360122302955367" "Zotu113_P1_B06_71SHCON2_S508_N7036" "2"
"species" "48" "0.00360122302955367" "Zotu109_P1_A03_38TCONS8_S503_N7021" "2"
"species" "56" "0.00119376227274067" "Zotu39_P2_E02_77SHCON8_S508_N7073" "2"
"species" "56" "0.00119376227274067" "Zotu63_P1_D06_74SHCON5_S517_N7032" "2"
"species" "57" "0.00421155069753157" "Zotu140_P1_F11_78SHCON9_S508_N7063" "4"
"species" "57" "0.00421155069753157" "Zotu176_P1_D08_34TCONS4_S502_N7051" "4"
"species" "57" "0.00421155069753157" "Zotu206_P1_H01_75SHCON6_S506_N7011" "4"
"species" "57" "0.00421155069753157" "Zotu283_P3_E01_83ACON5_S517_N7101" "4"
"species" "70" "0.00239414533273892" "Zotu61_P1_F05_15SHC6C3_S506_N7031" "2"
"species" "70" "0.00239414533273892" "Zotu76_P2_G02_14SHCN5C2_S517_N7071" "2"
"species" "79" "0.00359250353936492" "Zotu112_P1_G02_20MMC2_S502_N7026" "3"
"species" "79" "0.00359250353936492" "Zotu125_P1_E02_21MMC3_S517_N7011" "3"
"species" "79" "0.00359250353936492" "Zotu146_P1_E02_21MMC3_S517_N7011" "3"
