"sp" "spn" "depth" "taxa" "ntip"
"species" 56 0.00119376227274067 "Zotu39_P2_E02_77SHCON8_S508_N7073" 2
"species" 56 0.00119376227274067 "Zotu63_P1_D06_74SHCON5_S517_N7032" 2
"species" 57 0.00421155069753157 "Zotu140_P1_F11_78SHCON9_S508_N7063" 4
"species" 57 0.00421155069753157 "Zotu176_P1_D08_34TCONS4_S502_N7051" 4
"species" 57 0.00421155069753157 "Zotu206_P1_H01_75SHCON6_S506_N7011" 4
"species" 57 0.00421155069753157 "Zotu283_P3_E01_83ACON5_S517_N7101" 4
"species" 132 0.0035926284413309 "Zotu48_P1_D07_35TCONS5_S506_N7041" 2
"species" 132 0.0035926284413309 "Zotu73_P1_A03_38TCONS8_S503_N7021" 2
"species" 345 0.00439359469559652 "Zotu68_P1_A01_32TCONS2_S502_N70114" 4
"species" 345 0.00439359469559652 "Zotu66_P2_G01_87ACONS9_S505_N7077" 4
"species" 345 0.00439359469559652 "Zotu74_P1_D08_34TCONS4_S502_N7052" 4
"species" 345 0.00439359469559652 "Zotu184_P3_A05_107ACON20_S507_N7121" 4
"species" 411 0.00441045464670154 "Zotu55_P1_G02_20MMC2_S502_N70212" 4
"species" 411 0.00441045464670154 "Zotu79_P2_G01_87ACONS9_S505_N70711" 4
"species" 411 0.00441045464670154 "Zotu52_P3_E01_83ACON5_S517_N7101" 4
"species" 411 0.00441045464670154 "Zotu171_P3_C04_79ACON1_S504_N7124" 4
"species" 328 0.00628267217745668 "Zotu112_P1_E02_21MMC3_S517_N7016" 6
"species" 328 0.00628267217745668 "Zotu105_P1_G02_20MMC2_S502_N7022" 6
"species" 328 0.00628267217745668 "Zotu30_P1_A01_32TCONS2_S502_N7014" 6
"species" 328 0.00628267217745668 "Zotu100_P1_E02_21MMC3_S517_N7011" 6
"species" 328 0.00628267217745668 "Zotu98_P1_G02_20MMC2_S502_N7021" 6
"species" 328 0.00628267217745668 "Zotu100_P1_B08_17IZPOC2_S517_N7042" 6
"species" 348 0.00119376227274067 "Zotu147_P1_D07_35TCONS5_S506_N7042" 2
"species" 348 0.00119376227274067 "Zotu59_P1_H06_36TCONS6_S503_N7041" 2
"species" 398 0.00360122302955367 "Zotu113_P1_H08_70SHCON1_S504_N7051" 2
"species" 398 0.00360122302955367 "Zotu141_P1_E02_21MMC3_S517_N7011" 2
"species" 79 0.00359250353936492 "Zotu112_P1_G02_20MMC2_S502_N7026" 3
"species" 79 0.00359250353936492 "Zotu125_P1_E02_21MMC3_S517_N7011" 3
"species" 79 0.00359250353936492 "Zotu146_P1_E02_21MMC3_S517_N7011" 3
"species" 216 0.00119376227274067 "Zotu77_P3_C03_125ACON15_S508_N7112" 2
"species" 216 0.00119376227274067 "Zotu94_P1_E02_21MMC3_S517_N7011" 2
"species" 217 0.00726338124344577 "Zotu104_P3_E01_83ACON5_S517_N7101" 2
"species" 217 0.00726338124344577 "Zotu168_P3_A07_81ACON3_S507_N7011" 2
"species" 371 0.00601402511344413 "Zotu163_P1_B08_17IZPOC2_S517_N7042" 3
"species" 371 0.00601402511344413 "Zotu220_P2_C01_18IZTAC3_S503_N7071" 3
"species" 371 0.00601402511344413 "Zotu169_P2_C01_18IZTAC3_S503_N7071" 3
"species" 376 0.00329945360534999 "Zotu89_P1_D07_35TCONS5_S506_N7044" 5
"species" 376 0.00329945360534999 "Zotu117_P1_D07_35TCONS5_S506_N7041" 5
"species" 376 0.00329945360534999 "Zotu127_P3_A02_39TCONSER9_S503_N7111" 5
"species" 376 0.00329945360534999 "Zotu25_P1_H09_37TCONS7_S508_N7051" 5
"species" 376 0.00329945360534999 "Zotu87_P1_H06_36TCONS6_S503_N7041" 5
"species" 375 0.00199241897473793 "Zotu154_P2_G02_14SHCN5C2_S517_N7071" 4
"species" 375 0.00199241897473793 "Zotu41_P1_F05_15SHC6C3_S506_N7031" 4
"species" 375 0.00199241897473793 "Zotu44_P1_F05_15SHC6C3_S506_N7031" 4
"species" 375 0.00199241897473793 "Zotu58_P1_F05_15SHC6C3_S506_N7031" 4
"species" 320 0.00239414533273892 "Zotu164_P3_A01_85ACON7_S507_N7108" 2
"species" 320 0.00239414533273892 "Zotu196_P3_G03_126ACON16_S502_N7121" 2
"species" 429 0.00481849350105593 "Zotu24_P1_B08_17IZPOC2_S517_N7042" 3
"species" 429 0.00481849350105593 "Zotu49_P1_B08_17IZPOC2_S517_N7042" 3
"species" 429 0.00481849350105593 "Zotu230_P2_G02_14SHCN5C2_S517_N7071" 3
"species" 95 0.00179395380273979 "Zotu134_P1_F05_15SHC6C3_S506_N7031" 3
"species" 95 0.00179395380273979 "Zotu64_P1_D05_13SHC4C1_S505_N7032" 3
"species" 95 0.00179395380273979 "Zotu51_P1_D05_13SHC4C1_S505_N7032" 3
"species" 218 0.00360122302955367 "Zotu58_P3_E03_86ACON8_S517_N7111" 2
"species" 218 0.00360122302955367 "Zotu285_P3_E03_86ACON8_S517_N7111" 2
"species" 382 0.00299338688703491 "Zotu155_P3_A06_128ACON18_S503_N7013" 3
"species" 382 0.00299338688703491 "Zotu341_P3_A05_107ACON20_S507_N7121" 3
"species" 382 0.00299338688703491 "Zotu124_P3_C03_125ACON15_S508_N7111" 3
"species" 416 0.0064993453453637 "Zotu172_P3_A01_85ACON7_S507_N7109" 17
"species" 416 0.0064993453453637 "Zotu90_P3_A07_81ACON3_S507_N7012" 17
"species" 416 0.0064993453453637 "Zotu146_P3_G03_126ACON16_S502_N7121" 17
"species" 416 0.0064993453453637 "Zotu76_P3_A06_128ACON18_S503_N7011" 17
"species" 416 0.0064993453453637 "Zotu78_P3_E04_121ACON11_S505_N7121" 17
"species" 416 0.0064993453453637 "Zotu137_P3_G03_126ACON16_S502_N7121" 17
"species" 416 0.0064993453453637 "Zotu251_P3_A01_85ACON7_S507_N7101" 17
"species" 416 0.0064993453453637 "Zotu204_P3_C05_110ACON23_S508_N7121" 17
"species" 416 0.0064993453453637 "Zotu134_P3_E04_121ACON11_S505_N7121" 17
"species" 416 0.0064993453453637 "Zotu176_P3_A05_107ACON20_S507_N7124" 17
"species" 416 0.0064993453453637 "Zotu123_P4_E06_120ACON10_S508_N7051" 17
"species" 416 0.0064993453453637 "Zotu115_P3_E03_86ACON8_S517_N7112" 17
"species" 416 0.0064993453453637 "Zotu207_P3_G03_126ACON16_S502_N7121" 17
"species" 416 0.0064993453453637 "Zotu351_P3_A05_107ACON20_S507_N7121" 17
"species" 416 0.0064993453453637 "Zotu123_P3_E03_86ACON8_S517_N7111" 17
"species" 416 0.0064993453453637 "Zotu111_P3_C06_84ACON6_S504_N7011" 17
"species" 416 0.0064993453453637 "Zotu140_P4_C09_73SHCON4_S504_N7071" 17
"species" 248 0.00360122302955367 "Zotu63_P1_A01_32TCONS2_S502_N7014" 2
"species" 248 0.00360122302955367 "Zotu188_P1_D07_35TCONS5_S506_N7042" 2
"species" 249 0.00542541721391683 "Zotu159_P1_A01_32TCONS2_S502_N7012" 3
