"sp" "spn" "depth" "taxa" "ntip"
"species" "10" "0.0060327449668316" "Zotu174_P1_D05_13SHC4C1_S505_N7032" "6"
"species" "10" "0.0060327449668316" "Zotu173_P1_F05_15SHC6C3_S506_N7031" "6"
"species" "10" "0.0060327449668316" "Zotu44_P1_E02_21MMC3_S517_N7012" "6"
"species" "10" "0.0060327449668316" "Zotu116_P1_E02_21MMC3_S517_N7012" "6"
"species" "10" "0.0060327449668316" "Zotu128_P1_E02_21MMC3_S517_N7011" "6"
"species" "10" "0.0060327449668316" "Zotu17_P1_E02_21MMC3_S517_N7012" "6"
"species" "20" "0.00601358958994247" "Zotu24_P3_C04_79ACON1_S504_N7123" "3"
"species" "20" "0.00601358958994247" "Zotu165_P3_C04_79ACON1_S504_N7123" "3"
"species" "20" "0.00601358958994247" "Zotu304_P3_C05_110ACON23_S508_N7121" "3"
"species" "25" "0.00359988349905061" "Zotu71_P4_C09_73SHCON4_S504_N7071" "2"
"species" "25" "0.00359988349905061" "Zotu35_P1_H06_36TCONS6_S503_N7041" "2"
"species" "31" "0.00119361557629913" "Zotu73_P1_B08_17IZPOC2_S517_N7045" "2"
"species" "31" "0.00119361557629913" "Zotu84_P1_D05_13SHC4C1_S505_N7031" "2"
"species" "36" "0.00119361557629913" "Zotu108_P3_A07_81ACON3_S507_N7011" "2"
"species" "36" "0.00119361557629913" "Zotu183_P1_F11_78SHCON9_S508_N7061" "2"
"species" "37" "0.00849386256031358" "Zotu97_P1_D08_34TCONS4_S502_N7051" "3"
"species" "37" "0.00849386256031358" "Zotu101_P1_B08_17IZPOC2_S517_N7041" "3"
"species" "37" "0.00849386256031358" "Zotu184_P1_E02_21MMC3_S517_N7011" "3"
"species" "42" "0.00420627756339231" "Zotu4_P4_C07_124ACON14_S504_N7061" "3"
"species" "42" "0.00420627756339231" "Zotu14_P3_A06_128ACON18_S503_N7011" "3"
"species" "42" "0.00420627756339231" "Zotu47_P3_G03_126ACON16_S502_N7121" "3"
"species" "51" "0.00480127473521813" "Zotu129_P1_G02_20MMC2_S502_N7021" "2"
"species" "51" "0.00480127473521813" "Zotu151_P2_E03_72SHCON3_S505_N7081" "2"
"species" "66" "0.00239355429258143" "Zotu104_P3_H03G04_123ACON13_S506_N7121" "2"
"species" "66" "0.00239355429258143" "Zotu69_P4_E03_122ACON12_S504_N7041" "2"
"species" "97" "0.00239355429258143" "Zotu173_P3_G03_126ACON16_S502_N7121" "2"
"species" "97" "0.00239355429258143" "Zotu97_P3_A06_128ACON18_S503_N7011" "2"
"species" "119" "0.00420057911713437" "Zotu142_P1_D07_35TCONS5_S506_N7041" "3"
"species" "119" "0.00420057911713437" "Zotu148_P1_H08_70SHCON1_S504_N7051" "3"
"species" "119" "0.00420057911713437" "Zotu105_P1_H08_70SHCON1_S504_N7051" "3"
"species" "123" "0.00179358493444028" "Zotu119_P1_D05_13SHC4C1_S505_N7032" "3"
"species" "123" "0.00179358493444028" "Zotu206_P1_D05_13SHC4C1_S505_N7031" "3"
"species" "123" "0.00179358493444028" "Zotu160_P1_F05_15SHC6C3_S506_N7031" "3"
"species" "125" "0.00239355429258143" "Zotu185_P1_E02_21MMC3_S517_N7012" "2"
"species" "125" "0.00239355429258143" "Zotu218_P2_A01_16IZPOC1_S502_N7071" "2"
"species" "127" "0.00119361557629913" "Zotu240_P3_G05_109ACON22_S502_N7012" "2"
"species" "127" "0.00119361557629913" "Zotu250_P3_G02_82ACON4_S506_N7111" "2"
"species" "135" "0.00239355429258143" "Zotu230_P1_G03_33TCONS3_S506_N7021" "2"
"species" "135" "0.00239355429258143" "Zotu226_P3_A02_39TCONSER9_S503_N7111" "2"
