"sp" "spn" "depth" "taxa" "ntip"
"species" 342 0.00694993696944682 "Zotu135_P1_B08_17IZPOC2_S517_N7041" 9
"species" 342 0.00694993696944682 "Zotu71_P1_F05_15SHC6C3_S506_N7031" 9
"species" 342 0.00694993696944682 "Zotu184_P3_G05_109ACON22_S502_N7011" 9
"species" 342 0.00694993696944682 "Zotu75_P1_F05_15SHC6C3_S506_N7031" 9
"species" 342 0.00694993696944682 "Zotu146_P2_G02_14SHCN5C2_S517_N7071" 9
"species" 342 0.00694993696944682 "Zotu188_P2_E03_72SHCON3_S505_N7081" 9
"species" 342 0.00694993696944682 "Zotu195_P2_E03_72SHCON3_S505_N7081" 9
"species" 342 0.00694993696944682 "Zotu109_P2_E03_72SHCON3_S505_N7081" 9
"species" 342 0.00694993696944682 "Zotu144_P1_F05_15SHC6C3_S506_N7031" 9
"species" 410 0.00199066080193726 "Zotu84_P1_A01_32TCONS2_S502_N70134" 4
"species" 410 0.00199066080193726 "Zotu36_P1_H08_70SHCON1_S504_N7053" 4
"species" 410 0.00199066080193726 "Zotu35_P1_G02_20MMC2_S502_N7021" 4
"species" 410 0.00199066080193726 "Zotu109_P1_B06_71SHCON2_S508_N7031" 4
"species" 411 0.00728278071752778 "Zotu153_P1_B08_17IZPOC2_S517_N70412" 13
"species" 411 0.00728278071752778 "Zotu127_P1_B06_71SHCON2_S508_N7034" 13
"species" 411 0.00728278071752778 "Zotu132_P1_G02_20MMC2_S502_N7021" 13
"species" 411 0.00728278071752778 "Zotu98_P2_E02_77SHCON8_S508_N7071" 13
"species" 411 0.00728278071752778 "Zotu73_P1_D05_13SHC4C1_S505_N7031" 13
"species" 411 0.00728278071752778 "Zotu170_P1_H08_70SHCON1_S504_N7051" 13
"species" 411 0.00728278071752778 "Zotu38_P1_D05_13SHC4C1_S505_N7033" 13
"species" 411 0.00728278071752778 "Zotu127_P2_E02_77SHCON8_S508_N7072" 13
"species" 411 0.00728278071752778 "Zotu111_P1_F05_15SHC6C3_S506_N7031" 13
"species" 411 0.00728278071752778 "Zotu124_P1_F05_15SHC6C3_S506_N7031" 13
"species" 411 0.00728278071752778 "Zotu71_P1_D05_13SHC4C1_S505_N7031" 13
"species" 411 0.00728278071752778 "Zotu112_P1_D05_13SHC4C1_S505_N7035" 13
"species" 411 0.00728278071752778 "Zotu131_P1_E02_21MMC3_S517_N7011" 13
"species" 310 0.00359614150729707 "Zotu21_P1_F11_78SHCON9_S508_N7063" 4
"species" 310 0.00359614150729707 "Zotu221_P2_A01_16IZPOC1_S502_N7071" 4
"species" 310 0.00359614150729707 "Zotu160_P1_E02_21MMC3_S517_N7011" 4
"species" 310 0.00359614150729707 "Zotu6_P1_D07_35TCONS5_S506_N7041" 4
"species" 392 0.00239355429258143 "Zotu140_P1_F05_15SHC6C3_S506_N7031" 2
"species" 392 0.00239355429258143 "Zotu105_P1_D05_13SHC4C1_S505_N7031" 2
"species" 289 0.00179358493444028 "Zotu16_P4_C07_124ACON14_S504_N7061" 3
"species" 289 0.00179358493444028 "Zotu279_P3_G07_111ACON24_S502_N7021" 3
"species" 289 0.00179358493444028 "Zotu180_P1_E02_21MMC3_S517_N7011" 3
"species" 359 0.00238918341475632 "Zotu17_P1_D05_13SHC4C1_S505_N7032" 2
"species" 359 0.00238918341475632 "Zotu118_P1_D05_13SHC4C1_S505_N7031" 2
"species" 294 0.00723932873184679 "Zotu227_P2_G02_14SHCN5C2_S517_N7071" 2
"species" 294 0.00723932873184679 "Zotu52_P2_G02_14SHCN5C2_S517_N7071" 2
"species" 334 0.00335384012557045 "Zotu112_P1_D07_35TCONS5_S506_N7042" 8
"species" 334 0.00335384012557045 "Zotu115_P1_B06_71SHCON2_S508_N7036" 8
"species" 334 0.00335384012557045 "Zotu148_P1_D05_13SHC4C1_S505_N7031" 8
"species" 334 0.00335384012557045 "Zotu151_P1_D06_74SHCON5_S517_N7031" 8
"species" 334 0.00335384012557045 "Zotu23_P1_H08_70SHCON1_S504_N7051" 8
"species" 334 0.00335384012557045 "Zotu165_P1_H08_70SHCON1_S504_N7051" 8
"species" 334 0.00335384012557045 "Zotu212_P1_B06_71SHCON2_S508_N7031" 8
"species" 334 0.00335384012557045 "Zotu191_P1_F11_78SHCON9_S508_N7061" 8
"species" 224 0.00506986378544387 "Zotu161_P1_G03_33TCONS3_S506_N7021" 9
"species" 224 0.00506986378544387 "Zotu98_P3_C04_79ACON1_S504_N7121" 9
"species" 224 0.00506986378544387 "Zotu83_P3_A07_81ACON3_S507_N7011" 9
"species" 224 0.00506986378544387 "Zotu188_P3_G07_111ACON24_S502_N7021" 9
"species" 224 0.00506986378544387 "Zotu54_P1_H08_70SHCON1_S504_N7051" 9
"species" 224 0.00506986378544387 "Zotu239_P3_C05_110ACON23_S508_N7121" 9
"species" 224 0.00506986378544387 "Zotu149_P1_H08_70SHCON1_S504_N7051" 9
"species" 224 0.00506986378544387 "Zotu188_P1_H08_70SHCON1_S504_N7051" 9
"species" 224 0.00506986378544387 "Zotu115_P3_H03G04_123ACON13_S506_N7121" 9
"species" 274 0.00179358493444028 "Zotu245_P2_A01_16IZPOC1_S502_N7072" 3
"species" 274 0.00179358493444028 "Zotu172_P3_A05_107ACON20_S507_N7121" 3
"species" 274 0.00179358493444028 "Zotu146_P1_F05_15SHC6C3_S506_N7031" 3
"species" 320 0.00440840891817287 "Zotu36_P3_A01_85ACON7_S507_N7108" 4
"species" 320 0.00440840891817287 "Zotu212_P3_C05_110ACON23_S508_N7121" 4
"species" 320 0.00440840891817287 "Zotu185_P3_G03_126ACON16_S502_N7121" 4
"species" 320 0.00440840891817287 "Zotu88_P3_G06_108ACON21_S506_N7011" 4
"species" 355 0.00199357472048733 "Zotu139_P1_A03_38TCONS8_S503_N70210" 4
"species" 355 0.00199357472048733 "Zotu94_P1_A01_32TCONS2_S502_N7012" 4
"species" 355 0.00199357472048733 "Zotu162_P3_G06_108ACON21_S506_N7011" 4
"species" 355 0.00199357472048733 "Zotu129_P1_F11_78SHCON9_S508_N7061" 4
"species" 370 0.00209356961351086 "Zotu15_P2_G01_87ACONS9_S505_N70713" 5
"species" 370 0.00209356961351086 "Zotu74_P1_B06_71SHCON2_S508_N7031" 5
"species" 370 0.00209356961351086 "Zotu120_P3_A01_85ACON7_S507_N7101" 5
"species" 370 0.00209356961351086 "Zotu165_P3_H03G04_123ACON13_S506_N7121" 5
"species" 370 0.00209356961351086 "Zotu257_P3_C05_110ACON23_S508_N7121" 5
"species" 371 0.00209356961351086 "Zotu147_P3_A01_85ACON7_S507_N7108" 5
"species" 371 0.00209356961351086 "Zotu235_P3_E01_83ACON5_S517_N7101" 5
"species" 371 0.00209356961351086 "Zotu157_P3_E04_121ACON11_S505_N7121" 5
"species" 371 0.00209356961351086 "Zotu61_P4_E06_120ACON10_S508_N7051" 5
"species" 371 0.00209356961351086 "Zotu179_P3_G02_82ACON4_S506_N7111" 5
"species" 365 0.00723932873184679 "Zotu165_P1_D05_13SHC4C1_S505_N7039" 2
"species" 365 0.00723932873184679 "Zotu109_P3_G06_108ACON21_S506_N7011" 2
"species" 363 0.00299278631911948 "Zotu163_P3_A01_85ACON7_S507_N7103" 3
"species" 363 0.00299278631911948 "Zotu81_P3_A01_85ACON7_S507_N7103" 3
"species" 363 0.00299278631911948 "Zotu130_P3_A01_85ACON7_S507_N7101" 3
"species" 337 0.0048136042647853 "Zotu49_P1_H09_37TCONS7_S508_N7059" 8
"species" 337 0.0048136042647853 "Zotu97_P3_A02_39TCONSER9_S503_N7112" 8
"species" 337 0.0048136042647853 "Zotu34_P3_A05_107ACON20_S507_N7121" 8
"species" 337 0.0048136042647853 "Zotu46_P3_G05_109ACON22_S502_N7011" 8
"species" 337 0.0048136042647853 "Zotu55_P3_G05_109ACON22_S502_N7011" 8
"species" 337 0.0048136042647853 "Zotu134_P3_G03_126ACON16_S502_N7121" 8
"species" 337 0.0048136042647853 "Zotu134_P3_G02_82ACON4_S506_N7111" 8
"species" 337 0.0048136042647853 "Zotu103_P1_D08_34TCONS4_S502_N7051" 8
"species" 336 0.00119361557629913 "Zotu74_P3_A06_128ACON18_S503_N7012" 2
"species" 336 0.00119361557629913 "Zotu59_P3_G03_126ACON16_S502_N7121" 2
"species" 205 0.00540914812503024 "Zotu165_P3_E01_83ACON5_S517_N7101" 5
"species" 205 0.00540914812503024 "Zotu91_P3_A06_128ACON18_S503_N7011" 5
"species" 205 0.00540914812503024 "Zotu45_P3_C04_79ACON1_S504_N7121" 5
"species" 205 0.00540914812503024 "Zotu32_P4_E06_120ACON10_S508_N7051" 5
"species" 205 0.00540914812503024 "Zotu47_P2_G01_87ACONS9_S505_N7071" 5
"species" 333 0.00723932873184679 "Zotu42_P3_E01_83ACON5_S517_N7102" 2
"species" 333 0.00723932873184679 "Zotu250_P1_B08_17IZPOC2_S517_N7041" 2
"species" 332 0.00593244362071769 "Zotu32_P3_E01_83ACON5_S517_N7102" 10
"species" 332 0.00593244362071769 "Zotu43_P3_A01_85ACON7_S507_N7101" 10
