"sp" "spn" "depth" "taxa" "ntip"
"species" "23" "0.0146493737054106" "Zotu15_P1_B08_17IZPOC2_S517_N7044" "7"
"species" "23" "0.0146493737054106" "Zotu50_P1_B08_17IZPOC2_S517_N7043" "7"
"species" "23" "0.0146493737054106" "Zotu70_P2_A01_16IZPOC1_S502_N7072" "7"
"species" "23" "0.0146493737054106" "Zotu139_P2_A01_16IZPOC1_S502_N7072" "7"
"species" "23" "0.0146493737054106" "Zotu132_P1_B08_17IZPOC2_S517_N7041" "7"
"species" "23" "0.0146493737054106" "Zotu131_P1_G02_20MMC2_S502_N7021" "7"
"species" "23" "0.0146493737054106" "Zotu46_P1_D05_13SHC4C1_S505_N7033" "7"
"species" "27" "0.0168942438214259" "Zotu108_P1_G03_33TCONS3_S506_N7021" "4"
"species" "27" "0.0168942438214259" "Zotu106_P3_G07_111ACON24_S502_N7021" "4"
"species" "27" "0.0168942438214259" "Zotu115_P1_A01_32TCONS2_S502_N7011" "4"
"species" "27" "0.0168942438214259" "Zotu267_P3_G07_111ACON24_S502_N7021" "4"
"species" "32" "0.00360031521811001" "Zotu83_P2_G01_87ACONS9_S505_N7071" "3"
"species" "32" "0.00360031521811001" "Zotu190_P3_C04_79ACON1_S504_N7121" "3"
"species" "32" "0.00360031521811001" "Zotu123_P2_G01_87ACONS9_S505_N7071" "3"
"species" "55" "0.00973300459369096" "Zotu267_P3_G02_82ACON4_S506_N7111" "2"
"species" "55" "0.00973300459369096" "Zotu278_P3_G07_111ACON24_S502_N7021" "2"
"species" "60" "0.00339922014863907" "Zotu184_P1_D05_13SHC4C1_S505_N70311" "8"
"species" "60" "0.00339922014863907" "Zotu108_P1_H08_70SHCON1_S504_N7051" "8"
"species" "60" "0.00339922014863907" "Zotu190_P1_B08_17IZPOC2_S517_N7041" "8"
"species" "60" "0.00339922014863907" "Zotu140_P1_E02_21MMC3_S517_N7011" "8"
"species" "60" "0.00339922014863907" "Zotu146_P1_B08_17IZPOC2_S517_N7041" "8"
"species" "60" "0.00339922014863907" "Zotu64_P2_A02_76SHCON7_S506_N7071" "8"
"species" "60" "0.00339922014863907" "Zotu85_P1_B08_17IZPOC2_S517_N7041" "8"
"species" "60" "0.00339922014863907" "Zotu191_P1_B08_17IZPOC2_S517_N7041" "8"
"species" "61" "0.00655758246850925" "Zotu45_P1_A01_32TCONS2_S502_N70110" "8"
"species" "61" "0.00655758246850925" "Zotu186_P1_E02_21MMC3_S517_N7011" "8"
"species" "61" "0.00655758246850925" "Zotu40_P1_E02_21MMC3_S517_N7011" "8"
"species" "61" "0.00655758246850925" "Zotu167_P3_A07_81ACON3_S507_N7011" "8"
"species" "61" "0.00655758246850925" "Zotu161_P1_D05_13SHC4C1_S505_N7031" "8"
"species" "61" "0.00655758246850925" "Zotu180_P1_D07_35TCONS5_S506_N7041" "8"
"species" "61" "0.00655758246850925" "Zotu35_P1_B08_17IZPOC2_S517_N7041" "8"
"species" "61" "0.00655758246850925" "Zotu103_P1_E02_21MMC3_S517_N7011" "8"
"species" "67" "0.00481344466054305" "Zotu163_P3_G07_111ACON24_S502_N7021" "2"
"species" "67" "0.00481344466054305" "Zotu86_P1_H08_70SHCON1_S504_N7051" "2"
"species" "76" "0.0153616530741401" "Zotu175_P1_D05_13SHC4C1_S505_N7032" "7"
"species" "76" "0.0153616530741401" "Zotu153_P1_H06_36TCONS6_S503_N7041" "7"
"species" "76" "0.0153616530741401" "Zotu85_P1_D05_13SHC4C1_S505_N7031" "7"
"species" "76" "0.0153616530741401" "Zotu138_P2_A01_16IZPOC1_S502_N7071" "7"
"species" "76" "0.0153616530741401" "Zotu190_P2_A01_16IZPOC1_S502_N7071" "7"
"species" "76" "0.0153616530741401" "Zotu153_P1_E02_21MMC3_S517_N7011" "7"
"species" "76" "0.0153616530741401" "Zotu122_P1_E02_21MMC3_S517_N7011" "7"
"species" "78" "0.0117627773124232" "Zotu312_P2_C01_18IZTAC3_S503_N7071" "4"
"species" "78" "0.0117627773124232" "Zotu248_P2_C01_18IZTAC3_S503_N7071" "4"
"species" "78" "0.0117627773124232" "Zotu267_P2_C01_18IZTAC3_S503_N7071" "4"
"species" "78" "0.0117627773124232" "Zotu236_P2_C01_18IZTAC3_S503_N7071" "4"
"species" "81" "0.013396117521642" "Zotu24_P1_H01_75SHCON6_S506_N7012" "2"
"species" "81" "0.013396117521642" "Zotu18_P3_E03_86ACON8_S517_N7111" "2"
