"sp" "spn" "depth" "taxa" "ntip"
"species" 153 0.0165913985640487 "Zotu174_P3_E03_86ACON8_S517_N7112" 5
"species" 153 0.0165913985640487 "Zotu32_P1_E02_21MMC3_S517_N7012" 5
"species" 153 0.0165913985640487 "Zotu60_P1_G02_20MMC2_S502_N7021" 5
"species" 153 0.0165913985640487 "Zotu201_P1_B08_17IZPOC2_S517_N7042" 5
"species" 153 0.0165913985640487 "Zotu251_P2_C01_18IZTAC3_S503_N7071" 5
"species" 100 0.0048016747736505 "Zotu154_P1_G02_20MMC2_S502_N7021" 2
"species" 100 0.0048016747736505 "Zotu213_P1_E02_21MMC3_S517_N7011" 2
"species" 76 0.0153616530741401 "Zotu175_P1_D05_13SHC4C1_S505_N7032" 7
"species" 76 0.0153616530741401 "Zotu153_P1_H06_36TCONS6_S503_N7041" 7
"species" 76 0.0153616530741401 "Zotu85_P1_D05_13SHC4C1_S505_N7031" 7
"species" 76 0.0153616530741401 "Zotu138_P2_A01_16IZPOC1_S502_N7071" 7
"species" 76 0.0153616530741401 "Zotu190_P2_A01_16IZPOC1_S502_N7071" 7
"species" 76 0.0153616530741401 "Zotu153_P1_E02_21MMC3_S517_N7011" 7
"species" 76 0.0153616530741401 "Zotu122_P1_E02_21MMC3_S517_N7011" 7
"species" 85 0.00603320482944286 "Zotu73_P2_G02_14SHCN5C2_S517_N7071" 2
"species" 85 0.00603320482944286 "Zotu116_P1_B08_17IZPOC2_S517_N7041" 2
"species" 86 0.0106472732554325 "Zotu17_P2_A01_16IZPOC1_S502_N7073" 5
"species" 86 0.0106472732554325 "Zotu161_P2_C01_18IZTAC3_S503_N7071" 5
"species" 86 0.0106472732554325 "Zotu254_P2_A01_16IZPOC1_S502_N7071" 5
"species" 86 0.0106472732554325 "Zotu316_P2_C01_18IZTAC3_S503_N7071" 5
"species" 86 0.0106472732554325 "Zotu252_P2_A01_16IZPOC1_S502_N7071" 5
"species" 32 0.00360031521811001 "Zotu83_P2_G01_87ACONS9_S505_N7071" 3
"species" 32 0.00360031521811001 "Zotu190_P3_C04_79ACON1_S504_N7121" 3
"species" 32 0.00360031521811001 "Zotu123_P2_G01_87ACONS9_S505_N7071" 3
"species" 98 0.00119366286595301 "Zotu172_P3_E03_86ACON8_S517_N7111" 2
"species" 98 0.00119366286595301 "Zotu90_P3_E03_86ACON8_S517_N7111" 2
