"sp" "spn" "depth" "taxa" "ntip"
"species" 163 0.00119414859244145 "Zotu173_P3_A01_85ACON7_S507_N7108" 2
"species" 163 0.00119414859244145 "Zotu206_P1_D07_35TCONS5_S506_N7046" 2
"species" 164 0.00360023249732363 "Zotu183_P3_A07_81ACON3_S507_N7016" 5
"species" 164 0.00360023249732363 "Zotu234_P3_G03_126ACON16_S502_N7121" 5
"species" 164 0.00360023249732363 "Zotu169_P1_B06_71SHCON2_S508_N7033" 5
"species" 164 0.00360023249732363 "Zotu183_P3_G05_109ACON22_S502_N7012" 5
"species" 164 0.00360023249732363 "Zotu107_P3_E01_83ACON5_S517_N7101" 5
"species" 121 0.00119414859244145 "Zotu98_P3_A06_128ACON18_S503_N7013" 2
"species" 121 0.00119414859244145 "Zotu135_P3_E01_83ACON5_S517_N7101" 2
"species" 152 0.00964116708969416 "Zotu34_P1_H08_70SHCON1_S504_N7059" 9
"species" 152 0.00964116708969416 "Zotu28_P3_A01_85ACON7_S507_N7103" 9
"species" 152 0.00964116708969416 "Zotu81_P1_D07_35TCONS5_S506_N7046" 9
"species" 152 0.00964116708969416 "Zotu27_P3_A06_128ACON18_S503_N7014" 9
"species" 152 0.00964116708969416 "Zotu129_P1_B06_71SHCON2_S508_N7033" 9
"species" 152 0.00964116708969416 "Zotu74_P3_E06_80ACON2_S505_N7011" 9
"species" 152 0.00964116708969416 "Zotu126_P4_C10_106ACON19_S508_N7071" 9
"species" 152 0.00964116708969416 "Zotu75_P3_E03_86ACON8_S517_N7111" 9
"species" 152 0.00964116708969416 "Zotu191_P1_G03_33TCONS3_S506_N7021" 9
"species" 143 0.00482332124505985 "Zotu39_P3_A06_128ACON18_S503_N7015" 5
"species" 143 0.00482332124505985 "Zotu40_P3_E01_83ACON5_S517_N7103" 5
"species" 143 0.00482332124505985 "Zotu118_P3_C04_79ACON1_S504_N7121" 5
"species" 143 0.00482332124505985 "Zotu110_P3_E01_83ACON5_S517_N7101" 5
"species" 143 0.00482332124505985 "Zotu61_P3_A07_81ACON3_S507_N7011" 5
"species" 130 0.00119414859244145 "Zotu11_P3_A01_85ACON7_S507_N7101" 2
"species" 130 0.00119414859244145 "Zotu23_P3_A01_85ACON7_S507_N7101" 2
"species" 80 0.00299201920189639 "Zotu29_P3_A06_128ACON18_S503_N7013" 3
"species" 80 0.00299201920189639 "Zotu26_P3_A06_128ACON18_S503_N7012" 3
"species" 80 0.00299201920189639 "Zotu21_P3_E03_86ACON8_S517_N7111" 3
"species" 179 0.00857538785870489 "Zotu204_P1_H01_75SHCON6_S506_N70111" 14
"species" 179 0.00857538785870489 "Zotu267_P3_A01_85ACON7_S507_N7103" 14
"species" 179 0.00857538785870489 "Zotu275_P3_A01_85ACON7_S507_N7103" 14
"species" 179 0.00857538785870489 "Zotu217_P3_A01_85ACON7_S507_N7104" 14
"species" 179 0.00857538785870489 "Zotu276_P3_A01_85ACON7_S507_N7103" 14
"species" 179 0.00857538785870489 "Zotu238_P3_C06_84ACON6_S504_N7012" 14
"species" 179 0.00857538785870489 "Zotu286_P3_E01_83ACON5_S517_N7101" 14
"species" 179 0.00857538785870489 "Zotu239_P3_A01_85ACON7_S507_N7104" 14
"species" 179 0.00857538785870489 "Zotu212_P3_C06_84ACON6_S504_N7012" 14
"species" 179 0.00857538785870489 "Zotu258_P3_A01_85ACON7_S507_N7103" 14
"species" 179 0.00857538785870489 "Zotu215_P3_A01_85ACON7_S507_N7103" 14
"species" 179 0.00857538785870489 "Zotu224_P3_A01_85ACON7_S507_N7102" 14
"species" 179 0.00857538785870489 "Zotu290_P3_G02_82ACON4_S506_N7111" 14
"species" 178 0.00845314077359454 "Zotu228_P3_A01_85ACON7_S507_N7105" 6
"species" 178 0.00845314077359454 "Zotu207_P3_A01_85ACON7_S507_N7103" 6
"species" 178 0.00845314077359454 "Zotu176_P3_C06_84ACON6_S504_N7012" 6
"species" 178 0.00845314077359454 "Zotu273_P3_C06_84ACON6_S504_N7012" 6
"species" 178 0.00845314077359454 "Zotu160_P3_C06_84ACON6_S504_N7012" 6
"species" 178 0.00845314077359454 "Zotu237_P3_C06_84ACON6_S504_N7012" 6
"species" 179 0.00857538785870489 "Zotu293_P3_A01_85ACON7_S507_N7104" 14
"species" 176 0.00600538556878532 "Zotu261_P3_C06_84ACON6_S504_N7014" 2
"species" 176 0.00600538556878532 "Zotu189_P3_C06_84ACON6_S504_N7013" 2
"species" 180 0.00843893208033481 "Zotu214_P3_C06_84ACON6_S504_N7013" 2
"species" 180 0.00843893208033481 "Zotu251_P3_C06_84ACON6_S504_N7011" 2
"species" 119 0.00238979429214894 "Zotu113_P2_E01_31TCONS1_S504_N7071" 2
"species" 119 0.00238979429214894 "Zotu172_P1_A03_38TCONS8_S503_N7021" 2
"species" 106 0.00119414859244145 "Zotu65_P3_A07_81ACON3_S507_N7011" 2
"species" 106 0.00119414859244145 "Zotu91_P3_A07_81ACON3_S507_N7011" 2
"species" 135 0.00179492567238772 "Zotu189_P1_B06_71SHCON2_S508_N70316" 3
"species" 135 0.00179492567238772 "Zotu115_P3_A01_85ACON7_S507_N7102" 3
"species" 135 0.00179492567238772 "Zotu171_P3_G02_82ACON4_S506_N7111" 3
"species" 148 0.00119414859244145 "Zotu69_P2_E02_77SHCON8_S508_N7072" 2
"species" 148 0.00119414859244145 "Zotu137_P3_G02_82ACON4_S506_N7111" 2
"species" 140 0.00359009892328727 "Zotu146_P3_A01_85ACON7_S507_N7107" 2
"species" 140 0.00359009892328727 "Zotu125_P3_E04_121ACON11_S505_N7122" 2
"species" 181 0.00543356542893763 "Zotu83_P1_F11_78SHCON9_S508_N7062" 3
"species" 181 0.00543356542893763 "Zotu165_P4_E06_120ACON10_S508_N7051" 3
"species" 181 0.00543356542893763 "Zotu167_P1_B06_71SHCON2_S508_N7031" 3
