"sp" "spn" "depth" "taxa" "ntip"
"species" 54 0.00119378350988567 "Zotu83_P1_E02_21MMC3_S517_N7014" 2
"species" 54 0.00119378350988567 "Zotu180_P1_F11_78SHCON9_S508_N7061" 2
"species" 48 0.00119378350988567 "Zotu257_P1_B08_17IZPOC2_S517_N7042" 2
"species" 48 0.00119378350988567 "Zotu133_P2_G02_14SHCN5C2_S517_N7071" 2
"species" 58 0.00239423091344403 "Zotu53_P1_D08_34TCONS4_S502_N7051" 2
"species" 58 0.00239423091344403 "Zotu4_P3_C05_110ACON23_S508_N7121" 2
"species" 42 0.00119378350988567 "Zotu2_P1_B08_17IZPOC2_S517_N7041" 2
"species" 42 0.00119378350988567 "Zotu4_P2_C01_18IZTAC3_S503_N7071" 2
"species" 17 0.00119378350988567 "Zotu117_P3_C03_125ACON15_S508_N7113" 2
"species" 17 0.00119378350988567 "Zotu258_P3_C05_110ACON23_S508_N7121" 2
"species" 55 0.00119378350988567 "Zotu79_P1_H06_36TCONS6_S503_N7041" 2
"species" 55 0.00119378350988567 "Zotu182_P2_G02_14SHCN5C2_S517_N7071" 2
"species" 45 0.00299782396991204 "Zotu108_P1_A01_32TCONS2_S502_N7014" 3
"species" 45 0.00299782396991204 "Zotu140_P2_G01_87ACONS9_S505_N7073" 3
"species" 45 0.00299782396991204 "Zotu237_P3_A07_81ACON3_S507_N7011" 3
