"sp" "spn" "depth" "taxa" "ntip"
"species" "12" "0.0118120370767223" "Zotu159_P1_H09_37TCONS7_S508_N7051" "4"
"species" "12" "0.0118120370767223" "Zotu125_P1_H06_36TCONS6_S503_N7041" "4"
"species" "12" "0.0118120370767223" "Zotu161_P2_E03_72SHCON3_S505_N7081" "4"
"species" "12" "0.0118120370767223" "Zotu143_P3_A05_107ACON20_S507_N7121" "4"
"species" "18" "0.00119271663453486" "Zotu74_P1_H06_36TCONS6_S503_N704" "2"
"species" "18" "0.00119271663453486" "Zotu101_P1_H06_36TCONS6_S503_N704" "2"
"species" "19" "0.0103044815718735" "Zotu65_P4_E06_120ACON10_S508_N7051" "5"
"species" "19" "0.0103044815718735" "Zotu53_P4_E06_120ACON10_S508_N7051" "5"
"species" "19" "0.0103044815718735" "Zotu64_P4_E06_120ACON10_S508_N7051" "5"
"species" "19" "0.0103044815718735" "Zotu49_P4_E06_120ACON10_S508_N7051" "5"
"species" "19" "0.0103044815718735" "Zotu54_P4_E06_120ACON10_S508_N7051" "5"
"species" "24" "0.00957585477855375" "Zotu184_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu89_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu185_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu57_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu24_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu63_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu77_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu91_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu96_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu52_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu78_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu40_P4_E06_120ACON10_S508_N7051" "20"
"species" "24" "0.00957585477855375" "Zotu111_P4_E06_120ACON10_S508_N7051" "20"
