"h_names_Site0.03" "h_ocurrence_Site0.03"
"1" "Zotu100_P1_B06_71SHCON2_S508_N703" "26"
"2" "Zotu101_P1_A03_38TCONS8_S503_N702" "3"
"3" "Zotu101_P3_E01_83ACON5_S517_N710" "25"
"4" "Zotu102_P1_H09_37TCONS7_S508_N705" "1"
"5" "Zotu107_P1_D05_13SHC4C1_S505_N703" "2"
"6" "Zotu107_P1_G02_20MMC2_S502_N702" "9"
"7" "Zotu107_P1_H08_70SHCON1_S504_N705" "13"
"8" "Zotu109_P1_A01_32TCONS2_S502_N701" "18"
"9" "Zotu10_P3_E04_121ACON11_S505_N712" "12"
"10" "Zotu110_P1_H06_36TCONS6_S503_N704" "1"
"11" "Zotu111_P1_B06_71SHCON2_S508_N703" "5"
"12" "Zotu112_P1_B06_71SHCON2_S508_N703" "8"
"13" "Zotu116_P2_E03_72SHCON3_S505_N708" "8"
"14" "Zotu118_P1_A01_32TCONS2_S502_N701" "20"
"15" "Zotu119_P4_C10_106ACON19_S508_N707" "1"
"16" "Zotu120_P3_G06_108ACON21_S506_N701" "5"
"17" "Zotu121_P2_G01_87ACONS9_S505_N707" "12"
"18" "Zotu122_P3_H03G04_123ACON13_S506_N712" "1"
"19" "Zotu123_P1_B08_17IZPOC2_S517_N704" "14"
"20" "Zotu124_P1_H06_36TCONS6_S503_N704" "1"
"21" "Zotu126_P2_G01_87ACONS9_S505_N707" "7"
"22" "Zotu129_P1_D07_35TCONS5_S506_N704" "1"
"23" "Zotu131_P1_D06_74SHCON5_S517_N703" "1"
"24" "Zotu132_P1_H09_37TCONS7_S508_N705" "6"
"25" "Zotu134_P2_E03_72SHCON3_S505_N708" "3"
"26" "Zotu137_P1_B06_71SHCON2_S508_N703" "1"
"27" "Zotu137_P3_E04_121ACON11_S505_N712" "28"
"28" "Zotu139_P1_B06_71SHCON2_S508_N703" "17"
"29" "Zotu139_P1_F11_78SHCON9_S508_N706" "4"
"30" "Zotu141_P3_A06_128ACON18_S503_N701" "1"
"31" "Zotu146_P1_H08_70SHCON1_S504_N705" "1"
"32" "Zotu147_P3_A05_107ACON20_S507_N712" "1"
"33" "Zotu150_P3_A07_81ACON3_S507_N701" "3"
"34" "Zotu150_P4_E06_120ACON10_S508_N705" "10"
"35" "Zotu154_P1_D06_74SHCON5_S517_N703" "6"
"36" "Zotu15_P1_E02_21MMC3_S517_N701" "1"
"37" "Zotu162_P3_A06_128ACON18_S503_N701" "8"
"38" "Zotu166_P1_A01_32TCONS2_S502_N701" "1"
"39" "Zotu166_P3_A02_39TCONSER9_S503_N711" "2"
"40" "Zotu177_P1_D07_35TCONS5_S506_N704" "3"
"41" "Zotu177_P2_G02_14SHCN5C2_S517_N707" "8"
"42" "Zotu181_P1_H09_37TCONS7_S508_N705" "4"
"43" "Zotu181_P3_G03_126ACON16_S502_N712" "8"
"44" "Zotu182_P1_D08_34TCONS4_S502_N705" "4"
"45" "Zotu205_P1_D05_13SHC4C1_S505_N703" "1"
"46" "Zotu208_P2_E03_72SHCON3_S505_N708" "2"
"47" "Zotu20_P1_E02_21MMC3_S517_N701" "2"
"48" "Zotu221_P1_B06_71SHCON2_S508_N703" "10"
"49" "Zotu228_P1_D05_13SHC4C1_S505_N703" "7"
"50" "Zotu22_P3_E01_83ACON5_S517_N710" "2"
"51" "Zotu236_P1_D05_13SHC4C1_S505_N703" "3"
"52" "Zotu260_P3_G02_82ACON4_S506_N711" "2"
"53" "Zotu281_P3_C05_110ACON23_S508_N712" "1"
"54" "Zotu306_P3_G06_108ACON21_S506_N701" "1"
"55" "Zotu316_P3_A05_107ACON20_S507_N712" "1"
"56" "Zotu346_P3_G06_108ACON21_S506_N701" "1"
"57" "Zotu4_P3_G05_109ACON22_S502_N701" "2"
"58" "Zotu52_P2_E02_77SHCON8_S508_N707" "1"
"59" "Zotu56_P4_E03_122ACON12_S504_N704" "1"
"60" "Zotu60_P2_A02_76SHCON7_S506_N707" "1"
"61" "Zotu70_P4_E03_122ACON12_S504_N704" "1"
"62" "Zotu71_P2_A02_76SHCON7_S506_N707" "1"
"63" "Zotu76_P2_A02_76SHCON7_S506_N707" "3"
"64" "Zotu81_P1_A03_38TCONS8_S503_N702" "4"
"65" "Zotu88_P2_A02_76SHCON7_S506_N707" "1"
"66" "Zotu92_P3_C03_125ACON15_S508_N711" "1"
"67" "Zotu99_P1_A03_38TCONS8_S503_N702" "7"
