"sample_names_Site0.05" "Conservation" "Mountain1Site" "Mountain1" "Site" "ID" "sample_richness_Site0.05"
"1" "CON_NTO_AAB_106ACON19" "CON" "NTO_AAB" "NTO" "AAB" "106ACON19" "5"
"2" "CON_NTO_AAB_107ACON20" "CON" "NTO_AAB" "NTO" "AAB" "107ACON20" "12"
"3" "CON_NTO_AAB_108ACON21" "CON" "NTO_AAB" "NTO" "AAB" "108ACON21" "9"
"4" "CON_NTO_AAB_109ACON22" "CON" "NTO_AAB" "NTO" "AAB" "109ACON22" "8"
"5" "CON_NTO_AAB_110ACON23" "CON" "NTO_AAB" "NTO" "AAB" "110ACON23" "8"
"6" "CON_NTO_AAB_111ACON24" "CON" "NTO_AAB" "NTO" "AAB" "111ACON24" "2"
"7" "CON_NTO_AAB_120ACON10" "CON" "NTO_AAB" "NTO" "AAB" "120ACON10" "5"
"8" "CON_NTO_AAB_121ACON11" "CON" "NTO_AAB" "NTO" "AAB" "121ACON11" "4"
"9" "CON_NTO_AAB_122ACON12" "CON" "NTO_AAB" "NTO" "AAB" "122ACON12" "6"
"10" "CON_NTO_AAB_123ACON13" "CON" "NTO_AAB" "NTO" "AAB" "123ACON13" "9"
"11" "CON_NTO_AAB_124ACON14" "CON" "NTO_AAB" "NTO" "AAB" "124ACON14" "2"
"12" "CON_NTO_AAB_125ACON15" "CON" "NTO_AAB" "NTO" "AAB" "125ACON15" "4"
"13" "CON_NTO_AAB_126ACON16" "CON" "NTO_AAB" "NTO" "AAB" "126ACON16" "8"
"14" "CON_NTO_AAB_127ACON17" "CON" "NTO_AAB" "NTO" "AAB" "127ACON17" "6"
"15" "CON_NTO_AAB_128ACON18" "CON" "NTO_AAB" "NTO" "AAB" "128ACON18" "8"
"16" "CON_NTO_ASB_79ACON1" "CON" "NTO_ASB" "NTO" "ASB" "79ACON1" "5"
"17" "CON_NTO_ASB_80ACON2" "CON" "NTO_ASB" "NTO" "ASB" "80ACON2" "9"
"18" "CON_NTO_ASB_81ACON3" "CON" "NTO_ASB" "NTO" "ASB" "81ACON3" "8"
"19" "CON_NTO_ASB_82ACON4" "CON" "NTO_ASB" "NTO" "ASB" "82ACON4" "6"
"20" "CON_NTO_ASB_83ACON5" "CON" "NTO_ASB" "NTO" "ASB" "83ACON5" "6"
"21" "CON_NTO_ASB_84ACON6" "CON" "NTO_ASB" "NTO" "ASB" "84ACON6" "4"
"22" "CON_NTO_ASB_85ACON7" "CON" "NTO_ASB" "NTO" "ASB" "85ACON7" "7"
"23" "CON_NTO_ASB_86ACON8" "CON" "NTO_ASB" "NTO" "ASB" "86ACON8" "7"
"24" "CON_NTO_ASB_87ACON9" "CON" "NTO_ASB" "NTO" "ASB" "87ACON9" "8"
"25" "CON_NTO_SJH_70SHCON1" "CON" "NTO_SJH" "NTO" "SJH" "70SHCON1" "11"
"26" "CON_NTO_SJH_71SHCON2" "CON" "NTO_SJH" "NTO" "SJH" "71SHCON2" "15"
"27" "CON_NTO_SJH_72SHCON3" "CON" "NTO_SJH" "NTO" "SJH" "72SHCON3" "12"
"28" "CON_NTO_SJH_73SHCON4" "CON" "NTO_SJH" "NTO" "SJH" "73SHCON4" "7"
"29" "CON_NTO_SJH_74SHCON5" "CON" "NTO_SJH" "NTO" "SJH" "74SHCON5" "12"
"30" "CON_NTO_SJH_75SHCON6" "CON" "NTO_SJH" "NTO" "SJH" "75SHCON6" "12"
"31" "CON_NTO_SJH_76SHCON7" "CON" "NTO_SJH" "NTO" "SJH" "76SHCON7" "9"
"32" "CON_NTO_SJH_77SHCON8" "CON" "NTO_SJH" "NTO" "SJH" "77SHCON8" "14"
"33" "CON_NTO_SJH_78SHCON9" "CON" "NTO_SJH" "NTO" "SJH" "78SHCON9" "8"
"34" "CON_NTO_TLC_31TCONS1" "CON" "NTO_TLC" "NTO" "TLC" "31TCONS1" "8"
"35" "CON_NTO_TLC_32TCONS2" "CON" "NTO_TLC" "NTO" "TLC" "32TCONS2" "9"
"36" "CON_NTO_TLC_33TCONS3" "CON" "NTO_TLC" "NTO" "TLC" "33TCONS3" "11"
"37" "CON_NTO_TLC_34TCONS4" "CON" "NTO_TLC" "NTO" "TLC" "34TCONS4" "9"
"38" "CON_NTO_TLC_35TCONS5" "CON" "NTO_TLC" "NTO" "TLC" "35TCONS5" "17"
"39" "CON_NTO_TLC_36TCONS6" "CON" "NTO_TLC" "NTO" "TLC" "36TCONS6" "16"
"40" "CON_NTO_TLC_37TCONS7" "CON" "NTO_TLC" "NTO" "TLC" "37TCONS7" "14"
"41" "CON_NTO_TLC_38TCONS8" "CON" "NTO_TLC" "NTO" "TLC" "38TCONS8" "12"
"42" "CON_NTO_TLC_39TCONS9" "CON" "NTO_TLC" "NTO" "TLC" "39TCONS9" "13"
