"h_names_Site0.05" "h_ocurrence_Site0.05"
"1" "Zotu101_P2_G01_87ACONS9_S505_N707" "2"
"2" "Zotu104_P2_A01_16IZPOC1_S502_N707" "7"
"3" "Zotu106_P1_F11_78SHCON9_S508_N706" "17"
"4" "Zotu107_P3_C05_110ACON23_S508_N712" "1"
"5" "Zotu108_P3_H03G04_123ACON13_S506_N712" "3"
"6" "Zotu110_P3_A01_85ACON7_S507_N710" "1"
"7" "Zotu111_P1_F11_78SHCON9_S508_N706" "2"
"8" "Zotu111_P3_G05_109ACON22_S502_N701" "1"
"9" "Zotu116_P1_H06_36TCONS6_S503_N704" "2"
"10" "Zotu116_P3_E01_83ACON5_S517_N710" "9"
"11" "Zotu118_P1_G02_20MMC2_S502_N702" "6"
"12" "Zotu119_P1_D06_74SHCON5_S517_N703" "5"
"13" "Zotu11_P3_C06_84ACON6_S504_N701" "4"
"14" "Zotu123_P1_B06_71SHCON2_S508_N703" "24"
"15" "Zotu125_P1_D06_74SHCON5_S517_N703" "2"
"16" "Zotu125_P1_G03_33TCONS3_S506_N702" "3"
"17" "Zotu127_P3_A06_128ACON18_S503_N701" "8"
"18" "Zotu12_P1_B06_71SHCON2_S508_N703" "5"
"19" "Zotu131_P2_G01_87ACONS9_S505_N707" "3"
"20" "Zotu132_P2_E01_31TCONS1_S504_N707" "5"
"21" "Zotu136_P2_C01_18IZTAC3_S503_N707" "1"
"22" "Zotu136_P2_G01_87ACONS9_S505_N707" "1"
"23" "Zotu137_P1_D05_13SHC4C1_S505_N703" "4"
"24" "Zotu141_P3_H03G04_123ACON13_S506_N712" "1"
"25" "Zotu143_P3_G08_127ACON17_S506_N702" "1"
"26" "Zotu145_P3_C06_84ACON6_S504_N701" "1"
"27" "Zotu145_P4_E06_120ACON10_S508_N705" "3"
"28" "Zotu148_P1_D07_35TCONS5_S506_N704" "2"
"29" "Zotu151_P1_E02_21MMC3_S517_N701" "7"
"30" "Zotu154_P1_A03_38TCONS8_S503_N702" "2"
"31" "Zotu156_P3_E01_83ACON5_S517_N710" "2"
"32" "Zotu164_P3_A06_128ACON18_S503_N701" "1"
"33" "Zotu167_P1_A01_32TCONS2_S502_N701" "1"
"34" "Zotu168_P1_A03_38TCONS8_S503_N702" "6"
"35" "Zotu169_P1_D08_34TCONS4_S502_N705" "1"
"36" "Zotu169_P3_E06_80ACON2_S505_N701" "1"
"37" "Zotu170_P1_G03_33TCONS3_S506_N702" "2"
"38" "Zotu173_P1_F11_78SHCON9_S508_N706" "3"
"39" "Zotu174_P3_A07_81ACON3_S507_N701" "3"
"40" "Zotu175_P2_E03_72SHCON3_S505_N708" "1"
"41" "Zotu176_P1_D07_35TCONS5_S506_N704" "1"
"42" "Zotu179_P1_G03_33TCONS3_S506_N702" "3"
"43" "Zotu179_P3_A07_81ACON3_S507_N701" "3"
"44" "Zotu181_P3_E04_121ACON11_S505_N712" "12"
"45" "Zotu185_P3_C04_79ACON1_S504_N712" "7"
"46" "Zotu186_P1_D05_13SHC4C1_S505_N703" "5"
"47" "Zotu186_P1_H08_70SHCON1_S504_N705" "5"
"48" "Zotu189_P3_A01_85ACON7_S507_N710" "1"
"49" "Zotu191_P2_A01_16IZPOC1_S502_N707" "1"
"50" "Zotu192_P1_F11_78SHCON9_S508_N706" "1"
"51" "Zotu192_P2_E02_77SHCON8_S508_N707" "1"
"52" "Zotu198_P3_E01_83ACON5_S517_N710" "1"
"53" "Zotu201_P1_H01_75SHCON6_S506_N701" "1"
"54" "Zotu201_P3_A01_85ACON7_S507_N710" "1"
"55" "Zotu210_P1_D07_35TCONS5_S506_N704" "4"
"56" "Zotu212_P3_A05_107ACON20_S507_N712" "1"
"57" "Zotu213_P3_E03_86ACON8_S517_N711" "1"
"58" "Zotu217_P3_A07_81ACON3_S507_N701" "1"
"59" "Zotu224_P3_G03_126ACON16_S502_N712" "1"
"60" "Zotu230_P3_E01_83ACON5_S517_N710" "1"
"61" "Zotu233_P3_A05_107ACON20_S507_N712" "1"
"62" "Zotu24_P3_G07_111ACON24_S502_N702" "1"
"63" "Zotu267_P3_E01_83ACON5_S517_N710" "1"
"64" "Zotu269_P3_E03_86ACON8_S517_N711" "1"
"65" "Zotu290_P3_G07_111ACON24_S502_N702" "3"
"66" "Zotu32_P3_G06_108ACON21_S506_N701" "1"
"67" "Zotu342_P3_A05_107ACON20_S507_N712" "4"
"68" "Zotu35_P3_E04_121ACON11_S505_N712" "1"
"69" "Zotu41_P3_C04_79ACON1_S504_N712" "1"
"70" "Zotu42_P3_G08_127ACON17_S506_N702" "1"
"71" "Zotu44_P1_H04_19MMC1_S503_N703" "1"
"72" "Zotu50_P2_A02_76SHCON7_S506_N707" "1"
"73" "Zotu58_P4_E03_122ACON12_S504_N704" "2"
"74" "Zotu59_P1_H09_37TCONS7_S508_N705" "1"
"75" "Zotu65_P2_A01_16IZPOC1_S502_N707" "1"
"76" "Zotu66_P3_C04_79ACON1_S504_N712" "2"
"77" "Zotu76_P3_C06_84ACON6_S504_N701" "9"
"78" "Zotu82_P1_H06_36TCONS6_S503_N704" "3"
"79" "Zotu85_P3_A01_85ACON7_S507_N710" "1"
"80" "Zotu94_P1_A03_38TCONS8_S503_N702" "1"
"81" "Zotu98_P1_H06_36TCONS6_S503_N704" "1"
