"h_names_Site" "h_ocurrence_Site"
"1" "Zotu101_P2_G01_87ACONS9_S505_N707" "2"
"2" "Zotu106_P1_F11_78SHCON9_S508_N706" "1"
"3" "Zotu107_P3_C05_110ACON23_S508_N712" "1"
"4" "Zotu108_P1_H06_36TCONS6_S503_N704" "5"
"5" "Zotu108_P3_H03G04_123ACON13_S506_N712" "1"
"6" "Zotu109_P3_E04_121ACON11_S505_N712" "1"
"7" "Zotu110_P3_A01_85ACON7_S507_N710" "1"
"8" "Zotu111_P1_F11_78SHCON9_S508_N706" "2"
"9" "Zotu111_P3_G05_109ACON22_S502_N701" "1"
"10" "Zotu116_P1_H06_36TCONS6_S503_N704" "2"
"11" "Zotu116_P3_E01_83ACON5_S517_N710" "1"
"12" "Zotu119_P1_D06_74SHCON5_S517_N703" "1"
"13" "Zotu11_P3_C06_84ACON6_S504_N701" "1"
"14" "Zotu123_P1_B06_71SHCON2_S508_N703" "8"
"15" "Zotu125_P1_D06_74SHCON5_S517_N703" "1"
"16" "Zotu125_P1_G03_33TCONS3_S506_N702" "1"
"17" "Zotu127_P3_A06_128ACON18_S503_N701" "3"
"18" "Zotu12_P1_B06_71SHCON2_S508_N703" "2"
"19" "Zotu131_P2_G01_87ACONS9_S505_N707" "1"
"20" "Zotu132_P2_E01_31TCONS1_S504_N707" "2"
"21" "Zotu136_P2_G01_87ACONS9_S505_N707" "1"
"22" "Zotu137_P1_D05_13SHC4C1_S505_N703" "2"
"23" "Zotu141_P3_H03G04_123ACON13_S506_N712" "1"
"24" "Zotu142_P3_H03G04_123ACON13_S506_N712" "1"
"25" "Zotu143_P3_G08_127ACON17_S506_N702" "1"
"26" "Zotu145_P1_A03_38TCONS8_S503_N702" "6"
"27" "Zotu145_P3_C06_84ACON6_S504_N701" "1"
"28" "Zotu145_P4_E06_120ACON10_S508_N705" "1"
"29" "Zotu146_P3_C04_79ACON1_S504_N712" "1"
"30" "Zotu147_P1_G03_33TCONS3_S506_N702" "1"
"31" "Zotu148_P1_D07_35TCONS5_S506_N704" "2"
"32" "Zotu151_P1_F11_78SHCON9_S508_N706" "2"
"33" "Zotu153_P1_A03_38TCONS8_S503_N702" "2"
"34" "Zotu154_P1_A03_38TCONS8_S503_N702" "2"
"35" "Zotu154_P3_E03_86ACON8_S517_N711" "1"
"36" "Zotu155_P3_C06_84ACON6_S504_N701" "1"
"37" "Zotu156_P3_E01_83ACON5_S517_N710" "2"
"38" "Zotu157_P1_B06_71SHCON2_S508_N703" "4"
"39" "Zotu164_P3_A06_128ACON18_S503_N701" "1"
"40" "Zotu167_P1_A01_32TCONS2_S502_N701" "1"
"41" "Zotu168_P1_A03_38TCONS8_S503_N702" "4"
"42" "Zotu169_P1_D08_34TCONS4_S502_N705" "1"
"43" "Zotu169_P3_E06_80ACON2_S505_N701" "1"
"44" "Zotu170_P1_G03_33TCONS3_S506_N702" "2"
"45" "Zotu173_P1_F11_78SHCON9_S508_N706" "3"
"46" "Zotu174_P3_A07_81ACON3_S507_N701" "3"
"47" "Zotu175_P2_E03_72SHCON3_S505_N708" "1"
"48" "Zotu176_P1_D07_35TCONS5_S506_N704" "1"
"49" "Zotu179_P1_G03_33TCONS3_S506_N702" "3"
"50" "Zotu179_P3_A07_81ACON3_S507_N701" "2"
"51" "Zotu17_P1_B06_71SHCON2_S508_N703" "1"
"52" "Zotu180_P1_B08_17IZPOC2_S517_N704" "4"
"53" "Zotu181_P1_D07_35TCONS5_S506_N704" "3"
"54" "Zotu181_P3_E04_121ACON11_S505_N712" "1"
"55" "Zotu184_P3_C04_79ACON1_S504_N712" "1"
"56" "Zotu185_P3_C04_79ACON1_S504_N712" "7"
"57" "Zotu186_P1_B06_71SHCON2_S508_N703" "3"
"58" "Zotu186_P1_D05_13SHC4C1_S505_N703" "2"
"59" "Zotu186_P1_H08_70SHCON1_S504_N705" "5"
"60" "Zotu189_P1_G03_33TCONS3_S506_N702" "2"
"61" "Zotu189_P3_A01_85ACON7_S507_N710" "1"
"62" "Zotu191_P2_A01_16IZPOC1_S502_N707" "1"
"63" "Zotu192_P1_F11_78SHCON9_S508_N706" "1"
"64" "Zotu192_P2_E02_77SHCON8_S508_N707" "1"
"65" "Zotu193_P3_C04_79ACON1_S504_N712" "9"
"66" "Zotu195_P1_G03_33TCONS3_S506_N702" "2"
"67" "Zotu197_P1_B06_71SHCON2_S508_N703" "5"
"68" "Zotu198_P1_H01_75SHCON6_S506_N701" "1"
"69" "Zotu198_P3_E01_83ACON5_S517_N710" "1"
"70" "Zotu201_P1_D07_35TCONS5_S506_N704" "3"
"71" "Zotu201_P1_H01_75SHCON6_S506_N701" "1"
"72" "Zotu201_P3_A01_85ACON7_S507_N710" "1"
"73" "Zotu206_P3_G06_108ACON21_S506_N701" "1"
"74" "Zotu208_P3_A02_39TCONSER9_S503_N711" "1"
"75" "Zotu209_P1_D07_35TCONS5_S506_N704" "2"
"76" "Zotu210_P1_D07_35TCONS5_S506_N704" "4"
"77" "Zotu210_P1_H01_75SHCON6_S506_N701" "1"
"78" "Zotu212_P3_A05_107ACON20_S507_N712" "1"
"79" "Zotu213_P1_D07_35TCONS5_S506_N704" "1"
"80" "Zotu213_P3_E03_86ACON8_S517_N711" "1"
"81" "Zotu217_P3_A07_81ACON3_S507_N701" "1"
"82" "Zotu219_P3_C04_79ACON1_S504_N712" "6"
"83" "Zotu224_P3_G03_126ACON16_S502_N712" "1"
"84" "Zotu226_P3_E03_86ACON8_S517_N711" "1"
"85" "Zotu228_P3_C04_79ACON1_S504_N712" "1"
"86" "Zotu22_P1_B06_71SHCON2_S508_N703" "2"
"87" "Zotu230_P3_E01_83ACON5_S517_N710" "1"
"88" "Zotu233_P3_A05_107ACON20_S507_N712" "1"
"89" "Zotu234_P3_E03_86ACON8_S517_N711" "2"
"90" "Zotu238_P3_A01_85ACON7_S507_N710" "5"
"91" "Zotu241_P3_A02_39TCONSER9_S503_N711" "1"
"92" "Zotu242_P3_A02_39TCONSER9_S503_N711" "4"
"93" "Zotu247_P3_A02_39TCONSER9_S503_N711" "1"
"94" "Zotu249_P3_A02_39TCONSER9_S503_N711" "1"
"95" "Zotu24_P1_D05_13SHC4C1_S505_N703" "5"
"96" "Zotu24_P3_G07_111ACON24_S502_N702" "1"
"97" "Zotu250_P3_E03_86ACON8_S517_N711" "1"
"98" "Zotu253_P3_E03_86ACON8_S517_N711" "1"
"99" "Zotu258_P3_A05_107ACON20_S507_N712" "1"
"100" "Zotu267_P3_E01_83ACON5_S517_N710" "1"
"101" "Zotu269_P3_E03_86ACON8_S517_N711" "1"
"102" "Zotu286_P3_G02_82ACON4_S506_N711" "1"
"103" "Zotu290_P3_G07_111ACON24_S502_N702" "1"
"104" "Zotu299_P3_G02_82ACON4_S506_N711" "1"
"105" "Zotu32_P3_G06_108ACON21_S506_N701" "1"
"106" "Zotu342_P3_A05_107ACON20_S507_N712" "4"
"107" "Zotu34_P1_D08_34TCONS4_S502_N705" "2"
"108" "Zotu35_P3_E04_121ACON11_S505_N712" "1"
"109" "Zotu36_P1_B08_17IZPOC2_S517_N704" "1"
"110" "Zotu41_P3_C04_79ACON1_S504_N712" "1"
"111" "Zotu42_P3_G08_127ACON17_S506_N702" "1"
"112" "Zotu44_P1_H04_19MMC1_S503_N703" "1"
"113" "Zotu4_P1_B08_17IZPOC2_S517_N704" "1"
"114" "Zotu50_P2_A02_76SHCON7_S506_N707" "1"
"115" "Zotu58_P3_H03G04_123ACON13_S506_N712" "2"
"116" "Zotu58_P4_E03_122ACON12_S504_N704" "2"
"117" "Zotu59_P1_H09_37TCONS7_S508_N705" "1"
"118" "Zotu65_P2_A01_16IZPOC1_S502_N707" "1"
"119" "Zotu66_P3_C04_79ACON1_S504_N712" "2"
"120" "Zotu67_P1_A01_32TCONS2_S502_N701" "22"
"121" "Zotu69_P1_D05_13SHC4C1_S505_N703" "10"
"122" "Zotu6_P1_B06_71SHCON2_S508_N703" "2"
"123" "Zotu70_P3_G08_127ACON17_S506_N702" "3"
"124" "Zotu71_P1_A03_38TCONS8_S503_N702" "2"
"125" "Zotu72_P2_G01_87ACONS9_S505_N707" "2"
"126" "Zotu74_P3_E03_86ACON8_S517_N711" "1"
"127" "Zotu76_P3_C06_84ACON6_S504_N701" "9"
"128" "Zotu79_P1_D07_35TCONS5_S506_N704" "1"
"129" "Zotu82_P1_H06_36TCONS6_S503_N704" "3"
"130" "Zotu85_P3_A01_85ACON7_S507_N710" "1"
"131" "Zotu86_P1_B06_71SHCON2_S508_N703" "3"
"132" "Zotu87_P2_G01_87ACONS9_S505_N707" "3"
"133" "Zotu91_P3_A01_85ACON7_S507_N710" "3"
"134" "Zotu94_P1_A03_38TCONS8_S503_N702" "1"
"135" "Zotu96_P3_E04_121ACON11_S505_N712" "2"
"136" "Zotu98_P1_H06_36TCONS6_S503_N704" "1"
