"sample_names_Site_h" "ConservationMountain1" "Conservation" "Mountain1" "Site" "ID" "Mountain1Site" "sample_richness_Site_h"
"1" "CON_NTO_AAB_W_106ACON19" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "37"
"2" "CON_NTO_AAB_W_107ACON20" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "29"
"3" "CON_NTO_AAB_W_108ACON21" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "37"
"4" "CON_NTO_AAB_W_109ACON22" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "46"
"5" "CON_NTO_AAB_W_110ACON23" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "34"
"6" "CON_NTO_AAB_W_111ACON24" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "29"
"7" "CON_NTO_AAB_W_120ACON10" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "33"
"8" "CON_NTO_AAB_W_121ACON11" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "38"
"9" "CON_NTO_AAB_W_122ACON12" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "28"
"10" "CON_NTO_AAB_W_123ACON13" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "40"
"11" "CON_NTO_AAB_W_124ACON14" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "23"
"12" "CON_NTO_AAB_W_125ACON15" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "36"
"13" "CON_NTO_AAB_W_126ACON16" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "52"
"14" "CON_NTO_AAB_W_127ACON17" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "35"
"15" "CON_NTO_AAB_W_128ACON18" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "42"
"16" "CON_NTO_ASB_W_79ACON1" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "36"
"17" "CON_NTO_ASB_W_80ACON2" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "42"
"18" "CON_NTO_ASB_W_81ACON3" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "44"
"19" "CON_NTO_ASB_W_82ACON4" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "42"
"20" "CON_NTO_ASB_W_83ACON5" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "31"
"21" "CON_NTO_ASB_W_84ACON6" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "39"
"22" "CON_NTO_ASB_W_85ACON7" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "39"
"23" "CON_NTO_ASB_W_86ACON8" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "37"
"24" "CON_NTO_ASB_W_87ACON9" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "25"
"25" "CON_NTO_SJH_E_70SHCON1" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "42"
"26" "CON_NTO_SJH_E_71SHCON2" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "37"
"27" "CON_NTO_SJH_E_72SHCON3" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "56"
"28" "CON_NTO_SJH_E_73SHCON4" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "45"
"29" "CON_NTO_SJH_E_74SHCON5" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "56"
"30" "CON_NTO_SJH_E_75SHCON6" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "58"
"31" "CON_NTO_SJH_E_76SHCON7" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "18"
"32" "CON_NTO_SJH_E_77SHCON8" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "35"
"33" "CON_NTO_SJH_E_78SHCON9" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "28"
"34" "CON_NTO_TLC_E_31TCONS1" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "49"
"35" "CON_NTO_TLC_E_32TCONS2" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "37"
"36" "CON_NTO_TLC_E_33TCONS3" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "41"
"37" "CON_NTO_TLC_E_34TCONS4" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "47"
"38" "CON_NTO_TLC_E_35TCONS5" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "44"
"39" "CON_NTO_TLC_E_36TCONS6" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "15"
"40" "CON_NTO_TLC_E_37TCONS7" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "46"
"41" "CON_NTO_TLC_E_38TCONS8" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "35"
"42" "CON_NTO_TLC_E_39TCONS9" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "30"
