"Zotu100_P1_H01_75SHCON6_S506_N701" "Zotu102_P2_G01_87ACONS9_S505_N707" "Zotu102_P3_C06_84ACON6_S504_N701" "Zotu103_P1_B06_71SHCON2_S508_N703" "Zotu103_P1_B08_17IZPOC2_S517_N704" "Zotu106_P1_H01_75SHCON6_S506_N701" "Zotu106_P2_G01_87ACONS9_S505_N707" "Zotu107_P3_A06_128ACON18_S503_N701" "Zotu110_P2_G01_87ACONS9_S505_N707" "Zotu113_P3_C05_110ACON23_S508_N712" "Zotu118_P1_H04_19MMC1_S503_N703" "Zotu11_P1_D07_35TCONS5_S506_N704" "Zotu120_P3_A05_107ACON20_S507_N712" "Zotu125_P3_A06_128ACON18_S503_N701" "Zotu138_P1_B06_71SHCON2_S508_N703" "Zotu13_P1_D06_74SHCON5_S517_N703" "Zotu141_P3_A05_107ACON20_S507_N712" "Zotu14_P1_B08_17IZPOC2_S517_N704" "Zotu152_P3_A01_85ACON7_S507_N710" "Zotu158_P3_A05_107ACON20_S507_N712" "Zotu168_P3_A06_128ACON18_S503_N701" "Zotu171_P3_A07_81ACON3_S507_N701" "Zotu17_P4_E06_120ACON10_S508_N705" "Zotu181_P3_G06_108ACON21_S506_N701" "Zotu182_P3_A05_107ACON20_S507_N712" "Zotu21_P3_C05_110ACON23_S508_N712" "Zotu26_P3_A01_85ACON7_S507_N710" "Zotu29_P3_C05_110ACON23_S508_N712" "Zotu34_P3_E03_86ACON8_S517_N711" "Zotu35_P3_A06_128ACON18_S503_N701" "Zotu35_P3_C05_110ACON23_S508_N712" "Zotu37_P3_C03_125ACON15_S508_N711" "Zotu41_P3_E03_86ACON8_S517_N711" "Zotu57_P3_A01_85ACON7_S507_N710" "Zotu57_P3_A06_128ACON18_S503_N701" "Zotu59_P1_H01_75SHCON6_S506_N701" "Zotu59_P3_A01_85ACON7_S507_N710" "Zotu60_P1_D06_74SHCON5_S517_N703" "Zotu65_P3_C04_79ACON1_S504_N712" "Zotu68_P2_G01_87ACONS9_S505_N707" "Zotu78_P4_C10_106ACON19_S508_N707" "Zotu98_P2_G01_87ACONS9_S505_N707"
"CON_NTO_AAB_W_106ACON19" 0 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0
"CON_NTO_AAB_W_107ACON20" 1 1 1 0 1 0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
"CON_NTO_AAB_W_108ACON21" 1 1 1 0 0 0 0 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_W_109ACON22" 1 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 1 0 0 0 0
"CON_NTO_AAB_W_110ACON23" 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"CON_NTO_AAB_W_111ACON24" 1 1 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0
"CON_NTO_AAB_W_120ACON10" 0 1 1 0 0 0 1 0 1 0 1 1 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
"CON_NTO_AAB_W_121ACON11" 0 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1
"CON_NTO_AAB_W_122ACON12" 1 1 1 0 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_W_123ACON13" 0 1 1 1 0 0 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0
