"sample_names_Mountain1_0.05" "Conservation" "Mountain1andSite" "Mountain1" "Site" "ID"
"1" "CON_NTO_AAB_W_106ACON19" "CON" "NTO_AAB" "NTO" "AAB" "W"
"2" "CON_NTO_AAB_W_107ACON20" "CON" "NTO_AAB" "NTO" "AAB" "W"
"3" "CON_NTO_AAB_W_108ACON21" "CON" "NTO_AAB" "NTO" "AAB" "W"
"4" "CON_NTO_AAB_W_109ACON22" "CON" "NTO_AAB" "NTO" "AAB" "W"
"5" "CON_NTO_AAB_W_110ACON23" "CON" "NTO_AAB" "NTO" "AAB" "W"
"6" "CON_NTO_AAB_W_111ACON24" "CON" "NTO_AAB" "NTO" "AAB" "W"
"7" "CON_NTO_AAB_W_120ACON10" "CON" "NTO_AAB" "NTO" "AAB" "W"
"8" "CON_NTO_AAB_W_121ACON11" "CON" "NTO_AAB" "NTO" "AAB" "W"
"9" "CON_NTO_AAB_W_122ACON12" "CON" "NTO_AAB" "NTO" "AAB" "W"
"10" "CON_NTO_AAB_W_123ACON13" "CON" "NTO_AAB" "NTO" "AAB" "W"
"11" "CON_NTO_AAB_W_124ACON14" "CON" "NTO_AAB" "NTO" "AAB" "W"
"12" "CON_NTO_AAB_W_125ACON15" "CON" "NTO_AAB" "NTO" "AAB" "W"
"13" "CON_NTO_AAB_W_126ACON16" "CON" "NTO_AAB" "NTO" "AAB" "W"
"14" "CON_NTO_AAB_W_127ACON17" "CON" "NTO_AAB" "NTO" "AAB" "W"
"15" "CON_NTO_AAB_W_128ACON18" "CON" "NTO_AAB" "NTO" "AAB" "W"
"16" "CON_NTO_ASB_W_79ACON1" "CON" "NTO_ASB" "NTO" "ASB" "W"
"17" "CON_NTO_ASB_W_80ACON2" "CON" "NTO_ASB" "NTO" "ASB" "W"
"18" "CON_NTO_ASB_W_81ACON3" "CON" "NTO_ASB" "NTO" "ASB" "W"
"19" "CON_NTO_ASB_W_82ACON4" "CON" "NTO_ASB" "NTO" "ASB" "W"
"20" "CON_NTO_ASB_W_83ACON5" "CON" "NTO_ASB" "NTO" "ASB" "W"
"21" "CON_NTO_ASB_W_84ACON6" "CON" "NTO_ASB" "NTO" "ASB" "W"
"22" "CON_NTO_ASB_W_85ACON7" "CON" "NTO_ASB" "NTO" "ASB" "W"
"23" "CON_NTO_ASB_W_86ACON8" "CON" "NTO_ASB" "NTO" "ASB" "W"
"24" "CON_NTO_ASB_W_87ACON9" "CON" "NTO_ASB" "NTO" "ASB" "W"
"25" "CON_NTO_SJH_E_70SHCON1" "CON" "NTO_SJH" "NTO" "SJH" "E"
"26" "CON_NTO_SJH_E_71SHCON2" "CON" "NTO_SJH" "NTO" "SJH" "E"
"27" "CON_NTO_SJH_E_72SHCON3" "CON" "NTO_SJH" "NTO" "SJH" "E"
"28" "CON_NTO_SJH_E_73SHCON4" "CON" "NTO_SJH" "NTO" "SJH" "E"
"29" "CON_NTO_SJH_E_74SHCON5" "CON" "NTO_SJH" "NTO" "SJH" "E"
"30" "CON_NTO_SJH_E_75SHCON6" "CON" "NTO_SJH" "NTO" "SJH" "E"
"31" "CON_NTO_SJH_E_76SHCON7" "CON" "NTO_SJH" "NTO" "SJH" "E"
"32" "CON_NTO_SJH_E_77SHCON8" "CON" "NTO_SJH" "NTO" "SJH" "E"
"33" "CON_NTO_SJH_E_78SHCON9" "CON" "NTO_SJH" "NTO" "SJH" "E"
"34" "CON_NTO_TLC_E_31TCONS1" "CON" "NTO_TLC" "NTO" "TLC" "E"
"35" "CON_NTO_TLC_E_32TCONS2" "CON" "NTO_TLC" "NTO" "TLC" "E"
"36" "CON_NTO_TLC_E_33TCONS3" "CON" "NTO_TLC" "NTO" "TLC" "E"
"37" "CON_NTO_TLC_E_34TCONS4" "CON" "NTO_TLC" "NTO" "TLC" "E"
"38" "CON_NTO_TLC_E_35TCONS5" "CON" "NTO_TLC" "NTO" "TLC" "E"
"39" "CON_NTO_TLC_E_36TCONS6" "CON" "NTO_TLC" "NTO" "TLC" "E"
"40" "CON_NTO_TLC_E_37TCONS7" "CON" "NTO_TLC" "NTO" "TLC" "E"
"41" "CON_NTO_TLC_E_38TCONS8" "CON" "NTO_TLC" "NTO" "TLC" "E"
"42" "CON_NTO_TLC_E_39TCONS9" "CON" "NTO_TLC" "NTO" "TLC" "E"
