"sample_names_Site0.05" "ConservationMountain1" "Conservation" "Mountain1" "Site" "ID" "Mountain1Site" "sample_richness_Site0.05"
"1" "CON_NTO_AAB_106ACON19" "CON_NTO" "CON" "NTO" "AAB" "106ACON19" "NTO_AAB" "22"
"2" "CON_NTO_AAB_107ACON20" "CON_NTO" "CON" "NTO" "AAB" "107ACON20" "NTO_AAB" "26"
"3" "CON_NTO_AAB_108ACON21" "CON_NTO" "CON" "NTO" "AAB" "108ACON21" "NTO_AAB" "23"
"4" "CON_NTO_AAB_109ACON22" "CON_NTO" "CON" "NTO" "AAB" "109ACON22" "NTO_AAB" "27"
"5" "CON_NTO_AAB_110ACON23" "CON_NTO" "CON" "NTO" "AAB" "110ACON23" "NTO_AAB" "26"
"6" "CON_NTO_AAB_111ACON24" "CON_NTO" "CON" "NTO" "AAB" "111ACON24" "NTO_AAB" "24"
"7" "CON_NTO_AAB_120ACON10" "CON_NTO" "CON" "NTO" "AAB" "120ACON10" "NTO_AAB" "16"
"8" "CON_NTO_AAB_121ACON11" "CON_NTO" "CON" "NTO" "AAB" "121ACON11" "NTO_AAB" "14"
"9" "CON_NTO_AAB_122ACON12" "CON_NTO" "CON" "NTO" "AAB" "122ACON12" "NTO_AAB" "10"
"10" "CON_NTO_AAB_123ACON13" "CON_NTO" "CON" "NTO" "AAB" "123ACON13" "NTO_AAB" "12"
"11" "CON_NTO_AAB_124ACON14" "CON_NTO" "CON" "NTO" "AAB" "124ACON14" "NTO_AAB" "12"
"12" "CON_NTO_AAB_125ACON15" "CON_NTO" "CON" "NTO" "AAB" "125ACON15" "NTO_AAB" "12"
"13" "CON_NTO_AAB_126ACON16" "CON_NTO" "CON" "NTO" "AAB" "126ACON16" "NTO_AAB" "21"
"14" "CON_NTO_AAB_127ACON17" "CON_NTO" "CON" "NTO" "AAB" "127ACON17" "NTO_AAB" "17"
"15" "CON_NTO_AAB_128ACON18" "CON_NTO" "CON" "NTO" "AAB" "128ACON18" "NTO_AAB" "15"
"16" "CON_NTO_ASB_79ACON1" "CON_NTO" "CON" "NTO" "ASB" "79ACON1" "NTO_ASB" "25"
"17" "CON_NTO_ASB_80ACON2" "CON_NTO" "CON" "NTO" "ASB" "80ACON2" "NTO_ASB" "25"
"18" "CON_NTO_ASB_81ACON3" "CON_NTO" "CON" "NTO" "ASB" "81ACON3" "NTO_ASB" "21"
"19" "CON_NTO_ASB_82ACON4" "CON_NTO" "CON" "NTO" "ASB" "82ACON4" "NTO_ASB" "25"
"20" "CON_NTO_ASB_83ACON5" "CON_NTO" "CON" "NTO" "ASB" "83ACON5" "NTO_ASB" "23"
"21" "CON_NTO_ASB_84ACON6" "CON_NTO" "CON" "NTO" "ASB" "84ACON6" "NTO_ASB" "27"
"22" "CON_NTO_ASB_85ACON7" "CON_NTO" "CON" "NTO" "ASB" "85ACON7" "NTO_ASB" "25"
"23" "CON_NTO_ASB_86ACON8" "CON_NTO" "CON" "NTO" "ASB" "86ACON8" "NTO_ASB" "23"
"24" "CON_NTO_ASB_87ACON9" "CON_NTO" "CON" "NTO" "ASB" "87ACON9" "NTO_ASB" "19"
"25" "CON_NTO_SJH_70SHCON1" "CON_NTO" "CON" "NTO" "SJH" "70SHCON1" "NTO_SJH" "17"
"26" "CON_NTO_SJH_71SHCON2" "CON_NTO" "CON" "NTO" "SJH" "71SHCON2" "NTO_SJH" "19"
"27" "CON_NTO_SJH_72SHCON3" "CON_NTO" "CON" "NTO" "SJH" "72SHCON3" "NTO_SJH" "26"
"28" "CON_NTO_SJH_73SHCON4" "CON_NTO" "CON" "NTO" "SJH" "73SHCON4" "NTO_SJH" "24"
"29" "CON_NTO_SJH_74SHCON5" "CON_NTO" "CON" "NTO" "SJH" "74SHCON5" "NTO_SJH" "18"
"30" "CON_NTO_SJH_75SHCON6" "CON_NTO" "CON" "NTO" "SJH" "75SHCON6" "NTO_SJH" "18"
"31" "CON_NTO_SJH_76SHCON7" "CON_NTO" "CON" "NTO" "SJH" "76SHCON7" "NTO_SJH" "13"
"32" "CON_NTO_SJH_77SHCON8" "CON_NTO" "CON" "NTO" "SJH" "77SHCON8" "NTO_SJH" "24"
"33" "CON_NTO_SJH_78SHCON9" "CON_NTO" "CON" "NTO" "SJH" "78SHCON9" "NTO_SJH" "23"
"34" "CON_NTO_TLC_31TCONS1" "CON_NTO" "CON" "NTO" "TLC" "31TCONS1" "NTO_TLC" "18"
"35" "CON_NTO_TLC_32TCONS2" "CON_NTO" "CON" "NTO" "TLC" "32TCONS2" "NTO_TLC" "18"
"36" "CON_NTO_TLC_33TCONS3" "CON_NTO" "CON" "NTO" "TLC" "33TCONS3" "NTO_TLC" "21"
"37" "CON_NTO_TLC_34TCONS4" "CON_NTO" "CON" "NTO" "TLC" "34TCONS4" "NTO_TLC" "19"
"38" "CON_NTO_TLC_35TCONS5" "CON_NTO" "CON" "NTO" "TLC" "35TCONS5" "NTO_TLC" "18"
"39" "CON_NTO_TLC_36TCONS6" "CON_NTO" "CON" "NTO" "TLC" "36TCONS6" "NTO_TLC" "14"
"40" "CON_NTO_TLC_37TCONS7" "CON_NTO" "CON" "NTO" "TLC" "37TCONS7" "NTO_TLC" "17"
"41" "CON_NTO_TLC_38TCONS8" "CON_NTO" "CON" "NTO" "TLC" "38TCONS8" "NTO_TLC" "18"
"42" "CON_NTO_TLC_39TCONS9" "CON_NTO" "CON" "NTO" "TLC" "39TCONS9" "NTO_TLC" "22"
