"h_names_Site" "h_ocurrence_Site"
"1" "Zotu100_P1_D08_34TCONS4_S502_N705" "1"
"2" "Zotu101_P1_A01_32TCONS2_S502_N701" "11"
"3" "Zotu101_P1_B06_71SHCON2_S508_N703" "7"
"4" "Zotu101_P1_D05_13SHC4C1_S505_N703" "3"
"5" "Zotu103_P1_D05_13SHC4C1_S505_N703" "2"
"6" "Zotu103_P1_D07_35TCONS5_S506_N704" "35"
"7" "Zotu103_P1_H04_19MMC1_S503_N703" "27"
"8" "Zotu103_P2_G01_87ACONS9_S505_N707" "14"
"9" "Zotu105_P3_A05_107ACON20_S507_N712" "5"
"10" "Zotu107_P1_A01_32TCONS2_S502_N701" "24"
"11" "Zotu108_P3_A01_85ACON7_S507_N710" "5"
"12" "Zotu109_P1_B08_17IZPOC2_S517_N704" "6"
"13" "Zotu10_P1_A01_32TCONS2_S502_N701" "25"
"14" "Zotu10_P1_B06_71SHCON2_S508_N703" "23"
"15" "Zotu10_P1_D06_74SHCON5_S517_N703" "2"
"16" "Zotu10_P1_D08_34TCONS4_S502_N705" "24"
"17" "Zotu10_P1_H01_75SHCON6_S506_N701" "2"
"18" "Zotu10_P1_H06_36TCONS6_S503_N704" "4"
"19" "Zotu10_P2_G01_87ACONS9_S505_N707" "31"
"20" "Zotu10_P3_H03G04_123ACON13_S506_N712" "6"
"21" "Zotu111_P3_C05_110ACON23_S508_N712" "2"
"22" "Zotu112_P1_E02_21MMC3_S517_N701" "5"
"23" "Zotu112_P2_G02_14SHCN5C2_S517_N707" "3"
"24" "Zotu113_P3_C04_79ACON1_S504_N712" "5"
"25" "Zotu115_P1_H06_36TCONS6_S503_N704" "10"
"26" "Zotu117_P1_G03_33TCONS3_S506_N702" "9"
"27" "Zotu119_P3_A07_81ACON3_S507_N701" "3"
"28" "Zotu11_P1_B06_71SHCON2_S508_N703" "2"
"29" "Zotu11_P1_D06_74SHCON5_S517_N703" "27"
"30" "Zotu11_P3_C03_125ACON15_S508_N711" "20"
"31" "Zotu11_P3_G07_111ACON24_S502_N702" "24"
"32" "Zotu120_P1_G02_20MMC2_S502_N702" "6"
"33" "Zotu120_P2_G01_87ACONS9_S505_N707" "10"
"34" "Zotu122_P1_A03_38TCONS8_S503_N702" "27"
"35" "Zotu122_P1_D05_13SHC4C1_S505_N703" "14"
"36" "Zotu123_P1_E02_21MMC3_S517_N701" "1"
"37" "Zotu124_P3_C05_110ACON23_S508_N712" "5"
"38" "Zotu126_P3_A02_39TCONSER9_S503_N711" "9"
"39" "Zotu128_P1_A03_38TCONS8_S503_N702" "5"
"40" "Zotu128_P1_B06_71SHCON2_S508_N703" "13"
"41" "Zotu128_P1_D07_35TCONS5_S506_N704" "20"
"42" "Zotu129_P1_A01_32TCONS2_S502_N701" "13"
"43" "Zotu12_P1_E02_21MMC3_S517_N701" "1"
"44" "Zotu12_P2_G01_87ACONS9_S505_N707" "28"
"45" "Zotu12_P3_A06_128ACON18_S503_N701" "4"
"46" "Zotu12_P3_C06_84ACON6_S504_N701" "23"
"47" "Zotu12_P3_G06_108ACON21_S506_N701" "1"
"48" "Zotu12_P4_C10_106ACON19_S508_N707" "1"
"49" "Zotu132_P1_A03_38TCONS8_S503_N702" "10"
"50" "Zotu132_P1_F11_78SHCON9_S508_N706" "37"
"51" "Zotu138_P1_D07_35TCONS5_S506_N704" "4"
"52" "Zotu13_P1_B06_71SHCON2_S508_N703" "3"
"53" "Zotu13_P1_F05_15SHC6C3_S506_N703" "9"
"54" "Zotu13_P2_E02_77SHCON8_S508_N707" "2"
"55" "Zotu13_P2_E03_72SHCON3_S505_N708" "12"
"56" "Zotu13_P3_C04_79ACON1_S504_N712" "1"
"57" "Zotu13_P3_C06_84ACON6_S504_N701" "2"
"58" "Zotu13_P3_E01_83ACON5_S517_N710" "2"
"59" "Zotu13_P3_E03_86ACON8_S517_N711" "1"
"60" "Zotu13_P3_E06_80ACON2_S505_N701" "23"
"61" "Zotu142_P1_F11_78SHCON9_S508_N706" "13"
"62" "Zotu142_P3_A05_107ACON20_S507_N712" "4"
"63" "Zotu144_P1_A03_38TCONS8_S503_N702" "1"
"64" "Zotu145_P1_B06_71SHCON2_S508_N703" "13"
"65" "Zotu148_P3_C05_110ACON23_S508_N712" "3"
"66" "Zotu14_P1_D07_35TCONS5_S506_N704" "2"
"67" "Zotu14_P2_A02_76SHCON7_S506_N707" "6"
"68" "Zotu14_P2_E02_77SHCON8_S508_N707" "3"
"69" "Zotu14_P2_E03_72SHCON3_S505_N708" "9"
"70" "Zotu14_P3_A06_128ACON18_S503_N701" "1"
"71" "Zotu14_P3_G05_109ACON22_S502_N701" "26"
"72" "Zotu14_P3_G08_127ACON17_S506_N702" "24"
"73" "Zotu153_P1_B08_17IZPOC2_S517_N704" "7"
"74" "Zotu155_P1_A01_32TCONS2_S502_N701" "21"
"75" "Zotu15_P1_A01_32TCONS2_S502_N701" "19"
"76" "Zotu15_P1_A03_38TCONS8_S503_N702" "21"
"77" "Zotu15_P1_H06_36TCONS6_S503_N704" "1"
"78" "Zotu15_P2_G01_87ACONS9_S505_N707" "17"
"79" "Zotu15_P3_E04_121ACON11_S505_N712" "4"
"80" "Zotu15_P4_C10_106ACON19_S508_N707" "1"
"81" "Zotu15_P4_E03_122ACON12_S504_N704" "1"
"82" "Zotu164_P3_A01_85ACON7_S507_N710" "11"
"83" "Zotu165_P1_B08_17IZPOC2_S517_N704" "3"
"84" "Zotu165_P1_D05_13SHC4C1_S505_N703" "4"
"85" "Zotu16_P1_A01_32TCONS2_S502_N701" "17"
"86" "Zotu16_P1_A03_38TCONS8_S503_N702" "26"
"87" "Zotu16_P1_B06_71SHCON2_S508_N703" "12"
"88" "Zotu16_P1_D05_13SHC4C1_S505_N703" "2"
"89" "Zotu16_P1_D06_74SHCON5_S517_N703" "2"
"90" "Zotu16_P2_E01_31TCONS1_S504_N707" "3"
"91" "Zotu16_P2_E03_72SHCON3_S505_N708" "1"
"92" "Zotu16_P2_G01_87ACONS9_S505_N707" "5"
"93" "Zotu16_P3_H03G04_123ACON13_S506_N712" "3"
"94" "Zotu16_P4_C07_124ACON14_S504_N706" "1"
"95" "Zotu16_P4_E03_122ACON12_S504_N704" "1"
"96" "Zotu172_P1_D07_35TCONS5_S506_N704" "19"
"97" "Zotu177_P1_D05_13SHC4C1_S505_N703" "16"
"98" "Zotu179_P1_A03_38TCONS8_S503_N702" "13"
"99" "Zotu17_P1_A01_32TCONS2_S502_N701" "7"
"100" "Zotu17_P1_A03_38TCONS8_S503_N702" "1"
"101" "Zotu17_P1_D06_74SHCON5_S517_N703" "2"
"102" "Zotu17_P1_H09_37TCONS7_S508_N705" "2"
"103" "Zotu17_P2_A02_76SHCON7_S506_N707" "6"
"104" "Zotu17_P2_E02_77SHCON8_S508_N707" "1"
"105" "Zotu17_P2_G01_87ACONS9_S505_N707" "3"
"106" "Zotu17_P3_A06_128ACON18_S503_N701" "3"
"107" "Zotu17_P3_A07_81ACON3_S507_N701" "34"
"108" "Zotu17_P3_E04_121ACON11_S505_N712" "4"
"109" "Zotu17_P3_G05_109ACON22_S502_N701" "2"
"110" "Zotu182_P1_D07_35TCONS5_S506_N704" "21"
"111" "Zotu187_P1_B06_71SHCON2_S508_N703" "19"
"112" "Zotu187_P3_A01_85ACON7_S507_N710" "8"
"113" "Zotu18_P1_A01_32TCONS2_S502_N701" "15"
"114" "Zotu18_P1_A03_38TCONS8_S503_N702" "19"
"115" "Zotu18_P1_B06_71SHCON2_S508_N703" "8"
"116" "Zotu18_P1_D06_74SHCON5_S517_N703" "18"
"117" "Zotu18_P1_G03_33TCONS3_S506_N702" "2"
"118" "Zotu18_P3_E04_121ACON11_S505_N712" "2"
"119" "Zotu18_P4_C10_106ACON19_S508_N707" "11"
"120" "Zotu18_P4_E06_120ACON10_S508_N705" "2"
"121" "Zotu19_P1_A01_32TCONS2_S502_N701" "32"
"122" "Zotu19_P1_D05_13SHC4C1_S505_N703" "2"
"123" "Zotu19_P1_D06_74SHCON5_S517_N703" "2"
"124" "Zotu19_P1_F11_78SHCON9_S508_N706" "1"
"125" "Zotu19_P1_H01_75SHCON6_S506_N701" "3"
"126" "Zotu19_P1_H09_37TCONS7_S508_N705" "3"
"127" "Zotu19_P2_E03_72SHCON3_S505_N708" "4"
"128" "Zotu19_P3_C06_84ACON6_S504_N701" "7"
"129" "Zotu19_P3_G06_108ACON21_S506_N701" "4"
"130" "Zotu1_P1_A01_32TCONS2_S502_N701" "40"
"131" "Zotu1_P1_D05_13SHC4C1_S505_N703" "15"
"132" "Zotu1_P1_F11_78SHCON9_S508_N706" "2"
"133" "Zotu1_P1_H06_36TCONS6_S503_N704" "33"
"134" "Zotu200_P1_D05_13SHC4C1_S505_N703" "1"
"135" "Zotu206_P3_C06_84ACON6_S504_N701" "2"
"136" "Zotu20_P1_A01_32TCONS2_S502_N701" "29"
"137" "Zotu20_P1_A03_38TCONS8_S503_N702" "5"
"138" "Zotu20_P1_B06_71SHCON2_S508_N703" "23"
"139" "Zotu20_P1_F11_78SHCON9_S508_N706" "11"
"140" "Zotu20_P1_G03_33TCONS3_S506_N702" "17"
"141" "Zotu20_P1_H06_36TCONS6_S503_N704" "4"
"142" "Zotu20_P1_H08_70SHCON1_S504_N705" "1"
"143" "Zotu20_P2_E02_77SHCON8_S508_N707" "2"
"144" "Zotu20_P3_A01_85ACON7_S507_N710" "3"
"145" "Zotu20_P3_A05_107ACON20_S507_N712" "21"
"146" "Zotu20_P3_A06_128ACON18_S503_N701" "1"
"147" "Zotu20_P3_C04_79ACON1_S504_N712" "1"
"148" "Zotu20_P3_G05_109ACON22_S502_N701" "7"
"149" "Zotu20_P4_C07_124ACON14_S504_N706" "18"
"150" "Zotu210_P3_G03_126ACON16_S502_N712" "2"
"151" "Zotu21_P1_A01_32TCONS2_S502_N701" "27"
"152" "Zotu21_P1_F11_78SHCON9_S508_N706" "3"
"153" "Zotu21_P1_H01_75SHCON6_S506_N701" "21"
"154" "Zotu21_P3_A05_107ACON20_S507_N712" "1"
"155" "Zotu21_P3_C06_84ACON6_S504_N701" "7"
"156" "Zotu21_P3_E04_121ACON11_S505_N712" "10"
"157" "Zotu21_P3_G03_126ACON16_S502_N712" "1"
"158" "Zotu21_P3_G06_108ACON21_S506_N701" "1"
"159" "Zotu21_P3_G07_111ACON24_S502_N702" "23"
"160" "Zotu21_P3_G08_127ACON17_S506_N702" "24"
"161" "Zotu22_P1_D05_13SHC4C1_S505_N703" "5"
"162" "Zotu22_P1_D07_35TCONS5_S506_N704" "14"
"163" "Zotu22_P1_E02_21MMC3_S517_N701" "3"
"164" "Zotu22_P1_F11_78SHCON9_S508_N706" "2"
"165" "Zotu22_P1_G03_33TCONS3_S506_N702" "1"
"166" "Zotu22_P1_H09_37TCONS7_S508_N705" "1"
"167" "Zotu22_P3_C06_84ACON6_S504_N701" "1"
