"sample_names_Site_h" "ConservationMountain1" "Conservation" "Mountain1" "Site" "ID" "Mountain1Site" "sample_richness_Site_h"
"1" "CON_NTO_AAB_W_106ACON19" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "90"
"2" "CON_NTO_AAB_W_107ACON20" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "136"
"3" "CON_NTO_AAB_W_108ACON21" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "90"
"4" "CON_NTO_AAB_W_109ACON22" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "99"
"5" "CON_NTO_AAB_W_110ACON23" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "115"
"6" "CON_NTO_AAB_W_111ACON24" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "121"
"7" "CON_NTO_AAB_W_120ACON10" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "44"
"8" "CON_NTO_AAB_W_121ACON11" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "68"
"9" "CON_NTO_AAB_W_122ACON12" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "48"
"10" "CON_NTO_AAB_W_123ACON13" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "57"
"11" "CON_NTO_AAB_W_124ACON14" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "36"
"12" "CON_NTO_AAB_W_125ACON15" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "55"
"13" "CON_NTO_AAB_W_126ACON16" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "71"
"14" "CON_NTO_AAB_W_127ACON17" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "78"
"15" "CON_NTO_AAB_W_128ACON18" "CON_NTO" "CON" "NTO" "AAB" "W" "NTO_AAB" "63"
"16" "CON_NTO_ASB_W_79ACON1" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "68"
"17" "CON_NTO_ASB_W_80ACON2" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "79"
"18" "CON_NTO_ASB_W_81ACON3" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "81"
"19" "CON_NTO_ASB_W_82ACON4" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "98"
"20" "CON_NTO_ASB_W_83ACON5" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "72"
"21" "CON_NTO_ASB_W_84ACON6" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "78"
"22" "CON_NTO_ASB_W_85ACON7" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "80"
"23" "CON_NTO_ASB_W_86ACON8" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "62"
"24" "CON_NTO_ASB_W_87ACON9" "CON_NTO" "CON" "NTO" "ASB" "W" "NTO_ASB" "73"
"25" "CON_NTO_SJH_E_70SHCON1" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "92"
"26" "CON_NTO_SJH_E_71SHCON2" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "102"
"27" "CON_NTO_SJH_E_72SHCON3" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "92"
"28" "CON_NTO_SJH_E_73SHCON4" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "84"
"29" "CON_NTO_SJH_E_74SHCON5" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "92"
"30" "CON_NTO_SJH_E_75SHCON6" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "92"
"31" "CON_NTO_SJH_E_76SHCON7" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "88"
"32" "CON_NTO_SJH_E_77SHCON8" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "115"
"33" "CON_NTO_SJH_E_78SHCON9" "CON_NTO" "CON" "NTO" "SJH" "E" "NTO_SJH" "88"
"34" "CON_NTO_TLC_E_31TCONS1" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "78"
"35" "CON_NTO_TLC_E_32TCONS2" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "98"
"36" "CON_NTO_TLC_E_33TCONS3" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "114"
"37" "CON_NTO_TLC_E_34TCONS4" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "95"
"38" "CON_NTO_TLC_E_35TCONS5" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "96"
"39" "CON_NTO_TLC_E_36TCONS6" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "107"
"40" "CON_NTO_TLC_E_37TCONS7" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "89"
"41" "CON_NTO_TLC_E_38TCONS8" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "104"
"42" "CON_NTO_TLC_E_39TCONS9" "CON_NTO" "CON" "NTO" "TLC" "E" "NTO_TLC" "146"
