"sample_names_Site_h" "Conservation" "Mountain1Site" "Mountain1" "Site" "ID" "sample_richness_Site_h"
"1" "CON_NTO_AAB_W_106ACON19" "CON" "NTO_AAB" "NTO" "AAB" "W" "90"
"2" "CON_NTO_AAB_W_107ACON20" "CON" "NTO_AAB" "NTO" "AAB" "W" "136"
"3" "CON_NTO_AAB_W_108ACON21" "CON" "NTO_AAB" "NTO" "AAB" "W" "90"
"4" "CON_NTO_AAB_W_109ACON22" "CON" "NTO_AAB" "NTO" "AAB" "W" "99"
"5" "CON_NTO_AAB_W_110ACON23" "CON" "NTO_AAB" "NTO" "AAB" "W" "115"
"6" "CON_NTO_AAB_W_111ACON24" "CON" "NTO_AAB" "NTO" "AAB" "W" "121"
"7" "CON_NTO_AAB_W_120ACON10" "CON" "NTO_AAB" "NTO" "AAB" "W" "44"
"8" "CON_NTO_AAB_W_121ACON11" "CON" "NTO_AAB" "NTO" "AAB" "W" "68"
"9" "CON_NTO_AAB_W_122ACON12" "CON" "NTO_AAB" "NTO" "AAB" "W" "48"
"10" "CON_NTO_AAB_W_123ACON13" "CON" "NTO_AAB" "NTO" "AAB" "W" "57"
"11" "CON_NTO_AAB_W_124ACON14" "CON" "NTO_AAB" "NTO" "AAB" "W" "36"
"12" "CON_NTO_AAB_W_125ACON15" "CON" "NTO_AAB" "NTO" "AAB" "W" "55"
"13" "CON_NTO_AAB_W_126ACON16" "CON" "NTO_AAB" "NTO" "AAB" "W" "71"
"14" "CON_NTO_AAB_W_127ACON17" "CON" "NTO_AAB" "NTO" "AAB" "W" "78"
"15" "CON_NTO_AAB_W_128ACON18" "CON" "NTO_AAB" "NTO" "AAB" "W" "63"
"16" "CON_NTO_ASB_W_79ACON1" "CON" "NTO_ASB" "NTO" "ASB" "W" "68"
"17" "CON_NTO_ASB_W_80ACON2" "CON" "NTO_ASB" "NTO" "ASB" "W" "79"
"18" "CON_NTO_ASB_W_81ACON3" "CON" "NTO_ASB" "NTO" "ASB" "W" "81"
"19" "CON_NTO_ASB_W_82ACON4" "CON" "NTO_ASB" "NTO" "ASB" "W" "98"
"20" "CON_NTO_ASB_W_83ACON5" "CON" "NTO_ASB" "NTO" "ASB" "W" "72"
"21" "CON_NTO_ASB_W_84ACON6" "CON" "NTO_ASB" "NTO" "ASB" "W" "78"
"22" "CON_NTO_ASB_W_85ACON7" "CON" "NTO_ASB" "NTO" "ASB" "W" "80"
"23" "CON_NTO_ASB_W_86ACON8" "CON" "NTO_ASB" "NTO" "ASB" "W" "62"
"24" "CON_NTO_ASB_W_87ACON9" "CON" "NTO_ASB" "NTO" "ASB" "W" "73"
"25" "CON_NTO_SJH_E_70SHCON1" "CON" "NTO_SJH" "NTO" "SJH" "E" "92"
"26" "CON_NTO_SJH_E_71SHCON2" "CON" "NTO_SJH" "NTO" "SJH" "E" "102"
"27" "CON_NTO_SJH_E_72SHCON3" "CON" "NTO_SJH" "NTO" "SJH" "E" "92"
"28" "CON_NTO_SJH_E_73SHCON4" "CON" "NTO_SJH" "NTO" "SJH" "E" "84"
"29" "CON_NTO_SJH_E_74SHCON5" "CON" "NTO_SJH" "NTO" "SJH" "E" "92"
"30" "CON_NTO_SJH_E_75SHCON6" "CON" "NTO_SJH" "NTO" "SJH" "E" "92"
"31" "CON_NTO_SJH_E_76SHCON7" "CON" "NTO_SJH" "NTO" "SJH" "E" "88"
"32" "CON_NTO_SJH_E_77SHCON8" "CON" "NTO_SJH" "NTO" "SJH" "E" "115"
"33" "CON_NTO_SJH_E_78SHCON9" "CON" "NTO_SJH" "NTO" "SJH" "E" "88"
"34" "CON_NTO_TLC_E_31TCONS1" "CON" "NTO_TLC" "NTO" "TLC" "E" "78"
"35" "CON_NTO_TLC_E_32TCONS2" "CON" "NTO_TLC" "NTO" "TLC" "E" "98"
"36" "CON_NTO_TLC_E_33TCONS3" "CON" "NTO_TLC" "NTO" "TLC" "E" "114"
"37" "CON_NTO_TLC_E_34TCONS4" "CON" "NTO_TLC" "NTO" "TLC" "E" "95"
"38" "CON_NTO_TLC_E_35TCONS5" "CON" "NTO_TLC" "NTO" "TLC" "E" "96"
"39" "CON_NTO_TLC_E_36TCONS6" "CON" "NTO_TLC" "NTO" "TLC" "E" "107"
"40" "CON_NTO_TLC_E_37TCONS7" "CON" "NTO_TLC" "NTO" "TLC" "E" "89"
"41" "CON_NTO_TLC_E_38TCONS8" "CON" "NTO_TLC" "NTO" "TLC" "E" "104"
"42" "CON_NTO_TLC_E_39TCONS9" "CON" "NTO_TLC" "NTO" "TLC" "E" "146"
