"Zotu100_P1_D08_34TCONS4_S502_N705" "Zotu101_P1_B06_71SHCON2_S508_N703" "Zotu101_P1_D05_13SHC4C1_S505_N703" "Zotu103_P1_D05_13SHC4C1_S505_N703" "Zotu103_P1_D07_35TCONS5_S506_N704" "Zotu103_P1_H04_19MMC1_S503_N703" "Zotu103_P2_G01_87ACONS9_S505_N707" "Zotu105_P3_A05_107ACON20_S507_N712" "Zotu107_P1_A01_32TCONS2_S502_N701" "Zotu108_P3_A01_85ACON7_S507_N710" "Zotu109_P1_B08_17IZPOC2_S517_N704" "Zotu10_P1_A01_32TCONS2_S502_N701" "Zotu10_P1_B06_71SHCON2_S508_N703" "Zotu10_P1_D06_74SHCON5_S517_N703" "Zotu10_P1_D08_34TCONS4_S502_N705" "Zotu10_P1_F05_15SHC6C3_S506_N703" "Zotu10_P1_H06_36TCONS6_S503_N704" "Zotu112_P1_E02_21MMC3_S517_N701" "Zotu112_P2_G02_14SHCN5C2_S517_N707" "Zotu113_P1_E02_21MMC3_S517_N701" "Zotu115_P1_H06_36TCONS6_S503_N704" "Zotu117_P1_G03_33TCONS3_S506_N702" "Zotu11_P1_B06_71SHCON2_S508_N703" "Zotu11_P1_D06_74SHCON5_S517_N703" "Zotu11_P2_A01_16IZPOC1_S502_N707" "Zotu11_P3_C03_125ACON15_S508_N711" "Zotu120_P1_G02_20MMC2_S502_N702" "Zotu122_P1_A03_38TCONS8_S503_N702" "Zotu124_P3_C05_110ACON23_S508_N712" "Zotu12_P1_E02_21MMC3_S517_N701" "Zotu138_P1_D07_35TCONS5_S506_N704" "Zotu13_P2_E02_77SHCON8_S508_N707" "Zotu142_P1_F11_78SHCON9_S508_N706" "Zotu142_P3_A05_107ACON20_S507_N712" "Zotu144_P1_A03_38TCONS8_S503_N702" "Zotu145_P1_B06_71SHCON2_S508_N703" "Zotu148_P3_C05_110ACON23_S508_N712" "Zotu14_P1_G02_20MMC2_S502_N702" "Zotu14_P2_E02_77SHCON8_S508_N707" "Zotu153_P1_B08_17IZPOC2_S517_N704" "Zotu155_P1_A01_32TCONS2_S502_N701" "Zotu15_P2_G01_87ACONS9_S505_N707" "Zotu15_P3_E04_121ACON11_S505_N712" "Zotu165_P1_B08_17IZPOC2_S517_N704" "Zotu165_P1_D05_13SHC4C1_S505_N703" "Zotu16_P1_D05_13SHC4C1_S505_N703" "Zotu16_P1_D06_74SHCON5_S517_N703" "Zotu16_P2_E03_72SHCON3_S505_N708" "Zotu17_P1_A01_32TCONS2_S502_N701" "Zotu17_P2_E02_77SHCON8_S508_N707" "Zotu182_P1_D07_35TCONS5_S506_N704" "Zotu187_P1_B06_71SHCON2_S508_N703" "Zotu18_P1_A01_32TCONS2_S502_N701" "Zotu18_P1_B06_71SHCON2_S508_N703" "Zotu18_P1_G03_33TCONS3_S506_N702" "Zotu19_P1_D05_13SHC4C1_S505_N703" "Zotu19_P1_D06_74SHCON5_S517_N703" "Zotu19_P1_F11_78SHCON9_S508_N706" "Zotu19_P1_H01_75SHCON6_S506_N701" "Zotu200_P1_D05_13SHC4C1_S505_N703" "Zotu206_P3_C06_84ACON6_S504_N701" "Zotu20_P1_A03_38TCONS8_S503_N702" "Zotu21_P1_F11_78SHCON9_S508_N706" "Zotu22_P1_D05_13SHC4C1_S505_N703" "Zotu22_P1_H09_37TCONS7_S508_N705" "Zotu23_P1_B06_71SHCON2_S508_N703" "Zotu23_P1_D05_13SHC4C1_S505_N703" "Zotu23_P1_H08_70SHCON1_S504_N705" "Zotu23_P2_E02_77SHCON8_S508_N707" "Zotu23_P3_G02_82ACON4_S506_N711" "Zotu24_P1_D08_34TCONS4_S502_N705" "Zotu24_P1_F11_78SHCON9_S508_N706" "Zotu24_P3_C04_79ACON1_S504_N712" "Zotu25_P1_H09_37TCONS7_S508_N705" "Zotu26_P1_H08_70SHCON1_S504_N705" "Zotu26_P2_E01_31TCONS1_S504_N707" "Zotu27_P1_G02_20MMC2_S502_N702" "Zotu27_P1_H04_19MMC1_S503_N703" "Zotu28_P1_A01_32TCONS2_S502_N701" "Zotu28_P2_C01_18IZTAC3_S503_N707" "Zotu29_P1_D06_74SHCON5_S517_N703" "Zotu29_P3_C03_125ACON15_S508_N711" "Zotu2_P1_A03_38TCONS8_S503_N702" "Zotu30_P1_B08_17IZPOC2_S517_N704" "Zotu30_P2_E03_72SHCON3_S505_N708" "Zotu30_P3_A05_107ACON20_S507_N712" "Zotu32_P1_B06_71SHCON2_S508_N703" "Zotu35_P1_G02_20MMC2_S502_N702" "Zotu35_P2_E03_72SHCON3_S505_N708" "Zotu37_P3_C05_110ACON23_S508_N712" "Zotu38_P1_A01_32TCONS2_S502_N701" "Zotu39_P1_D05_13SHC4C1_S505_N703" "Zotu39_P1_E02_21MMC3_S517_N701" "Zotu44_P1_A01_32TCONS2_S502_N701" "Zotu45_P2_E01_31TCONS1_S504_N707" "Zotu47_P1_A03_38TCONS8_S503_N702" "Zotu49_P1_A01_32TCONS2_S502_N701" "Zotu49_P1_H09_37TCONS7_S508_N705" "Zotu4_P3_C06_84ACON6_S504_N701" "Zotu52_P1_A01_32TCONS2_S502_N701" "Zotu53_P1_E02_21MMC3_S517_N701" "Zotu55_P1_G02_20MMC2_S502_N702" "Zotu59_P1_A01_32TCONS2_S502_N701" "Zotu61_P1_H06_36TCONS6_S503_N704" "Zotu64_P1_B08_17IZPOC2_S517_N704" "Zotu66_P2_G01_87ACONS9_S505_N707" "Zotu71_P1_A01_32TCONS2_S502_N701" "Zotu76_P1_A01_32TCONS2_S502_N701" "Zotu7_P1_H01_75SHCON6_S506_N701" "Zotu80_P1_F11_78SHCON9_S508_N706" "Zotu88_P1_B08_17IZPOC2_S517_N704" "Zotu9_P1_G03_33TCONS3_S506_N702"
"CON_NTO_SJH_E_70SHCON1" 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_SJH_E_71SHCON2" 0 1 0 0 0 1 0 0 1 1 0 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_SJH_E_72SHCON3" 0 1 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0
"CON_NTO_SJH_E_73SHCON4" 0 0 0 0 1 1 1 0 1 0 1 0 1 0 1 0 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 0 1 1 0 1 1 0
"CON_NTO_SJH_E_74SHCON5" 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_SJH_E_75SHCON6" 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0
"CON_NTO_SJH_E_76SHCON7" 1 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
"CON_NTO_SJH_E_77SHCON8" 1 0 0 0 1 1 1 0 1 0 0 1 0 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0
"CON_NTO_SJH_E_78SHCON9" 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 0 1 0 0 1 0 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0
"CON_NTO_TLC_E_31TCONS1" 0 0 0 0 1 1 1 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_TLC_E_32TCONS2" 1 0 0 0 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 0 0 1 1 1 0 0 0 0
"CON_NTO_TLC_E_33TCONS3" 1 0 0 0 1 1 1 0 1 0 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 1 1 0 0 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1
