"h_names_Site0.05" "h_ocurrence_Site0.05"
"1" "Zotu100_P3_A05_107ACON20_S507_N712" "1"
"2" "Zotu103_P1_E02_21MMC3_S517_N701" "10"
"3" "Zotu106_P3_G07_111ACON24_S502_N702" "2"
"4" "Zotu108_P1_H08_70SHCON1_S504_N705" "8"
"5" "Zotu10_P3_A07_81ACON3_S507_N701" "1"
"6" "Zotu10_P3_E01_83ACON5_S517_N710" "13"
"7" "Zotu110_P3_G06_108ACON21_S506_N701" "9"
"8" "Zotu111_P4_C10_106ACON19_S508_N707" "1"
"9" "Zotu112_P1_H04_19MMC1_S503_N703" "15"
"10" "Zotu114_P1_D07_35TCONS5_S506_N704" "3"
"11" "Zotu115_P1_B08_17IZPOC2_S517_N704" "5"
"12" "Zotu118_P1_A03_38TCONS8_S503_N702" "2"
"13" "Zotu118_P1_H09_37TCONS7_S508_N705" "1"
"14" "Zotu11_P3_E03_86ACON8_S517_N711" "1"
"15" "Zotu122_P1_E02_21MMC3_S517_N701" "1"
"16" "Zotu122_P3_E04_121ACON11_S505_N712" "1"
"17" "Zotu123_P2_G01_87ACONS9_S505_N707" "1"
"18" "Zotu123_P4_C10_106ACON19_S508_N707" "4"
"19" "Zotu128_P3_E04_121ACON11_S505_N712" "12"
"20" "Zotu131_P1_G02_20MMC2_S502_N702" "2"
"21" "Zotu134_P3_C06_84ACON6_S504_N701" "1"
"22" "Zotu135_P1_H08_70SHCON1_S504_N705" "7"
"23" "Zotu147_P1_A03_38TCONS8_S503_N702" "1"
"24" "Zotu148_P2_E03_72SHCON3_S505_N708" "8"
"25" "Zotu151_P3_C06_84ACON6_S504_N701" "1"
"26" "Zotu160_P1_G02_20MMC2_S502_N702" "1"
"27" "Zotu161_P3_G02_82ACON4_S506_N711" "1"
"28" "Zotu163_P3_G07_111ACON24_S502_N702" "2"
"29" "Zotu16_P1_F11_78SHCON9_S508_N706" "4"
"30" "Zotu174_P3_E03_86ACON8_S517_N711" "11"
"31" "Zotu17_P2_A01_16IZPOC1_S502_N707" "1"
"32" "Zotu18_P3_E03_86ACON8_S517_N711" "3"
"33" "Zotu209_P3_A05_107ACON20_S507_N712" "3"
"34" "Zotu209_P3_E03_86ACON8_S517_N711" "2"
"35" "Zotu22_P4_E03_122ACON12_S504_N704" "1"
"36" "Zotu243_P3_A01_85ACON7_S507_N710" "1"
"37" "Zotu267_P3_G02_82ACON4_S506_N711" "5"
"38" "Zotu32_P3_E03_86ACON8_S517_N711" "1"
"39" "Zotu38_P3_C05_110ACON23_S508_N712" "10"
"40" "Zotu44_P1_H01_75SHCON6_S506_N701" "1"
"41" "Zotu44_P3_G08_127ACON17_S506_N702" "1"
"42" "Zotu54_P1_B08_17IZPOC2_S517_N704" "3"
"43" "Zotu55_P2_E02_77SHCON8_S508_N707" "8"
"44" "Zotu56_P3_C03_125ACON15_S508_N711" "2"
"45" "Zotu65_P3_E03_86ACON8_S517_N711" "1"
"46" "Zotu66_P3_A02_39TCONSER9_S503_N711" "1"
"47" "Zotu89_P2_C01_18IZTAC3_S503_N707" "1"
"48" "Zotu90_P3_E03_86ACON8_S517_N711" "1"
"49" "Zotu91_P2_E01_31TCONS1_S504_N707" "2"
"50" "Zotu9_P3_C04_79ACON1_S504_N712" "2"
