"Zotu100_P4_C09_73SHCON4_S504_N707" "Zotu100_P4_E06_120ACON10_S508_N705" "Zotu101_P1_H06_36TCONS6_S503_N704" "Zotu101_P3_E03_86ACON8_S517_N711" "Zotu107_P1_F05_15SHC6C3_S506_N703" "Zotu122_P3_C03_125ACON15_S508_N711" "Zotu125_P1_H06_36TCONS6_S503_N704" "Zotu129_P1_D08_34TCONS4_S502_N705" "Zotu142_P1_H06_36TCONS6_S503_N704" "Zotu157_P3_C04_79ACON1_S504_N712" "Zotu160_P3_G06_108ACON21_S506_N701" "Zotu180_P4_C10_106ACON19_S508_N707" "Zotu201_P3_G03_126ACON16_S502_N712" "Zotu260_P3_A02_39TCONSER9_S503_N711" "Zotu49_P4_E06_120ACON10_S508_N705"
"CON_NTO_AAB_106ACON19" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
"CON_NTO_AAB_107ACON20" 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
"CON_NTO_AAB_108ACON21" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"CON_NTO_AAB_109ACON22" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_110ACON23" 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_AAB_111ACON24" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_120ACON10" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
"CON_NTO_AAB_122ACON12" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_123ACON13" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_125ACON15" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CON_NTO_AAB_126ACON16" 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
"CON_NTO_AAB_128ACON18" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0
"CON_NTO_ASB_79ACON1" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"CON_NTO_ASB_80ACON2" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_84ACON6" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"CON_NTO_ASB_86ACON8" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"CON_NTO_SJH_71SHCON2" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_SJH_72SHCON3" 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"CON_NTO_SJH_73SHCON4" 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_33TCONS3" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_34TCONS4" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"CON_NTO_TLC_36TCONS6" 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0
"CON_NTO_TLC_37TCONS7" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"CON_NTO_TLC_39TCONS9" 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0
