Number,ID,Code,Label_Metabarcoding,Locality,key,Municipality,State,Natural_Protected_Area,Key,Latitude,Longitude,Samplig_Altitude,Treatment,Key,Season,forest_type
1,31,31TCONSER1,CON_NTO_TLC_31TCONS1,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.175990,-99.761725,3323,Under conservation ,CON,Rainy,Abies religiosa
2,32,32TCONSER2,CON_NTO_TLC_32TCONS2,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.176833,-99.760806,3310,Under conservation ,CON,Rainy,Abies religiosa
3,33,33TCONSER3,CON_NTO_TLC_33TCONS3,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.177472,-99.760750,3302,Under conservation ,CON,Rainy,Abies religiosa
4,34,34TCONSER4,CON_NTO_TLC_34TCONS4,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.179472,-99.760083,3271,Under conservation ,CON,Rainy,Abies religiosa
5,35,35TCONSER5,CON_NTO_TLC_35TCONS5,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.179583,-99.759667,3264,Under conservation ,CON,Rainy,Abies religiosa
6,36,36TCONSER6,CON_NTO_TLC_36TCONS6,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.179056,-99.759333,3271,Under conservation ,CON,Rainy,Abies religiosa
7,37,37TCONSER7,CON_NTO_TLC_37TCONS7,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.179778,-99.760028,3266,Under conservation ,CON,Rainy,Abies religiosa
8,38,38TCONSER8,CON_NTO_TLC_38TCONS8,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.180361,-99.760250,3265,Under conservation ,CON,Rainy,Abies religiosa
9,39,39TCONSER9,CON_NTO_TLC_39TCONS9,Tlacotepec,TLC,Santiago Tlacotepec,Estado de México,Nevado de Toluca,NTO,19.180972,-99.759167,3245,Under conservation ,CON,Rainy,Abies religiosa
10,70,70SHCON1,CON_NTO_SJH_70SHCON1,San Juan Huertas,SJH,San Juan de las Huertas,Estado de México,Nevado de Toluca,NTO,19.189917,-99.808917,3298,Under conservation ,CON,Rainy,Abies religiosa
11,71,71SHCON2,CON_NTO_SJH_71SHCON2,San Juan Huertas,SJH,San Juan de las Huertas,Estado de México,Nevado de Toluca,NTO,19.189278,-99.808639,3303,Under conservation ,CON,Rainy,Abies religiosa
12,72,72SHCON3,CON_NTO_SJH_72SHCON3,San Juan Huertas,SJH,San Juan de las Huertas,Estado de México,Nevado de Toluca,NTO,19.188667,-99.808778,3318,Under conservation ,CON,Rainy,Abies religiosa
13,73,73SHCON4,CON_NTO_SJH_73SHCON4,San Juan Huertas,SJH,San Juan de las Huertas,Estado de México,Nevado de Toluca,NTO,19.183556,-99.811083,3386,Under conservation ,CON,Rainy,Abies religiosa
14,74,74SHCON5,CON_NTO_SJH_74SHCON5,San Juan Huertas,SJH,San Juan de las Huertas,Estado de México,Nevado de Toluca,NTO,19.184222,-99.810889,3371,Under conservation ,CON,Rainy,Abies religiosa
