,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_TLC_31TCONS1,0,134,193,422,453,422,456,508,614,5197,5149,5144,5259,5251,5230,4852,4865,4911,17555,17592,17608,17641,17698,17737,17814,17792,17780,17507,17569,17630,17762,17808,17866,18851,18901,18936,18992,19031,19076,19128,19154,19190
CON_NTO_TLC_32TCONS2,134,0,71,302,327,291,336,395,490,5263,5216,5213,5340,5331,5308,4923,4935,4981,17637,17673,17690,17723,17779,17819,17895,17873,17862,17572,17634,17694,17827,17872,17931,18915,18964,19000,19056,19095,19140,19192,19218,19254
CON_NTO_TLC_33TCONS3,193,71,0,232,260,230,266,324,422,5250,5204,5201,5337,5326,5302,4913,4925,4971,17632,17669,17685,17718,17775,17815,17891,17869,17858,17557,17619,17679,17811,17857,17915,18900,18949,18984,19041,19080,19124,19177,19203,19239
CON_NTO_TLC_34TCONS4,422,302,232,0,45,91,34,100,192,5265,5221,5222,5383,5369,5342,4939,4949,4996,17671,17708,17724,17758,17814,17854,17931,17909,17898,17562,17624,17684,17815,17860,17918,18902,18952,18987,19044,19083,19127,19180,19206,19243
CON_NTO_TLC_35TCONS5,453,327,260,45,0,68,44,106,162,5305,5261,5262,5426,5412,5384,4980,4990,5037,17713,17750,17766,17799,17856,17896,17972,17951,17940,17601,17663,17723,17854,17899,17957,18941,18990,19026,19082,19121,19166,19219,19245,19281
CON_NTO_TLC_36TCONS6,422,291,230,91,68,0,108,174,213,5352,5308,5308,5466,5453,5426,5025,5035,5082,17755,17792,17809,17842,17899,17939,18015,17993,17982,17650,17713,17773,17904,17949,18007,18991,19040,19076,19133,19172,19216,19269,19295,19331
CON_NTO_TLC_37TCONS7,456,336,266,34,44,108,0,69,160,5263,5220,5221,5386,5372,5344,4939,4949,4996,17672,17709,17726,17759,17816,17856,17932,17911,17900,17558,17620,17680,17811,17856,17914,18898,18948,18983,19040,19079,19123,19176,19202,19239
CON_NTO_TLC_38TCONS8,508,395,324,100,106,174,69,0,132,5227,5184,5186,5358,5343,5315,4906,4915,4963,17641,17678,17695,17728,17784,17825,17901,17880,17869,17518,17580,17640,17771,17816,17874,18858,18907,18943,18999,19038,19083,19136,19162,19198
CON_NTO_TLC_39TCONS9,614,490,422,192,162,213,160,132,0,5325,5284,5287,5468,5452,5422,5009,5018,5065,17745,17782,17799,17832,17889,17929,18006,17985,17974,17610,17672,17731,17862,17907,17965,18948,18998,19034,19090,19129,19174,19226,19253,19289
CON_NTO_SJH_70SHCON1,5197,5263,5250,5265,5305,5352,5263,5227,5325,0,77,139,740,664,583,415,384,359,12436,12473,12491,12524,12581,12622,12698,12678,12667,12309,12372,12432,12565,12611,12669,13654,13703,13739,13795,13834,13879,13931,13957,13993
CON_NTO_SJH_71SHCON2,5149,5216,5204,5221,5261,5308,5220,5184,5284,77,0,69,684,608,526,343,314,285,12472,12509,12527,12560,12617,12657,12734,12713,12703,12358,12421,12482,12615,12660,12719,13704,13753,13788,13845,13884,13928,13980,14006,14042
CON_NTO_SJH_72SHCON3,5144,5213,5201,5222,5262,5308,5221,5186,5287,139,69,0,616,540,458,311,287,250,12464,12501,12519,12552,12609,12649,12726,12705,12695,12365,12428,12489,12622,12668,12727,13712,13761,13796,13852,13891,13936,13987,14013,14049
CON_NTO_SJH_73SHCON4,5259,5340,5337,5383,5426,5466,5386,5358,5468,740,684,616,0,76,158,630,653,610,12297,12334,12350,12383,12439,12479,12555,12533,12522,12323,12387,12449,12585,12631,12691,13676,13724,13758,13815,13854,13898,13949,13974,14009
CON_NTO_SJH_74SHCON5,5251,5331,5326,5369,5412,5453,5372,5343,5452,664,608,540,76,0,82,570,591,546,12306,12343,12359,12392,12449,12489,12565,12543,12532,12316,12380,12442,12577,12624,12683,13669,13717,13751,13808,13847,13891,13942,13967,14003
CON_NTO_SJH_75SHCON6,5230,5308,5302,5342,5384,5426,5344,5315,5422,583,526,458,158,82,0,502,520,474,12330,12367,12383,12416,12473,12513,12589,12568,12557,12324,12388,12449,12584,12631,12690,13676,13724,13758,13815,13854,13898,13949,13975,14010
CON_NTO_SJH_76SHCON7,4852,4923,4913,4939,4980,5025,4939,4906,5009,415,343,311,630,570,502,0,40,61,12737,12774,12791,12824,12881,12921,12997,12977,12966,12662,12725,12786,12920,12965,13024,14010,14059,14093,14150,14189,14234,14285,14311,14347
CON_NTO_SJH_77SHCON8,4865,4935,4925,4949,4990,5035,4949,4915,5018,384,314,287,653,591,520,40,0,51,12729,12766,12783,12816,12874,12914,12990,12969,12959,12647,12710,12771,12904,12950,13009,13994,14043,14078,14135,14173,14218,14270,14296,14331
CON_NTO_SJH_78SHCON9,4911,4981,4971,4996,5037,5082,4996,4963,5065,359,285,250,610,546,474,61,51,0,12681,12718,12735,12768,12825,12866,12942,12921,12910,12602,12666,12726,12860,12906,12965,13950,13999,14034,14090,14129,14174,14226,14251,14287
CON_NTO_ASB_79ACON1,17555,17637,17632,17671,17713,17755,17672,17641,17745,12436,12472,12464,12297,12306,12330,12737,12729,12681,0,38,67,94,153,193,268,256,253,2559,2588,2620,2688,2713,2744,3118,3129,3125,3158,3177,3205,3209,3219,3222
CON_NTO_ASB_80ACON2,17592,17673,17669,17708,17750,17792,17709,17678,17782,12473,12509,12501,12334,12343,12367,12774,12766,12718,38,0,34,56,114,155,229,217,215,2575,2603,2634,2701,2725,2754,3117,3127,3123,3156,3174,3201,3204,3214,3217
CON_NTO_ASB_81ACON3,17608,17690,17685,17724,17766,17809,17726,17695,17799,12491,12527,12519,12350,12359,12383,12791,12783,12735,67,34,0,33,91,131,208,192,187,2607,2634,2665,2731,2755,2785,3141,3150,3146,3178,3196,3223,3226,3236,3238
CON_NTO_ASB_82ACON4,17641,17723,17718,17758,17799,17842,17759,17728,17832,12524,12560,12552,12383,12392,12416,12824,12816,12768,94,56,33,0,59,100,175,162,159,2606,2633,2664,2728,2752,2780,3126,3135,3131,3162,3179,3207,3209,3218,3220
CON_NTO_ASB_83ACON5,17698,17779,17775,17814,17856,17899,17816,17784,17889,12581,12617,12609,12439,12449,12473,12881,12874,12825,153,114,91,59,0,41,117,103,102,2632,2658,2687,2748,2771,2798,3126,3134,3129,3160,3176,3203,3204,3213,3214
CON_NTO_ASB_84ACON6,17737,17819,17815,17854,17896,17939,17856,17825,17929,12622,12657,12649,12479,12489,12513,12921,12914,12866,193,155,131,100,41,0,76,63,66,2647,2672,2700,2760,2782,2809,3124,3131,3125,3155,3171,3197,3197,3206,3207
CON_NTO_ASB_85ACON7,17814,17895,17891,17931,17972,18015,17932,17901,18006,12698,12734,12726,12555,12565,12589,12997,12990,12942,268,229,208,175,117,76,0,35,56,2666,2689,2715,2772,2792,2818,3108,3115,3108,3137,3152,3177,3176,3184,3184
CON_NTO_ASB_86ACON8,17792,17873,17869,17909,17951,17993,17911,17880,17985,12678,12713,12705,12533,12543,12568,12977,12969,12921,256,217,192,162,103,63,35,0,20,2689,2713,2740,2797,2819,2844,3141,3147,3141,3170,3185,3210,3209,3218,3217
CON_NTO_ASB_87ACON9,17780,17862,17858,17898,17940,17982,17900,17869,17974,12667,12703,12695,12522,12532,12557,12966,12959,12910,253,215,187,159,102,66,56,20,0,2703,2727,2755,2813,2835,2860,3160,3167,3160,3189,3205,3230,3229,3238,3237
CON_NTO_AAB_106ACON19,17507,17572,17557,17562,17601,17650,17558,17518,17610,12309,12358,12365,12323,12316,12324,12662,12647,12602,2559,2575,2607,2606,2632,2647,2666,2689,2703,0,68,134,276,325,387,1357,1404,1436,1493,1532,1577,1626,1652,1686
CON_NTO_AAB_107ACON20,17569,17634,17619,17624,17663,17713,17620,17580,17672,12372,12421,12428,12387,12380,12388,12725,12710,12666,2588,2603,2634,2633,2658,2672,2689,2713,2727,68,0,66,208,257,319,1291,1339,1371,1428,1467,1512,1562,1587,1622
CON_NTO_AAB_108ACON21,17630,17694,17679,17684,17723,17773,17680,17640,17731,12432,12482,12489,12449,12442,12449,12786,12771,12726,2620,2634,2665,2664,2687,2700,2715,2740,2755,134,66,0,142,191,253,1228,1276,1309,1366,1405,1449,1500,1525,1561
CON_NTO_AAB_109ACON22,17762,17827,17811,17815,17854,17904,17811,17771,17862,12565,12615,12622,12585,12577,12584,12920,12904,12860,2688,2701,2731,2728,2748,2760,2772,2797,2813,276,208,142,0,49,111,1092,1140,1174,1231,1269,1314,1366,1391,1428
CON_NTO_AAB_110ACON23,17808,17872,17857,17860,17899,17949,17856,17816,17907,12611,12660,12668,12631,12624,12631,12965,12950,12906,2713,2725,2755,2752,2771,2782,2792,2819,2835,325,257,191,49,0,62,1045,1093,1128,1185,1224,1268,1320,1346,1382
CON_NTO_AAB_111ACON24,17866,17931,17915,17918,17957,18007,17914,17874,17965,12669,12719,12727,12691,12683,12690,13024,13009,12965,2744,2754,2785,2780,2798,2809,2818,2844,2860,387,319,253,111,62,0,986,1034,1069,1126,1165,1209,1262,1288,1324
CON_NTO_AAB_120ACON10,18851,18915,18900,18902,18941,18991,18898,18858,18948,13654,13704,13712,13676,13669,13676,14010,13994,13950,3118,3117,3141,3126,3126,3124,3108,3141,3160,1357,1291,1228,1092,1045,986,0,52,93,145,184,227,283,310,350
CON_NTO_AAB_121ACON11,18901,18964,18949,18952,18990,19040,18948,18907,18998,13703,13753,13761,13724,13717,13724,14059,14043,13999,3129,3127,3150,3135,3134,3131,3115,3147,3167,1404,1339,1276,1140,1093,1034,52,0,43,94,133,176,232,259,298
CON_NTO_AAB_122ACON12,18936,19000,18984,18987,19026,19076,18983,18943,19034,13739,13788,13796,13758,13751,13758,14093,14078,14034,3125,3123,3146,3131,3129,3125,3108,3141,3160,1436,1371,1309,1174,1128,1069,93,43,0,57,96,140,193,220,259
CON_NTO_AAB_123ACON13,18992,19056,19041,19044,19082,19133,19040,18999,19090,13795,13845,13852,13815,13808,13815,14150,14135,14090,3158,3156,3178,3162,3160,3155,3137,3170,3189,1493,1428,1366,1231,1185,1126,145,94,57,0,39,84,138,165,205
CON_NTO_AAB_124ACON14,19031,19095,19080,19083,19121,19172,19079,19038,19129,13834,13884,13891,13854,13847,13854,14189,14173,14129,3177,3174,3196,3179,3176,3171,3152,3185,3205,1532,1467,1405,1269,1224,1165,184,133,96,39,0,45,100,126,166
CON_NTO_AAB_125ACON15,19076,19140,19124,19127,19166,19216,19123,19083,19174,13879,13928,13936,13898,13891,13898,14234,14218,14174,3205,3201,3223,3207,3203,3197,3177,3210,3230,1577,1512,1449,1314,1268,1209,227,176,140,84,45,0,60,85,127
CON_NTO_AAB_126ACON16,19128,19192,19177,19180,19219,19269,19176,19136,19226,13931,13980,13987,13949,13942,13949,14285,14270,14226,3209,3204,3226,3209,3204,3197,3176,3209,3229,1626,1562,1500,1366,1320,1262,283,232,193,138,100,60,0,26,67
CON_NTO_AAB_127ACON17,19154,19218,19203,19206,19245,19295,19202,19162,19253,13957,14006,14013,13974,13967,13975,14311,14296,14251,3219,3214,3236,3218,3213,3206,3184,3218,3238,1652,1587,1525,1391,1346,1288,310,259,220,165,126,85,26,0,42
CON_NTO_AAB_128ACON18,19190,19254,19239,19243,19281,19331,19239,19198,19289,13993,14042,14049,14009,14003,14010,14347,14331,14287,3222,3217,3238,3220,3214,3207,3184,3217,3237,1686,1622,1561,1428,1382,1324,350,298,259,205,166,127,67,42,0
