,CON_NTO_TLC_E_31TCONS1,CON_NTO_TLC_E_32TCONS2,CON_NTO_TLC_E_33TCONS3,CON_NTO_TLC_E_34TCONS4,CON_NTO_TLC_E_35TCONS5,CON_NTO_TLC_E_36TCONS6,CON_NTO_TLC_E_37TCONS7,CON_NTO_TLC_E_38TCONS8,CON_NTO_TLC_E_39TCONS9,CON_NTO_SJH_E_70SHCON1,CON_NTO_SJH_E_71SHCON2,CON_NTO_SJH_E_72SHCON3,CON_NTO_SJH_E_73SHCON4,CON_NTO_SJH_E_74SHCON5,CON_NTO_SJH_E_75SHCON6,CON_NTO_SJH_E_76SHCON7,CON_NTO_SJH_E_77SHCON8,CON_NTO_SJH_E_78SHCON9
CON_NTO_TLC_E_31TCONS1,0,134,193,422,453,422,456,508,614,5197,5149,5144,5259,5251,5230,4852,4865,4911
CON_NTO_TLC_E_32TCONS2,134,0,71,302,327,291,336,395,490,5263,5216,5213,5340,5331,5308,4923,4935,4981
CON_NTO_TLC_E_33TCONS3,193,71,0,232,260,230,266,324,422,5250,5204,5201,5337,5326,5302,4913,4925,4971
CON_NTO_TLC_E_34TCONS4,422,302,232,0,45,91,34,100,192,5265,5221,5222,5383,5369,5342,4939,4949,4996
CON_NTO_TLC_E_35TCONS5,453,327,260,45,0,68,44,106,162,5305,5261,5262,5426,5412,5384,4980,4990,5037
CON_NTO_TLC_E_36TCONS6,422,291,230,91,68,0,108,174,213,5352,5308,5308,5466,5453,5426,5025,5035,5082
CON_NTO_TLC_E_37TCONS7,456,336,266,34,44,108,0,69,160,5263,5220,5221,5386,5372,5344,4939,4949,4996
CON_NTO_TLC_E_38TCONS8,508,395,324,100,106,174,69,0,132,5227,5184,5186,5358,5343,5315,4906,4915,4963
CON_NTO_TLC_E_39TCONS9,614,490,422,192,162,213,160,132,0,5325,5284,5287,5468,5452,5422,5009,5018,5065
CON_NTO_SJH_E_70SHCON1,5197,5263,5250,5265,5305,5352,5263,5227,5325,0,77,139,740,664,583,415,384,359
CON_NTO_SJH_E_71SHCON2,5149,5216,5204,5221,5261,5308,5220,5184,5284,77,0,69,684,608,526,343,314,285
CON_NTO_SJH_E_72SHCON3,5144,5213,5201,5222,5262,5308,5221,5186,5287,139,69,0,616,540,458,311,287,250
CON_NTO_SJH_E_73SHCON4,5259,5340,5337,5383,5426,5466,5386,5358,5468,740,684,616,0,76,158,630,653,610
CON_NTO_SJH_E_74SHCON5,5251,5331,5326,5369,5412,5453,5372,5343,5452,664,608,540,76,0,82,570,591,546
CON_NTO_SJH_E_75SHCON6,5230,5308,5302,5342,5384,5426,5344,5315,5422,583,526,458,158,82,0,502,520,474
CON_NTO_SJH_E_76SHCON7,4852,4923,4913,4939,4980,5025,4939,4906,5009,415,343,311,630,570,502,0,40,61
CON_NTO_SJH_E_77SHCON8,4865,4935,4925,4949,4990,5035,4949,4915,5018,384,314,287,653,591,520,40,0,51
CON_NTO_SJH_E_78SHCON9,4911,4981,4971,4996,5037,5082,4996,4963,5065,359,285,250,610,546,474,61,51,0
