,CON_NTO_ASB_W_79ACON1,CON_NTO_ASB_W_80ACON2,CON_NTO_ASB_W_81ACON3,CON_NTO_ASB_W_82ACON4,CON_NTO_ASB_W_83ACON5,CON_NTO_ASB_W_84ACON6,CON_NTO_ASB_W_85ACON7,CON_NTO_ASB_W_86ACON8,CON_NTO_ASB_W_87ACON9,CON_NTO_AAB_W_106ACON19,CON_NTO_AAB_W_107ACON20,CON_NTO_AAB_W_108ACON21,CON_NTO_AAB_W_109ACON22,CON_NTO_AAB_W_110ACON23,CON_NTO_AAB_W_111ACON24,CON_NTO_AAB_W_120ACON10,CON_NTO_AAB_W_121ACON11,CON_NTO_AAB_W_122ACON12,CON_NTO_AAB_W_123ACON13,CON_NTO_AAB_W_124ACON14,CON_NTO_AAB_W_125ACON15,CON_NTO_AAB_W_126ACON16,CON_NTO_AAB_W_127ACON17,CON_NTO_AAB_W_128ACON18
CON_NTO_ASB_W_79ACON1,0,38,67,94,153,193,268,256,253,2559,2588,2620,2688,2713,2744,3118,3129,3125,3158,3177,3205,3209,3219,3222
CON_NTO_ASB_W_80ACON2,38,0,34,56,114,155,229,217,215,2575,2603,2634,2701,2725,2754,3117,3127,3123,3156,3174,3201,3204,3214,3217
CON_NTO_ASB_W_81ACON3,67,34,0,33,91,131,208,192,187,2607,2634,2665,2731,2755,2785,3141,3150,3146,3178,3196,3223,3226,3236,3238
CON_NTO_ASB_W_82ACON4,94,56,33,0,59,100,175,162,159,2606,2633,2664,2728,2752,2780,3126,3135,3131,3162,3179,3207,3209,3218,3220
CON_NTO_ASB_W_83ACON5,153,114,91,59,0,41,117,103,102,2632,2658,2687,2748,2771,2798,3126,3134,3129,3160,3176,3203,3204,3213,3214
CON_NTO_ASB_W_84ACON6,193,155,131,100,41,0,76,63,66,2647,2672,2700,2760,2782,2809,3124,3131,3125,3155,3171,3197,3197,3206,3207
CON_NTO_ASB_W_85ACON7,268,229,208,175,117,76,0,35,56,2666,2689,2715,2772,2792,2818,3108,3115,3108,3137,3152,3177,3176,3184,3184
CON_NTO_ASB_W_86ACON8,256,217,192,162,103,63,35,0,20,2689,2713,2740,2797,2819,2844,3141,3147,3141,3170,3185,3210,3209,3218,3217
CON_NTO_ASB_W_87ACON9,253,215,187,159,102,66,56,20,0,2703,2727,2755,2813,2835,2860,3160,3167,3160,3189,3205,3230,3229,3238,3237
CON_NTO_AAB_W_106ACON19,2559,2575,2607,2606,2632,2647,2666,2689,2703,0,68,134,276,325,387,1357,1404,1436,1493,1532,1577,1626,1652,1686
CON_NTO_AAB_W_107ACON20,2588,2603,2634,2633,2658,2672,2689,2713,2727,68,0,66,208,257,319,1291,1339,1371,1428,1467,1512,1562,1587,1622
CON_NTO_AAB_W_108ACON21,2620,2634,2665,2664,2687,2700,2715,2740,2755,134,66,0,142,191,253,1228,1276,1309,1366,1405,1449,1500,1525,1561
CON_NTO_AAB_W_109ACON22,2688,2701,2731,2728,2748,2760,2772,2797,2813,276,208,142,0,49,111,1092,1140,1174,1231,1269,1314,1366,1391,1428
CON_NTO_AAB_W_110ACON23,2713,2725,2755,2752,2771,2782,2792,2819,2835,325,257,191,49,0,62,1045,1093,1128,1185,1224,1268,1320,1346,1382
CON_NTO_AAB_W_111ACON24,2744,2754,2785,2780,2798,2809,2818,2844,2860,387,319,253,111,62,0,986,1034,1069,1126,1165,1209,1262,1288,1324
CON_NTO_AAB_W_120ACON10,3118,3117,3141,3126,3126,3124,3108,3141,3160,1357,1291,1228,1092,1045,986,0,52,93,145,184,227,283,310,350
CON_NTO_AAB_W_121ACON11,3129,3127,3150,3135,3134,3131,3115,3147,3167,1404,1339,1276,1140,1093,1034,52,0,43,94,133,176,232,259,298
CON_NTO_AAB_W_122ACON12,3125,3123,3146,3131,3129,3125,3108,3141,3160,1436,1371,1309,1174,1128,1069,93,43,0,57,96,140,193,220,259
CON_NTO_AAB_W_123ACON13,3158,3156,3178,3162,3160,3155,3137,3170,3189,1493,1428,1366,1231,1185,1126,145,94,57,0,39,84,138,165,205
CON_NTO_AAB_W_124ACON14,3177,3174,3196,3179,3176,3171,3152,3185,3205,1532,1467,1405,1269,1224,1165,184,133,96,39,0,45,100,126,166
CON_NTO_AAB_W_125ACON15,3205,3201,3223,3207,3203,3197,3177,3210,3230,1577,1512,1449,1314,1268,1209,227,176,140,84,45,0,60,85,127
CON_NTO_AAB_W_126ACON16,3209,3204,3226,3209,3204,3197,3176,3209,3229,1626,1562,1500,1366,1320,1262,283,232,193,138,100,60,0,26,67
CON_NTO_AAB_W_127ACON17,3219,3214,3236,3218,3213,3206,3184,3218,3238,1652,1587,1525,1391,1346,1288,310,259,220,165,126,85,26,0,42
CON_NTO_AAB_W_128ACON18,3222,3217,3238,3220,3214,3207,3184,3217,3237,1686,1622,1561,1428,1382,1324,350,298,259,205,166,127,67,42,0
