,CON_NTO_ASB_W_79ACON1,CON_NTO_ASB_W_80ACON2,CON_NTO_ASB_W_81ACON3,CON_NTO_ASB_W_82ACON4,CON_NTO_ASB_W_83ACON5,CON_NTO_ASB_W_84ACON6,CON_NTO_ASB_W_85ACON7,CON_NTO_ASB_W_86ACON8,CON_NTO_ASB_W_87ACON9,CON_NTO_AAB_W_106ACON19,CON_NTO_AAB_W_107ACON20,CON_NTO_AAB_W_108ACON21,CON_NTO_AAB_W_109ACON22,CON_NTO_AAB_W_110ACON23,CON_NTO_AAB_W_111ACON24,CON_NTO_AAB_W_120ACON10,CON_NTO_AAB_W_121ACON11,CON_NTO_AAB_W_122ACON12,CON_NTO_AAB_W_123ACON13,CON_NTO_AAB_W_124ACON14,CON_NTO_AAB_W_125ACON15,CON_NTO_AAB_W_126ACON16,CON_NTO_AAB_W_127ACON17,CON_NTO_AAB_W_128ACON18
CON_NTO_ASB_W_79ACON1,0,0.4545920023,0.5221977473,0.5642389095,0.6309658944,0.6611698543,0.7066939042,0.6994230018,0.6972896393,1.001718729,1.003091335,1.004657867,1.008397557,1.009673034,1.010919916,1.0302377,1.030782056,1.03078649,1.032302142,1.033258406,1.034673691,1.034612638,1.035482717,1.035635703
CON_NTO_ASB_W_80ACON2,0.4545920023,0,0.4399315077,0.4933056618,0.5922186577,0.6309659301,0.6858512656,0.6779090028,0.676079797,1.002293859,1.00360442,1.005118106,1.008747007,1.009985026,1.011188005,1.0298693,1.030385714,1.030365656,1.031859592,1.032797609,1.034198014,1.034101386,1.034959856,1.035090678
CON_NTO_ASB_W_81ACON3,0.5221977473,0.4399315077,0,0.4233987697,0.5611003782,0.609534606,0.6727467848,0.6611700069,0.6573097546,1.004165058,1.005444154,1.006925835,1.010480808,1.011693169,1.012868262,1.031071606,1.03156646,1.03153126,1.032998642,1.033916941,1.035295877,1.035176276,1.036019697,1.036134153
CON_NTO_ASB_W_82ACON4,0.5642389095,0.4933056618,0.4233987697,0,0.5095221243,0.575622082,0.6526263933,0.6408797972,0.6381422347,1.004098273,1.005332137,1.006776733,1.010255752,1.011442569,1.012587064,1.030363998,1.030840143,1.03078746,1.032243088,1.033150765,1.034522581,1.034377817,1.035215189,1.035314545
CON_NTO_ASB_W_83ACON5,0.6309658944,0.5922186577,0.5611003782,0.5095221243,0,0.4545919909,0.5989886647,0.5806022416,0.5786969578,1.005570281,1.00671481,1.008080768,1.011391262,1.012520635,1.013598716,1.030366491,1.030797577,1.030707143,1.032123068,1.032998595,1.034341642,1.034141427,1.034957132,1.035020931
CON_NTO_ASB_W_84ACON6,0.6611698543,0.6309659301,0.609534606,0.575622082,0.4545919909,0,0.5455974313,0.522197806,0.5290198507,1.006240143,1.007325701,1.008640555,1.011842465,1.012934879,1.013969853,1.030090792,1.030492939,1.030377646,1.031769633,1.032625405,1.033951574,1.033714969,1.034517726,1.034558525
CON_NTO_ASB_W_85ACON7,0.7066939042,0.6858512656,0.6727467848,0.6526263933,0.5989886647,0.5455974313,0,0.439931572,0.5036322351,1.007659356,1.008628866,1.009842453,1.012828067,1.013846672,1.01479573,1.029610432,1.029953725,1.029788261,1.031130467,1.031945413,1.033236148,1.032925874,1.033701597,1.033695584
CON_NTO_ASB_W_86ACON8,0.6994230018,0.6779090028,0.6611700069,0.6408797972,0.5806022416,0.522197806,0.439931572,0,0.3773239578,1.00878668,1.009790118,1.011028601,1.014061297,1.015095387,1.016064426,1.031113989,1.031467272,1.031313822,1.032655319,1.03347189,1.034759237,1.03446559,1.035240124,1.035242683
CON_NTO_ASB_W_87ACON9,0.6972896393,0.676079797,0.6573097546,0.6381422347,0.5786969578,0.5290198507,0.5036322351,0.3773239578,0,1.009600527,1.010621165,1.011871528,1.014925576,1.015966576,1.016944962,1.032091838,1.032449155,1.032301452,1.033640328,1.034456209,1.035739796,1.035453936,1.036226526,1.036232724
CON_NTO_AAB_W_106ACON19,1.001718729,1.002293859,1.004165058,1.004098273,1.005570281,1.006240143,1.007659356,1.00878668,1.009600527,0,0.5316647517,0.6154153632,0.7097432293,0.7315666859,0.7530531041,0.9219771983,0.9263649403,0.9294428628,0.9343276465,0.9379200336,0.9417446505,0.9457844156,0.9483596206,0.9510777724
CON_NTO_AAB_W_107ACON20,1.003091335,1.00360442,1.005444154,1.005332137,1.00671481,1.007325701,1.008628866,1.009790118,1.010621165,0.5316647517,0,0.5159197116,0.6702792625,0.6989153058,0.7258028247,0.9148935114,0.9195262738,0.922781783,0.9279007368,0.9316643773,0.9356568697,0.9399069667,0.9425909176,0.9454405986
CON_NTO_AAB_W_108ACON21,1.004657867,1.005118106,1.006925835,1.006776733,1.008080768,1.008640555,1.009842453,1.011028601,1.011871528,0.6154153632,0.5159197116,0,0.6212105521,0.6609595515,0.6957229561,0.9084315065,0.91330961,0.9167470432,0.9220877961,0.9260157122,0.9301646781,0.9346286546,0.9374145768,0.9403955095
CON_NTO_AAB_W_109ACON22,1.008397557,1.008747007,1.010480808,1.010255752,1.011391262,1.011842465,1.012828067,1.014061297,1.014925576,0.7097432293,0.6702792625,0.6212105521,0,0.4832023122,0.5851926894,0.8930692235,0.8985908341,0.9025091199,0.908409481,0.9127535756,0.9172917853,0.9223104305,0.9253492069,0.9286655392
CON_NTO_AAB_W_110ACON23,1.009673034,1.009985026,1.011693169,1.011442569,1.012520635,1.012934879,1.013846672,1.015095387,1.015966576,0.7315666859,0.6989153058,0.6609595515,0.4832023122,0,0.5036324048,0.8871947738,0.8929813222,0.8970966848,0.9032240955,0.907736408,0.9124312276,0.9176723997,0.9208119801,0.924261813
CON_NTO_AAB_W_111ACON24,1.010919916,1.011188005,1.012868262,1.012587064,1.013598716,1.013969853,1.01479573,1.016064426,1.016944962,0.7530531041,0.7258028247,0.6957229561,0.5851926894,0.5036324048,0,0.8798375561,0.8859624199,0.8903241018,0.8967497504,0.9014796945,0.9063806834,0.9118950118,0.9151653122,0.918779947
CON_NTO_AAB_W_120ACON10,1.0302377,1.0298693,1.031071606,1.030363998,1.030366491,1.030090792,1.029610432,1.031113989,1.032091838,0.9219771983,0.9148935114,0.9084315065,0.8930692235,0.8871947738,0.8798375561,0,0.4838287156,0.5618996218,0.6196370207,0.6532363989,0.681030761,0.7110327859,0.7247413249,0.7403564121
CON_NTO_AAB_W_121ACON11,1.030782056,1.030385714,1.03156646,1.030840143,1.030797577,1.030492939,1.029953725,1.031467272,1.032449155,0.9263649403,0.9195262738,0.91330961,0.8985908341,0.8929813222,0.8859624199,0.4838287156,0,0.4583654698,0.5619001063,0.6110706311,0.6484368475,0.685247432,0.7017937561,0.7200924023
CON_NTO_AAB_W_122ACON12,1.03078649,1.030365656,1.03153126,1.03078746,1.030707143,1.030377646,1.029788261,1.031313822,1.032301452,0.9294428628,0.922781783,0.9167470432,0.9025091199,0.8970966848,0.8903241018,0.5618996218,0.4583654698,0,0.4933064504,0.5679730565,0.6185907957,0.661178173,0.6810311699,0.7017939383
CON_NTO_AAB_W_123ACON13,1.032302142,1.031859592,1.032998642,1.032243088,1.032123068,1.031769633,1.031130467,1.032655319,1.033640328,0.9343276465,0.9279007368,0.9220877961,0.908409481,0.9032240955,0.8967497504,0.6196370207,0.5619001063,0.4933064504,0,0.4583656861,0.5541608386,0.619637257,0.6457981866,0.6729037651
CON_NTO_AAB_W_124ACON14,1.033258406,1.032797609,1.033916941,1.033150765,1.032998595,1.032625405,1.031945413,1.03347189,1.034456209,0.9379200336,0.9316643773,0.9260157122,0.9127535756,0.907736408,0.9014796945,0.6532363989,0.6110706311,0.5679730565,0.4583656861,0,0.4686864638,0.5749749718,0.6099242736,0.6448944101
CON_NTO_AAB_W_125ACON15,1.034673691,1.034198014,1.035295877,1.034522581,1.034341642,1.033951574,1.033236148,1.034759237,1.035739796,0.9417446505,0.9356568697,0.9301646781,0.9172917853,0.9124312276,0.9063806834,0.681030761,0.6484368475,0.6185907957,0.5541608386,0.4686864638,0,0.514545862,0.561899739,0.6110695767
CON_NTO_AAB_W_126ACON16,1.034612638,1.034101386,1.035176276,1.034377817,1.034141427,1.033714969,1.032925874,1.03446559,1.035453936,0.9457844156,0.9399069667,0.9346286546,0.9223104305,0.9176723997,0.9118950118,0.7110327859,0.685247432,0.661178173,0.619637257,0.5749749718,0.514545862,0,0.4233990127,0.5280313725
CON_NTO_AAB_W_127ACON17,1.035482717,1.034959856,1.036019697,1.035215189,1.034957132,1.034517726,1.033701597,1.035240124,1.036226526,0.9483596206,0.9425909176,0.9374145768,0.9253492069,0.9208119801,0.9151653122,0.7247413249,0.7017937561,0.6810311699,0.6457981866,0.6099242736,0.561899739,0.4233990127,0,0.4583655425
CON_NTO_AAB_W_128ACON18,1.035635703,1.035090678,1.036134153,1.035314545,1.035020931,1.034558525,1.033695584,1.035242683,1.036232724,0.9510777724,0.9454405986,0.9403955095,0.9286655392,0.924261813,0.918779947,0.7403564121,0.7200924023,0.7017939383,0.6729037651,0.6448944101,0.6110695767,0.5280313725,0.4583655425,0
