,CON_NTO_TLC_E_31TCONS1,CON_NTO_TLC_E_32TCONS2,CON_NTO_TLC_E_33TCONS3,CON_NTO_TLC_E_34TCONS4,CON_NTO_TLC_E_35TCONS5,CON_NTO_TLC_E_36TCONS6,CON_NTO_TLC_E_37TCONS7,CON_NTO_TLC_E_38TCONS8,CON_NTO_TLC_E_39TCONS9,CON_NTO_SJH_E_70SHCON1,CON_NTO_SJH_E_71SHCON2,CON_NTO_SJH_E_72SHCON3,CON_NTO_SJH_E_73SHCON4,CON_NTO_SJH_E_74SHCON5,CON_NTO_SJH_E_75SHCON6,CON_NTO_SJH_E_76SHCON7,CON_NTO_SJH_E_77SHCON8,CON_NTO_SJH_E_78SHCON9
CON_NTO_TLC_E_31TCONS1,0,0.613960238,0.658589786,0.7600621312,0.7725989616,0.7622500218,0.772600558,0.7862316367,0.8120533044,1.104166425,1.102846878,1.102864459,1.106175226,1.105941002,1.105515805,1.094599254,1.094880109,1.096197257
CON_NTO_TLC_E_32TCONS2,0.613960238,0,0.5280298515,0.714666274,0.7295519802,0.7120711069,0.7322784334,0.7525748015,0.7820605723,1.106144177,1.104873437,1.104932838,1.108520312,1.108252409,1.107789169,1.096828912,1.097081663,1.098395829
CON_NTO_TLC_E_33TCONS3,0.658589786,0.5280298515,0,0.6796742547,0.7005910313,0.6828066418,0.7021485772,0.7265191562,0.7629821078,1.105679095,1.104425377,1.104510432,1.108307291,1.108014415,1.107521882,1.096423948,1.096662195,1.097987965
CON_NTO_TLC_E_34TCONS4,0.7600621312,0.714666274,0.6796742547,0,0.4933051713,0.5601490101,0.4583653339,0.5756208021,0.664438433,1.10628398,1.105102187,1.105268792,1.10967567,1.109309584,1.108732355,1.097349878,1.09753837,1.098882391
CON_NTO_TLC_E_35TCONS5,0.7725989616,0.7295519802,0.7005910313,0.4933051713,0,0.5221971375,0.4686856132,0.5748173276,0.63530862,1.107500251,1.106335749,1.106511785,1.110961597,1.110589944,1.110007039,1.098668678,1.098849639,1.100186364
CON_NTO_TLC_E_36TCONS6,0.7622500218,0.7120711069,0.6828066418,0.5601490101,0.5221971375,0,0.5828737026,0.6420399735,0.673334955,1.10860449,1.1074313,1.10758695,1.111855753,1.111505367,1.110947878,1.099760562,1.099952068,1.101274511
CON_NTO_TLC_E_37TCONS7,0.772600558,0.7322784334,0.7021485772,0.4583653339,0.4686856132,0.5828737026,0,0.514544962,0.6352741048,1.106339058,1.105170471,1.105352266,1.109873249,1.109493498,1.108900433,1.097463325,1.097642601,1.09899021
CON_NTO_TLC_E_38TCONS8,0.7862316367,0.7525748015,0.7265191562,0.5756208021,0.5748173276,0.6420399735,0.514544962,0,0.6098405759,1.105504743,1.104347971,1.104551361,1.109255774,1.108854397,1.108235668,1.096661312,1.096828862,1.098188852
CON_NTO_TLC_E_39TCONS9,0.8120533044,0.7820605723,0.7629821078,0.664438433,0.63530862,0.673334955,0.6352741048,0.6098405759,0,1.108105383,1.106993226,1.107225284,1.112084778,1.11166391,1.111024253,1.099515336,1.09966166,1.101007791
CON_NTO_SJH_E_70SHCON1,1.104166425,1.106144177,1.105679095,1.10628398,1.107500251,1.10860449,1.106339058,1.105504743,1.108105383,0,0.5389718,0.619629177,0.836609293,0.8226986638,0.8042484452,0.7613038312,0.7515638768,0.7423548208
CON_NTO_SJH_E_71SHCON2,1.102846878,1.104873437,1.104425377,1.105102187,1.106335749,1.1074313,1.105170471,1.104347971,1.106993226,0.5389718,0,0.5331053005,0.8262234972,0.8112198277,0.7909841964,0.7360264647,0.725092674,0.7121420631
CON_NTO_SJH_E_72SHCON3,1.102864459,1.104932838,1.104510432,1.105268792,1.106511785,1.10758695,1.105352266,1.104551361,1.107225284,0.619629177,0.5331053005,0,0.8112195947,0.7943334158,0.7711191518,0.7243475955,0.7155943484,0.6969551736
CON_NTO_SJH_E_73SHCON4,1.106175226,1.108520312,1.108307291,1.10967567,1.110961597,1.111855753,1.109873249,1.109255774,1.112084778,0.836609293,0.8262234972,0.8112195947,0,0.53310542,0.6353062806,0.8172285286,0.8223782242,0.8131189068
CON_NTO_SJH_E_74SHCON5,1.105941002,1.108252409,1.108014415,1.109309584,1.110589944,1.111505367,1.109493498,1.108854397,1.11166391,0.8226986638,0.8112198277,0.7943334158,0.53310542,0,0.5541574388,0.8047586157,0.8098900058,0.799280993
CON_NTO_SJH_E_75SHCON6,1.105515805,1.107789169,1.107521882,1.108732355,1.110007039,1.110947878,1.108900433,1.108235668,1.111024253,0.8042484452,0.7909841964,0.7711191518,0.6353062806,0.5541574388,0,0.7885529544,0.793526956,0.7809477887
CON_NTO_SJH_E_76SHCON7,1.094599254,1.096828912,1.096423948,1.097349878,1.098668678,1.099760562,1.097463325,1.096661312,1.099515336,0.7613038312,0.7360264647,0.7243475955,0.8172285286,0.8047586157,0.7885529544,0,0.4545916928,0.5036311196
CON_NTO_SJH_E_77SHCON8,1.094880109,1.097081663,1.096662195,1.09753837,1.098849639,1.099952068,1.097642601,1.096828862,1.09966166,0.7515638768,0.725092674,0.7155943484,0.8223782242,0.8098900058,0.793526956,0.4545916928,0,0.4863137237
CON_NTO_SJH_E_78SHCON9,1.096197257,1.098395829,1.097987965,1.098882391,1.100186364,1.101274511,1.09899021,1.098188852,1.101007791,0.7423548208,0.7121420631,0.6969551736,0.8131189068,0.799280993,0.7809477887,0.5036311196,0.4863137237,0
