,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_TLC_31TCONS1,0,0.613960238,0.658589786,0.7600621312,0.7725989616,0.7622500218,0.772600558,0.7862316367,0.8120533044,1.104166425,1.102846878,1.102864459,1.106175226,1.105941002,1.105515805,1.094599254,1.094880109,1.096197257,1.328728237,1.329354941,1.32953022,1.330047023,1.330944008,1.331573858,1.332836444,1.332382019,1.332132596,1.333458093,1.334723746,1.335835582,1.338313734,1.339198954,1.340248484,1.358764169,1.359612748,1.360203084,1.361236224,1.362010919,1.362878834,1.363727817,1.364336265,1.364935457
CON_NTO_TLC_32TCONS2,0.613960238,0,0.5280298515,0.714666274,0.7295519802,0.7120711069,0.7322784334,0.7525748015,0.7820605723,1.106144177,1.104873437,1.104932838,1.108520312,1.108252409,1.107789169,1.096828912,1.097081663,1.098395829,1.330070407,1.33069716,1.33087422,1.331390469,1.332288094,1.332917984,1.334180651,1.333727929,1.333479641,1.334650123,1.33591445,1.337024764,1.339499651,1.340383768,1.34143246,1.359946628,1.360796031,1.361387532,1.362420477,1.363195311,1.364062877,1.364913812,1.365522241,1.366122551
CON_NTO_TLC_33TCONS3,0.658589786,0.5280298515,0,0.6796742547,0.7005910313,0.6828066418,0.7021485772,0.7265191562,0.7629821078,1.105679095,1.104425377,1.104510432,1.108307291,1.108014415,1.107521882,1.096423948,1.096662195,1.097987965,1.330030451,1.330657664,1.330836247,1.3313524,1.332251123,1.332881451,1.334144984,1.333693327,1.333445789,1.334500503,1.335764499,1.336874328,1.339347984,1.340231845,1.341280426,1.359800763,1.360651038,1.361243562,1.362276699,1.36305188,1.363919452,1.364772056,1.365380651,1.365981951
CON_NTO_TLC_34TCONS4,0.7600621312,0.714666274,0.6796742547,0,0.4933051713,0.5601490101,0.4583653339,0.5756208021,0.664438433,1.10628398,1.105102187,1.105268792,1.10967567,1.109309584,1.108732355,1.097349878,1.09753837,1.098882391,1.330930497,1.331558647,1.331741608,1.332257145,1.333158541,1.333789775,1.335055099,1.334606856,1.334361673,1.33506767,1.336329994,1.33743766,1.339906402,1.340788869,1.34183658,1.360367959,1.3612206,1.361816052,1.362849402,1.36362539,1.364492716,1.365350135,1.365959047,1.366563176
CON_NTO_TLC_35TCONS5,0.7725989616,0.7295519802,0.7005910313,0.4933051713,0,0.5221971375,0.4686856132,0.5748173276,0.63530862,1.107500251,1.106335749,1.106511785,1.110961597,1.110589944,1.110007039,1.098668678,1.098849639,1.100186364,1.331631199,1.332259194,1.332442459,1.332957754,1.333859048,1.334490132,1.33575516,1.33530736,1.335062461,1.335735289,1.336997044,1.338104143,1.340571641,1.341453705,1.34250103,1.361029187,1.361881905,1.362477544,1.363510718,1.364286642,1.365153783,1.366011539,1.366620374,1.367224684
CON_NTO_TLC_36TCONS6,0.7622500218,0.7120711069,0.6828066418,0.5601490101,0.5221971375,0,0.5828737026,0.6420399735,0.673334955,1.10860449,1.1074313,1.10758695,1.111855753,1.111505367,1.110947878,1.099760562,1.099952068,1.101274511,1.332071586,1.332699048,1.332880953,1.333396221,1.334296366,1.334926932,1.336190937,1.335742306,1.335496811,1.336267924,1.337529697,1.33863701,1.34110503,1.341987197,1.343034433,1.361554777,1.362406666,1.363001377,1.364034275,1.364809819,1.365676848,1.366533113,1.367141739,1.367745155
CON_NTO_TLC_37TCONS7,0.772600558,0.7322784334,0.7021485772,0.4583653339,0.4686856132,0.5828737026,0,0.514544962,0.6352741048,1.106339058,1.105170471,1.105352266,1.109873249,1.109493498,1.108900433,1.097463325,1.097642601,1.09899021,1.331061176,1.331689515,1.331873312,1.332388742,1.333290662,1.333922081,1.335187769,1.334740167,1.334495427,1.335135362,1.336397391,1.337504665,1.33997252,1.340854733,1.341902294,1.360435979,1.361289076,1.361885088,1.362918489,1.363694635,1.364561925,1.365420261,1.36602924,1.366633908
CON_NTO_TLC_38TCONS8,0.7862316367,0.7525748015,0.7265191562,0.5756208021,0.5748173276,0.6420399735,0.514544962,0,0.6098405759,1.105504743,1.104347971,1.104551361,1.109255774,1.108854397,1.108235668,1.096661312,1.096828862,1.098188852,1.330765606,1.331394423,1.331579565,1.332094979,1.33299797,1.333629852,1.334896456,1.334449723,1.334205602,1.334746299,1.33600821,1.337115179,1.339582319,1.340464359,1.341511935,1.360052461,1.360906358,1.361503284,1.362536916,1.363313411,1.364180772,1.365040581,1.365649744,1.366255292
CON_NTO_TLC_39TCONS9,0.8120533044,0.7820605723,0.7629821078,0.664438433,0.63530862,0.673334955,0.6352741048,0.6098405759,0,1.108105383,1.106993226,1.107225284,1.112084778,1.11166391,1.111024253,1.099515336,1.09966166,1.101007791,1.332314264,1.332942886,1.333129226,1.333644064,1.334547194,1.335178886,1.336445117,1.335999741,1.335756511,1.336183441,1.337443961,1.338549478,1.341013414,1.341894436,1.342941101,1.361476393,1.362330756,1.362928447,1.363961744,1.364738213,1.365605157,1.366466287,1.367075331,1.367681622
CON_NTO_SJH_70SHCON1,1.104166425,1.106144177,1.105679095,1.10628398,1.107500251,1.10860449,1.106339058,1.105504743,1.108105383,0,0.5389718,0.619629177,0.836609293,0.8226986638,0.8042484452,0.7613038312,0.7515638768,0.7423548208,1.253347918,1.254039207,1.254280876,1.254834048,1.255837241,1.256529521,1.25791526,1.257465017,1.25722359,1.255411309,1.256760834,1.257939899,1.260561673,1.261498404,1.262612951,1.282244627,1.283149019,1.283786753,1.284868336,1.285683169,1.286587514,1.28750684,1.288143483,1.288787927
CON_NTO_SJH_71SHCON2,1.102846878,1.104873437,1.104425377,1.105102187,1.106335749,1.1074313,1.105170471,1.104347971,1.106993226,0.5389718,0,0.5331053005,0.8262234972,0.8112198277,0.7909841964,0.7360264647,0.725092674,0.7121420631,1.253867719,1.254557911,1.254796684,1.255349834,1.256350651,1.257041881,1.258425548,1.257973503,1.257730784,1.256126852,1.257476041,1.258655232,1.261277391,1.262214096,1.263328173,1.2829397,1.283842257,1.284478008,1.285558848,1.286372781,1.287276758,1.288192938,1.288829064,1.289471612
CON_NTO_SJH_72SHCON3,1.102864459,1.104932838,1.104510432,1.105268792,1.106511785,1.10758695,1.105352266,1.104551361,1.107225284,0.619629177,0.5331053005,0,0.8112195947,0.7943334158,0.7711191518,0.7243475955,0.7155943484,0.6969551736,1.253609597,1.25429957,1.254535875,1.255089654,1.256089381,1.256780408,1.258163674,1.257709421,1.257465207,1.256069671,1.25742006,1.258600727,1.261226184,1.26216386,1.263278593,1.282885609,1.283786858,1.284420945,1.285501755,1.286315291,1.287219493,1.288132938,1.288768935,1.289409888
