,CON_NTO_TLC_E_31TCONS1,CON_NTO_TLC_E_32TCONS2,CON_NTO_TLC_E_33TCONS3,CON_NTO_TLC_E_34TCONS4,CON_NTO_TLC_E_35TCONS5,CON_NTO_TLC_E_36TCONS6,CON_NTO_TLC_E_37TCONS7,CON_NTO_TLC_E_38TCONS8,CON_NTO_TLC_E_39TCONS9,CON_NTO_SJH_E_70SHCON1,CON_NTO_SJH_E_71SHCON2,CON_NTO_SJH_E_72SHCON3,CON_NTO_SJH_E_73SHCON4,CON_NTO_SJH_E_74SHCON5,CON_NTO_SJH_E_75SHCON6,CON_NTO_SJH_E_76SHCON7,CON_NTO_SJH_E_77SHCON8,CON_NTO_SJH_E_78SHCON9
CON_NTO_TLC_E_31TCONS1,0,0.6205551358,0.6586073567,0.7643911037,0.7727040775,0.7642787653,0.7727042564,0.7863599728,0.8122511599,1.122426826,1.120589888,1.120165908,1.122495114,1.122457213,1.121819767,1.109655736,1.110116687,1.111964449
CON_NTO_TLC_E_32TCONS2,0.6205551358,0,0.5077678077,0.7158866514,0.7257673282,0.7107815367,0.7283985385,0.7492199153,0.7795956705,1.124977477,1.123185595,1.122799545,1.125432549,1.12535819,1.124686328,1.112428905,1.112861323,1.114711078
CON_NTO_TLC_E_33TCONS3,0.6586073567,0.5077678077,0,0.6870781194,0.7006278561,0.6866999527,0.702185648,0.7265734188,0.763080229,1.124606239,1.122829859,1.122463056,1.125292393,1.125194833,1.124497711,1.112109759,1.112528779,1.114391136
CON_NTO_TLC_E_34TCONS4,0.7643911037,0.7158866514,0.6870781194,0,0.4583662938,0.5671543023,0.4170619863,0.5642431482,0.6549975663,1.126093198,1.12439031,1.124097263,1.127597788,1.127420468,1.126641476,1.113912254,1.114278037,1.11616639
CON_NTO_TLC_E_35TCONS5,0.7727040775,0.7257673282,0.7006278561,0.4583662938,0,0.5316668848,0.4686871577,0.5748242251,0.6353237255,1.12737337,1.125679545,1.125390352,1.128896429,1.128718209,1.12794036,1.115251719,1.11561403,1.117495534
CON_NTO_TLC_E_36TCONS6,0.7642787653,0.7107815367,0.6866999527,0.5671543023,0.5316668848,0,0.5911060863,0.6464313181,0.6729163182,1.128946966,1.127242946,1.126935337,1.130227707,1.130074495,1.129325582,1.116813561,1.117188033,1.119050246
CON_NTO_TLC_E_37TCONS7,0.7727042564,0.7283985385,0.702185648,0.4170619863,0.4686871577,0.5911060863,0,0.5145474604,0.6352897734,1.125965169,1.124270734,1.12398746,1.127584147,1.127395468,1.126604296,1.113815457,1.114174369,1.116068179
CON_NTO_TLC_E_38TCONS8,0.7863599728,0.7492199153,0.7265734188,0.5642431482,0.5748242251,0.6464313181,0.5145474604,0,0.609852555,1.125058442,1.123378142,1.123114379,1.126918349,1.126705312,1.125887013,1.1129487,1.113294253,1.115203241
CON_NTO_TLC_E_39TCONS9,0.8122511599,0.7795956705,0.763080229,0.6549975663,0.6353237255,0.6729163182,0.6352897734,0.609852555,0,1.128492356,1.126848263,1.12660755,1.130546626,1.130316936,1.129486715,1.116589345,1.116916613,1.118812903
CON_NTO_SJH_E_70SHCON1,1.122426826,1.124977477,1.124606239,1.126093198,1.12737337,1.128946966,1.125965169,1.125058442,1.128492356,0,0.5389766689,0.6110759337,0.8351259153,0.8209772035,0.8036904717,0.7635707802,0.7541410202,0.7424667292
CON_NTO_SJH_E_71SHCON2,1.120589888,1.123185595,1.122829859,1.12439031,1.125679545,1.127242946,1.124270734,1.123378142,1.126848263,0.5389766689,0,0.5095235036,0.8246008086,0.8093477343,0.7900742268,0.7388796564,0.7284137624,0.7122128801
CON_NTO_SJH_E_72SHCON3,1.120165908,1.122799545,1.122463056,1.124097263,1.125390352,1.126935337,1.12398746,1.123114379,1.12660755,0.6110759337,0.5095235036,0,0.8122729913,0.7955136799,0.7738796564,0.7267826566,0.7177406438,0.6957534694
CON_NTO_SJH_E_73SHCON4,1.122495114,1.125432549,1.125292393,1.127597788,1.128896429,1.130227707,1.127584147,1.126918349,1.130546626,0.8351259153,0.8246008086,0.8122729913,0,0.533107925,0.6303790062,0.8178114751,0.8228157503,0.8117938104
CON_NTO_SJH_E_74SHCON5,1.122457213,1.12535819,1.125194833,1.127420468,1.128718209,1.130074495,1.127395468,1.126705312,1.130316936,0.8209772035,0.8093477343,0.7955136799,0.533107925,0,0.5464292797,0.8056117505,0.8105481335,0.7979035832
CON_NTO_SJH_E_75SHCON6,1.121819767,1.124686328,1.124497711,1.126641476,1.12794036,1.129325582,1.126604296,1.125887013,1.129486715,0.8036904717,0.7900742268,0.7738796564,0.6303790062,0.5464292797,0,0.7886583127,0.7936366363,0.7787021521
CON_NTO_SJH_E_76SHCON7,1.109655736,1.112428905,1.112109759,1.113912254,1.115251719,1.116813561,1.113815457,1.1129487,1.116589345,0.7635707802,0.7388796564,0.7267826566,0.8178114751,0.8056117505,0.7886583127,0,0.4545926674,0.5222006345
CON_NTO_SJH_E_77SHCON8,1.110116687,1.112861323,1.112528779,1.114278037,1.11561403,1.117188033,1.114174369,1.113294253,1.116916613,0.7541410202,0.7284137624,0.7177406438,0.8228157503,0.8105481335,0.7936366363,0.4545926674,0,0.5095235232
CON_NTO_SJH_E_78SHCON9,1.111964449,1.114711078,1.114391136,1.11616639,1.117495534,1.119050246,1.116068179,1.115203241,1.118812903,0.7424667292,0.7122128801,0.6957534694,0.8117938104,0.7979035832,0.7787021521,0.5222006345,0.5095235232,0
