,CON_NTO_ASB_W_79ACON1,CON_NTO_ASB_W_80ACON2,CON_NTO_ASB_W_81ACON3,CON_NTO_ASB_W_82ACON4,CON_NTO_ASB_W_83ACON5,CON_NTO_ASB_W_84ACON6,CON_NTO_ASB_W_85ACON7,CON_NTO_ASB_W_86ACON8,CON_NTO_ASB_W_87ACON9,CON_NTO_AAB_W_106ACON19,CON_NTO_AAB_W_107ACON20,CON_NTO_AAB_W_108ACON21,CON_NTO_AAB_W_109ACON22,CON_NTO_AAB_W_110ACON23,CON_NTO_AAB_W_111ACON24,CON_NTO_AAB_W_120ACON10,CON_NTO_AAB_W_121ACON11,CON_NTO_AAB_W_122ACON12,CON_NTO_AAB_W_123ACON13,CON_NTO_AAB_W_124ACON14,CON_NTO_AAB_W_125ACON15,CON_NTO_AAB_W_126ACON16,CON_NTO_AAB_W_127ACON17,CON_NTO_AAB_W_128ACON18
CON_NTO_ASB_W_79ACON1,0,0.4585519401,0.5323093327,0.5691152001,0.6365453514,0.6764421207,0.7260559006,0.7219660552,0.7183483842,1.093807105,1.097653095,1.102448822,1.111059733,1.114462261,1.119058744,1.210901504,1.216431508,1.221072473,1.22722901,1.230244865,1.235119932,1.241813147,1.243963499,1.248636554
CON_NTO_ASB_W_80ACON2,0.4585519401,0,0.4401160543,0.4937188197,0.5944240629,0.6446115345,0.7013766996,0.6967036738,0.6928896547,1.100497812,1.104308482,1.10907148,1.117620664,1.121001446,1.125570981,1.216988068,1.222495503,1.227117535,1.233248795,1.236252268,1.241107477,1.24777297,1.24991451,1.254568492
CON_NTO_ASB_W_81ACON3,0.5323093327,0.4401160543,0,0.423536363,0.5625192367,0.6235506744,0.6873034107,0.6793674579,0.6733384021,1.107285122,1.111082277,1.115822326,1.124333327,1.127697983,1.132244757,1.22325613,1.228742163,1.233348612,1.239450846,1.242440147,1.247271863,1.253913072,1.256046158,1.26068392
CON_NTO_ASB_W_82ACON4,0.5691152001,0.4937188197,0.423536363,0,0.5102517008,0.5910361227,0.6644318418,0.6572636708,0.6522261779,1.110822542,1.114592512,1.119313654,1.127785712,1.131138214,1.135671565,1.226493372,1.231969112,1.236565483,1.242659239,1.245644358,1.250469828,1.257097138,1.259226252,1.26385415
CON_NTO_ASB_W_83ACON5,0.6365453514,0.5944240629,0.5625192367,0.5102517008,0,0.484610247,0.6066371077,0.5954367075,0.5897161902,1.123440756,1.127163056,1.131839221,1.140226277,1.143548503,1.148044027,1.23825037,1.243693014,1.248261759,1.254318077,1.257284854,1.262080857,1.268667544,1.270783697,1.275383659
CON_NTO_ASB_W_84ACON6,0.6764421207,0.6446115345,0.6235506744,0.5910361227,0.484610247,0,0.5326962567,0.5170421731,0.5183158822,1.135414016,1.13909762,1.143739338,1.152060072,1.155359152,1.159826265,1.249573593,1.254991336,1.259538797,1.265567997,1.268521482,1.273296298,1.279851987,1.281958406,1.286536943
CON_NTO_ASB_W_85ACON7,0.7260559006,0.7013766996,0.6873034107,0.6644318418,0.6066371077,0.5326962567,0,0.424502994,0.4961802873,1.158623706,1.162254599,1.166851594,1.17508479,1.178353845,1.18278468,1.271948861,1.277334687,1.281854255,1.287849996,1.290787081,1.295535979,1.302051435,1.304145416,1.308696016
CON_NTO_ASB_W_86ACON8,0.7219660552,0.6967036738,0.6793674579,0.6572636708,0.5954367075,0.5170421731,0.424502994,0,0.3777849682,1.158234973,1.161879447,1.166477039,1.17471728,1.177985731,1.182412594,1.271459946,1.276839696,1.281357015,1.287339803,1.290270574,1.295008377,1.301518655,1.303610084,1.308157697
CON_NTO_ASB_W_87ACON9,0.7183483842,0.6928896547,0.6733384021,0.6522261779,0.5897161902,0.5183158822,0.4961802873,0.3777849682,0,1.156954694,1.160609989,1.165209844,1.173458289,1.176727654,1.181153579,1.270153767,1.275531181,1.280048393,1.286024583,1.288952144,1.293684171,1.300193084,1.302283494,1.306830544
CON_NTO_AAB_W_106ACON19,1.093807105,1.100497812,1.107285122,1.110822542,1.123440756,1.135414016,1.158623706,1.158234973,1.156954694,0,0.5317061832,0.6213822775,0.7104580275,0.7325955229,0.7566391069,0.9653351611,0.9736723657,0.9805162392,0.9897938863,0.9943056141,1.001568244,1.011179543,1.0142648,1.02085345
CON_NTO_AAB_W_107ACON20,1.097653095,1.104308482,1.111082277,1.114592512,1.127163056,1.13909762,1.162254599,1.161879447,1.160609989,0.5317061832,0,0.529067138,0.6706984639,0.6995836743,0.7294541495,0.9565990053,0.9651447188,0.972131711,0.9816622237,0.9862921916,0.9937447841,1.003530268,1.006674889,1.013369998
CON_NTO_AAB_W_108ACON21,1.102448822,1.10907148,1.115822326,1.119313654,1.131839221,1.143739338,1.166851594,1.166477039,1.165209844,0.6213822775,0.529067138,0,0.6156025472,0.6570792531,0.6964127715,0.9477003379,0.9564644221,0.9636097106,0.9733822597,0.9781255396,0.9857581998,0.995729515,0.9989347471,1.005744478
CON_NTO_AAB_W_109ACON22,1.111059733,1.117620664,1.124333327,1.127785712,1.140226277,1.152060072,1.17508479,1.17471728,1.173458289,0.7104580275,0.6706984639,0.6156025472,0,0.483231767,0.5922944679,0.9289872574,0.9382612687,0.9457636863,0.9561197331,0.9611346247,0.9691998417,0.9795862838,0.9829296297,0.9899920249
CON_NTO_AAB_W_110ACON23,1.114462261,1.121001446,1.127697983,1.131138214,1.143548503,1.155359152,1.178353845,1.177985731,1.176727654,0.7325955229,0.6995836743,0.6570792531,0.483231767,0,0.5159734593,0.921594382,0.9310859628,0.9387419546,0.9493390939,0.9544658814,0.9627084326,0.9732686009,0.9766690479,0.9838367774
CON_NTO_AAB_W_111ACON24,1.119058744,1.125570981,1.132244757,1.135671565,1.148044027,1.159826265,1.18278468,1.182412594,1.181153579,0.7566391069,0.7294541495,0.6964127715,0.5922944679,0.5159734593,0,0.9117191424,0.921515636,0.9293893775,0.9403129662,0.9455910482,0.9540723082,0.9648732774,0.9683517911,0.975665259
CON_NTO_AAB_W_120ACON10,1.210901504,1.216988068,1.22325613,1.226493372,1.23825037,1.249573593,1.271948861,1.271459946,1.270153767,0.9653351611,0.9565990053,0.9477003379,0.9289872574,0.921594382,0.9117191424,0,0.4840006199,0.5624892939,0.6302106603,0.6553858352,0.6900999068,0.7214819413,0.7309618457,0.7484128563
CON_NTO_AAB_W_121ACON11,1.216431508,1.222495503,1.228742163,1.231969112,1.243693014,1.254991336,1.277334687,1.276839696,1.275531181,0.9736723657,0.9651447188,0.9564644221,0.9382612687,0.9310859628,0.921515636,0.4840006199,0,0.4584914307,0.5763165975,0.6122235011,0.6577502189,0.6952415416,0.706313853,0.7262128377
