,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_TLC_31TCONS1,0,0.6205551358,0.6586073567,0.7643911037,0.7727040775,0.7642787653,0.7727042564,0.7863599728,0.8122511599,1.122426826,1.120589888,1.120165908,1.122495114,1.122457213,1.121819767,1.109655736,1.110116687,1.111964449,1.633237804,1.639612863,1.644851909,1.649049036,1.661248482,1.673223534,1.696831832,1.694839213,1.692516038,1.528912797,1.531401046,1.53345501,1.53828084,1.540097418,1.542411246,1.610312713,1.615337313,1.619994889,1.624811428,1.627200143,1.630967673,1.637630734,1.639658685,1.644436123
CON_NTO_TLC_32TCONS2,0.6205551358,0,0.5077678077,0.7158866514,0.7257673282,0.7107815367,0.7283985385,0.7492199153,0.7795956705,1.124977477,1.123185595,1.122799545,1.125432549,1.12535819,1.124686328,1.112428905,1.112861323,1.114711078,1.635284069,1.641659585,1.64689959,1.651096567,1.663296609,1.675271939,1.698880359,1.696888565,1.694565916,1.530877646,1.533364793,1.535417306,1.540240923,1.54205667,1.544369384,1.612263134,1.617287885,1.621945781,1.626762215,1.629150901,1.632918353,1.639581946,1.641610026,1.646387901
CON_NTO_TLC_33TCONS3,0.6586073567,0.5077678077,0,0.6870781194,0.7006278561,0.6866999527,0.702185648,0.7265734188,0.763080229,1.124606239,1.122829859,1.122463056,1.125292393,1.125194833,1.124497711,1.112109759,1.112528779,1.114391136,1.635143211,1.641519307,1.646760229,1.650957215,1.663158038,1.67513382,1.698742623,1.696751515,1.694429288,1.530672234,1.533158942,1.535210721,1.54003338,1.541848759,1.544160963,1.612054086,1.617079194,1.621737515,1.626554179,1.628942992,1.632710636,1.639374904,1.641403175,1.646181558
CON_NTO_TLC_34TCONS4,0.7643911037,0.7158866514,0.6870781194,0,0.4583662938,0.5671543023,0.4170619863,0.5642431482,0.6549975663,1.126093198,1.12439031,1.124097263,1.127597788,1.127420468,1.126641476,1.113912254,1.114278037,1.11616639,1.636634871,1.643012623,1.64825637,1.652453248,1.664656287,1.676633291,1.700243034,1.698254131,1.695933276,1.531952958,1.534437748,1.536486671,1.541305319,1.543119175,1.545429299,1.613314321,1.618340336,1.622999857,1.627816928,1.630205993,1.633973985,1.640640181,1.642668978,1.647448848
CON_NTO_TLC_35TCONS5,0.7727040775,0.7257673282,0.7006278561,0.4583662938,0,0.5316668848,0.4686871577,0.5748242251,0.6353237255,1.12737337,1.125679545,1.125390352,1.128896429,1.128718209,1.12794036,1.115251719,1.11561403,1.117495534,1.637576877,1.643954499,1.649198136,1.65339495,1.665597807,1.67757468,1.701184266,1.699195325,1.696874453,1.532897196,1.535381784,1.537430519,1.542248797,1.544062518,1.546372471,1.614254735,1.619280619,1.62394004,1.628756945,1.631145928,1.634913786,1.641579831,1.643608578,1.648388348
CON_NTO_TLC_36TCONS6,0.7642787653,0.7107815367,0.6866999527,0.5671543023,0.5316668848,0,0.5911060863,0.6464313181,0.6729163182,1.128946966,1.127242946,1.126935337,1.130227707,1.130074495,1.129325582,1.116813561,1.117188033,1.119050246,1.638608115,1.644984958,1.650227447,1.654424192,1.666625993,1.67860223,1.702211235,1.700221478,1.697900109,1.534004269,1.536489182,1.538538588,1.54335763,1.545171652,1.547482036,1.61536255,1.620387907,1.625046751,1.629863245,1.632252009,1.636019527,1.642684666,1.644713149,1.649492246
CON_NTO_TLC_37TCONS7,0.7727042564,0.7283985385,0.702185648,0.4170619863,0.4686871577,0.5911060863,0,0.5145474604,0.6352897734,1.125965169,1.124270734,1.12398746,1.127584147,1.127395468,1.126604296,1.113815457,1.114174369,1.116068179,1.636595777,1.64297381,1.648218006,1.652414885,1.664618303,1.676595524,1.700205451,1.698216885,1.695896238,1.531882006,1.534366568,1.536415119,1.541233276,1.543046944,1.545356807,1.61324139,1.618267576,1.622927303,1.62774448,1.630133604,1.633901686,1.640568208,1.642597097,1.647377215
CON_NTO_TLC_38TCONS8,0.7863599728,0.7492199153,0.7265734188,0.5642431482,0.5748242251,0.6464313181,0.5145474604,0,0.609852555,1.125058442,1.123378142,1.123114379,1.126918349,1.126705312,1.125887013,1.1129487,1.113294253,1.115203241,1.636046297,1.642425005,1.647670231,1.651867146,1.664071474,1.676049234,1.699659635,1.697671819,1.695351633,1.531262162,1.533746326,1.535794161,1.54061143,1.542424753,1.544734133,1.612619109,1.617645731,1.622305954,1.627123442,1.629512736,1.633281076,1.639948383,1.641977497,1.646758203
CON_NTO_TLC_39TCONS9,0.8122511599,0.7795956705,0.763080229,0.6549975663,0.6353237255,0.6729163182,0.6352897734,0.609852555,0,1.128492356,1.126848263,1.12660755,1.130546626,1.130316936,1.129486715,1.116589345,1.116916613,1.118812903,1.638642672,1.645021398,1.65026692,1.65446366,1.666667993,1.678645679,1.702255889,1.70026842,1.697948466,1.533821958,1.53630525,1.538352064,1.543167637,1.544980331,1.547288882,1.61516558,1.620192064,1.624852284,1.629669454,1.632058601,1.635826686,1.642494015,1.644523111,1.649303872
CON_NTO_SJH_70SHCON1,1.122426826,1.124977477,1.124606239,1.126093198,1.12737337,1.128946966,1.125965169,1.125058442,1.128492356,0,0.5389766689,0.6110759337,0.8351259153,0.8209772035,0.8036904717,0.7635707802,0.7541410202,0.7424667292,1.50425834,1.510698907,1.516018322,1.520231788,1.532521148,1.544554761,1.56822394,1.566280228,1.563985687,1.395706225,1.398222859,1.400284994,1.40515441,1.406985704,1.409315767,1.477896556,1.482974872,1.487681842,1.492553748,1.494970496,1.498783206,1.505522189,1.507573737,1.512405065
