,CON_NTO_TLC_E_31TCONS1,CON_NTO_TLC_E_32TCONS2,CON_NTO_TLC_E_33TCONS3,CON_NTO_TLC_E_34TCONS4,CON_NTO_TLC_E_35TCONS5,CON_NTO_TLC_E_36TCONS6,CON_NTO_TLC_E_37TCONS7,CON_NTO_TLC_E_38TCONS8,CON_NTO_TLC_E_39TCONS9,CON_NTO_SJH_E_70SHCON1,CON_NTO_SJH_E_71SHCON2,CON_NTO_SJH_E_72SHCON3,CON_NTO_SJH_E_73SHCON4,CON_NTO_SJH_E_74SHCON5,CON_NTO_SJH_E_75SHCON6,CON_NTO_SJH_E_76SHCON7,CON_NTO_SJH_E_77SHCON8,CON_NTO_SJH_E_78SHCON9
CON_NTO_TLC_E_31TCONS1,0,2.07204868,2.200079585,2.556485858,2.584414099,2.556915501,2.584094018,2.628932296,2.712563701,3.785127956,3.783435297,3.786249444,4.367146497,4.300955587,3.865989754,3.759686163,3.758756387,3.766196945
CON_NTO_TLC_E_32TCONS2,2.07204868,0,1.692768125,2.387335182,2.420190153,2.37060407,2.428816408,2.497392052,2.595675334,3.766671524,3.765167842,3.768119824,4.350042772,4.283693976,3.848616397,3.742236902,3.741200029,3.748612855
CON_NTO_TLC_E_33TCONS3,2.200079585,1.692768125,0,2.290444226,2.335511196,2.289445343,2.340565414,2.421037448,2.539860283,3.756828994,3.755378889,3.758386985,4.340847781,4.274420928,3.839276053,3.732615751,3.731537912,3.738975512
CON_NTO_TLC_E_34TCONS4,2.556485858,2.387335182,2.290444226,0,1.527841626,1.890267556,1.390174735,1.880420537,2.181407283,3.728013107,3.726861972,3.730122233,4.31469674,4.247954619,3.81256212,3.705263344,3.703995447,3.711453978
CON_NTO_TLC_E_35TCONS5,2.584414099,2.420190153,2.335511196,1.527841626,0,1.772052138,1.562215827,1.915584893,2.116159607,3.728335937,3.727232477,3.730518611,4.315223573,4.248458955,3.813056626,3.705872667,3.704583563,3.712018044
CON_NTO_TLC_E_36TCONS6,2.556915501,2.37060407,2.289445343,1.890267556,1.772052138,0,1.969928474,2.15353216,2.240509071,3.739437989,3.738306108,3.741545979,4.325729374,4.259037696,3.823704981,3.71691874,3.715661668,3.723051685
CON_NTO_TLC_E_37TCONS7,2.584094018,2.428816408,2.340565414,1.390174735,1.562215827,1.969928474,0,1.71495246,2.116098495,3.723380674,3.722262585,3.725554062,4.310410011,4.24362668,3.808199946,3.700780179,3.6994892,3.706956383
CON_NTO_TLC_E_38TCONS8,2.628932296,2.497392052,2.421037448,1.880420537,1.915584893,2.15353216,1.71495246,0,2.031669893,3.712857678,3.711789217,3.715136381,4.300541286,4.233679172,3.79818292,3.69044882,3.689117602,3.69661453
CON_NTO_TLC_E_39TCONS9,2.712563701,2.595675334,2.539860283,2.181407283,2.116159607,2.240509071,2.116098495,2.031669893,0,3.703963836,3.703077055,3.706541064,4.292705537,4.225722605,3.790151101,3.68257804,3.681154766,3.688594754
CON_NTO_SJH_E_70SHCON1,3.785127956,3.766671524,3.756828994,3.728013107,3.728335937,3.739437989,3.723380674,3.712857678,3.703963836,0,1.796649346,2.037135232,3.318183973,3.201307767,2.715906359,2.54734743,2.515491039,2.476508818
CON_NTO_SJH_E_71SHCON2,3.783435297,3.765167842,3.755378889,3.726861972,3.727232477,3.738306108,3.722262585,3.711789217,3.703077055,1.796649346,0,1.698464599,3.280978261,3.160310832,2.668546464,2.464593781,2.429356484,2.375218233
CON_NTO_SJH_E_72SHCON3,3.786249444,3.768119824,3.758386985,3.730122233,3.730518611,3.741545979,3.725554062,3.715136381,3.706541064,2.037135232,1.698464599,0,3.238086427,3.111869901,2.612464372,2.424211088,2.393762292,2.32024455
CON_NTO_SJH_E_73SHCON4,4.367146497,4.350042772,4.340847781,4.31469674,4.315223573,4.325729374,4.310410011,4.300541286,4.292705537,3.318183973,3.280978261,3.238086427,0,2.633944309,2.642490454,3.255116886,3.272473882,3.234265731
CON_NTO_SJH_E_74SHCON5,4.300955587,4.283693976,4.274420928,4.247954619,4.248458955,4.259037696,4.24362668,4.233679172,4.225722605,3.201307767,3.160310832,3.111869901,2.633944309,0,2.2560153,3.14893374,3.165672158,3.121271616
CON_NTO_SJH_E_75SHCON6,3.865989754,3.848616397,3.839276053,3.81256212,3.813056626,3.823704981,3.808199946,3.79818292,3.790151101,2.715906359,2.668546464,2.612464372,2.642490454,2.2560153,0,2.665624138,2.682348312,2.630449431
CON_NTO_SJH_E_76SHCON7,3.759686163,3.742236902,3.732615751,3.705263344,3.705872667,3.71691874,3.700780179,3.69044882,3.68257804,2.54734743,2.464593781,2.424211088,3.255116886,3.14893374,2.665624138,0,1.515333,1.74073896
CON_NTO_SJH_E_77SHCON8,3.758756387,3.741200029,3.731537912,3.703995447,3.704583563,3.715661668,3.6994892,3.689117602,3.681154766,2.515491039,2.429356484,2.393762292,3.272473882,3.165672158,2.682348312,1.515333,0,1.698461946
CON_NTO_SJH_E_78SHCON9,3.766196945,3.748612855,3.738975512,3.711453978,3.712018044,3.723051685,3.706956383,3.69661453,3.688594754,2.476508818,2.375218233,2.32024455,3.234265731,3.121271616,2.630449431,1.74073896,1.698461946,0
