,CON_NTO_ASB_W_79ACON1,CON_NTO_ASB_W_80ACON2,CON_NTO_ASB_W_81ACON3,CON_NTO_ASB_W_82ACON4,CON_NTO_ASB_W_83ACON5,CON_NTO_ASB_W_84ACON6,CON_NTO_ASB_W_85ACON7,CON_NTO_ASB_W_86ACON8,CON_NTO_ASB_W_87ACON9,CON_NTO_AAB_W_106ACON19,CON_NTO_AAB_W_107ACON20,CON_NTO_AAB_W_108ACON21,CON_NTO_AAB_W_109ACON22,CON_NTO_AAB_W_110ACON23,CON_NTO_AAB_W_111ACON24,CON_NTO_AAB_W_120ACON10,CON_NTO_AAB_W_121ACON11,CON_NTO_AAB_W_122ACON12,CON_NTO_AAB_W_123ACON13,CON_NTO_AAB_W_124ACON14,CON_NTO_AAB_W_125ACON15,CON_NTO_AAB_W_126ACON16,CON_NTO_AAB_W_127ACON17,CON_NTO_AAB_W_128ACON18
CON_NTO_ASB_W_79ACON1,0,1.528053357,1.772775767,1.89427981,2.113094921,2.236896189,2.374704258,2.36493799,2.356136334,3.180892329,3.254253699,3.295117878,3.349579865,3.364659396,3.382010119,4.166749302,4.179271083,4.186971711,4.19984951,4.205497984,4.214097584,4.220930249,4.223149633,4.226626508
CON_NTO_ASB_W_80ACON2,1.528053357,0,1.46659659,1.644731478,1.976154822,2.135835565,2.300101276,2.288206652,2.278421744,3.190574164,3.26370308,3.304354334,3.358416053,3.373359104,3.390543895,4.173073635,4.18547898,4.19308175,4.205837431,4.211427318,4.219935517,4.226633747,4.228811579,4.232196011
CON_NTO_ASB_W_81ACON3,1.772775767,1.46659659,0,1.411463951,1.871717267,2.068517827,2.257340451,2.235494598,2.218736948,3.200863492,3.273904146,3.314444517,3.368296317,3.383158852,3.400237315,4.181192039,4.193512361,4.201055614,4.213691196,4.219222131,4.227631495,4.234234463,4.23637815,4.239699061
CON_NTO_ASB_W_82ACON4,1.89427981,1.644731478,1.411463951,0,1.699113872,1.963137857,2.186723057,2.166596647,2.152421171,3.205240701,3.278097403,3.318487996,3.3720586,3.386830687,3.40380434,4.183444824,4.195696237,4.203173991,4.215756653,4.221263013,4.229638337,4.236159529,4.238280887,4.241544239
CON_NTO_ASB_W_83ACON5,2.113094921,1.976154822,1.871717267,1.699113872,0,1.61353943,2.005350723,1.971265018,1.953890244,3.221981519,3.29451076,3.334600834,3.387604974,3.402183365,3.418921096,4.195368703,4.207449345,4.214783384,4.227186634,4.232606852,4.240847735,4.247170716,4.249230779,4.252357622
CON_NTO_ASB_W_84ACON6,2.236896189,2.135835565,2.068517827,1.963137857,1.61353943,0,1.767824053,1.717636718,1.722078027,3.236858372,3.30911321,3.348958174,3.401500017,3.415922189,3.432471448,4.206385226,4.218329812,4.225546351,4.237814143,4.243169641,4.251311206,4.257475221,4.25948728,4.262504083
CON_NTO_ASB_W_85ACON7,2.374704258,2.300101276,2.257340451,2.186723057,2.005350723,1.767824053,0,1.412419639,1.647187132,3.263660884,3.335527126,3.3750319,3.426931663,3.441138812,3.457430597,4.227898496,4.239657307,4.246709881,4.258801554,4.26407332,4.272088556,4.278034374,4.279981912,4.282847023
CON_NTO_ASB_W_86ACON8,2.36493799,2.288206652,2.235494598,2.166596647,1.971265018,1.717636718,1.412419639,0,1.25820169,3.264693191,3.336662243,3.376226508,3.428236865,3.442471432,3.458786709,4.229386447,4.241150083,4.248221493,4.2602798,4.265533816,4.273512677,4.279467292,4.281411654,4.284285239
CON_NTO_ASB_W_87ACON9,2.356136334,2.278421744,2.218736948,2.152421171,1.953890244,1.722078027,1.647187132,1.25820169,0,3.264132023,3.336184242,3.375801828,3.427911866,3.442173707,3.458515714,4.22936132,4.241136991,4.248228306,4.260273953,4.265520763,4.27348267,4.279453532,4.281399035,4.284285436
CON_NTO_AAB_W_106ACON19,3.180892329,3.190574164,3.200863492,3.205240701,3.221981519,3.236858372,3.263660884,3.264693191,3.264132023,0,1.756164044,2.03434287,2.303126993,2.368712771,2.439301405,3.592106093,3.616473433,3.633618362,3.658880698,3.670379842,3.688108789,3.706860345,3.7127865,3.724114345
CON_NTO_AAB_W_107ACON20,3.254253699,3.26370308,3.273904146,3.278097403,3.29451076,3.30911321,3.335527126,3.336662243,3.336184242,1.756164044,0,1.758741115,2.215276102,2.305918706,2.398520086,3.626996638,3.652563153,3.670530436,3.697230143,3.709400418,3.728206295,3.747937222,3.754196493,3.766117991
CON_NTO_AAB_W_108ACON21,3.295117878,3.304354334,3.314444517,3.318487996,3.334600834,3.348958174,3.3750319,3.376226508,3.375801828,2.03434287,1.758741115,0,2.045711851,2.180371009,2.306630344,3.628849985,3.655671413,3.674543003,3.702619138,3.715428956,3.735244551,3.756004337,3.762597422,3.775147236
CON_NTO_AAB_W_109ACON22,3.349579865,3.358416053,3.368296317,3.3720586,3.387604974,3.401500017,3.426931663,3.428236865,3.427911866,2.303126993,2.215276102,2.045711851,0,1.610343081,1.972412462,3.604223648,3.633838488,3.654703348,3.685842232,3.700070249,3.722122533,3.74511647,3.752436298,3.76634049
CON_NTO_AAB_W_110ACON23,3.364659396,3.373359104,3.383158852,3.386830687,3.402183365,3.415922189,3.441138812,3.442471432,3.442173707,2.368712771,2.305918706,2.180371009,1.610343081,0,1.719383529,3.589338279,3.620108576,3.641807024,3.674164925,3.688954676,3.711885857,3.73578598,3.743395503,3.757847165
CON_NTO_AAB_W_111ACON24,3.382010119,3.390543895,3.400237315,3.40380434,3.418921096,3.432471448,3.457430597,3.458786709,3.458515714,2.439301405,2.398520086,2.306630344,1.972412462,1.719383529,0,3.567449256,3.599824523,3.622693554,3.656686788,3.672227601,3.69632603,3.721468616,3.729469161,3.744669906
CON_NTO_AAB_W_120ACON10,4.166749302,4.173073635,4.181192039,4.183444824,4.195368703,4.206385226,4.227898496,4.229386447,4.22936132,3.592106093,3.626996638,3.628849985,3.604223648,3.589338279,3.567449256,0,2.418379749,2.807224023,3.137706475,3.258184678,3.420968248,3.56191121,3.603304582,3.677034445
CON_NTO_AAB_W_121ACON11,4.179271083,4.18547898,4.193512361,4.195696237,4.207449345,4.218329812,4.239657307,4.241150083,4.241136991,3.616473433,3.652563153,3.655671413,3.633838488,3.620108576,3.599824523,2.418379749,0,2.291407777,2.875776032,3.051463957,3.270671935,3.445123533,3.495370724,3.583187712
CON_NTO_AAB_W_122ACON12,4.186971711,4.19308175,4.201055614,4.203173991,4.214783384,4.225546351,4.246709881,4.248221493,4.248228306,3.633618362,3.670530436,3.674543003,3.654703348,3.641807024,3.622693554,2.807224023,2.291407777,0,2.571859518,2.837955958,3.131407285,3.336472001,3.395627259,3.496348348
CON_NTO_AAB_W_123ACON13,4.19984951,4.205837431,4.213691196,4.215756653,4.227186634,4.237814143,4.258801554,4.2602798,4.260273953,3.658880698,3.697230143,3.702619138,3.685842232,3.674164925,3.656686788,3.137706475,2.875776032,2.571859518,0,2.1167934,2.769366553,3.099395147,3.184787686,3.325207183
CON_NTO_AAB_W_124ACON14,4.205497984,4.211427318,4.219222131,4.221263013,4.232606852,4.243169641,4.26407332,4.265533816,4.265520763,3.670379842,3.709400418,3.715428956,3.700070249,3.688954676,3.672227601,3.258184678,3.051463957,2.837955958,2.1167934,0,2.465968394,2.938070256,3.046499161,3.219306896
CON_NTO_AAB_W_125ACON15,4.214097584,4.219935517,4.227631495,4.229638337,4.240847735,4.251311206,4.272088556,4.273512677,4.27348267,3.688108789,3.728206295,3.735244551,3.722122533,3.711885857,3.69632603,3.420968248,3.270671935,3.131407285,2.769366553,2.465968394,0,2.54694517,2.731845164,3.001304499
CON_NTO_AAB_W_126ACON16,4.220930249,4.226633747,4.234234463,4.236159529,4.247170716,4.257475221,4.278034374,4.279467292,4.279453532,3.706860345,3.747937222,3.756004337,3.74511647,3.73578598,3.721468616,3.56191121,3.445123533,3.336472001,3.099395147,2.938070256,2.54694517,0,1.823141977,2.546968353
CON_NTO_AAB_W_127ACON17,4.223149633,4.228811579,4.23637815,4.238280887,4.249230779,4.25948728,4.279981912,4.281411654,4.281399035,3.7127865,3.754196493,3.762597422,3.752436298,3.743395503,3.729469161,3.603304582,3.495370724,3.395627259,3.184787686,3.046499161,2.731845164,1.823141977,0,2.291533956
CON_NTO_AAB_W_128ACON18,4.226626508,4.232196011,4.239699061,4.241544239,4.252357622,4.262504083,4.282847023,4.284285239,4.284285436,3.724114345,3.766117991,3.775147236,3.76634049,3.757847165,3.744669906,3.677034445,3.583187712,3.496348348,3.325207183,3.219306896,3.001304499,2.546968353,2.291533956,0
