,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_TLC_31TCONS1,0,2.07204868,2.200079585,2.556485858,2.584414099,2.556915501,2.584094018,2.628932296,2.712563701,3.785127956,3.783435297,3.786249444,4.367146497,4.300955587,3.865989754,3.759686163,3.758756387,3.766196945,4.732765653,4.740406101,4.744915997,4.751014307,4.765383864,4.779655083,4.807127844,4.802965456,4.799008333,4.484986573,4.557954863,4.595664366,4.64494985,4.657641721,4.671420877,5.427888102,5.440699216,5.450160583,5.46013919,5.464329263,5.469983175,5.478487525,5.480741715,5.485781244
CON_NTO_TLC_32TCONS2,2.07204868,0,1.692768125,2.387335182,2.420190153,2.37060407,2.428816408,2.497392052,2.595675334,3.766671524,3.765167842,3.768119824,4.350042772,4.283693976,3.848616397,3.742236902,3.741200029,3.748612855,4.71216782,4.719809594,4.724324093,4.730420667,4.744791523,4.759062609,4.786533752,4.782375972,4.778421915,4.464011807,4.536973485,4.574674847,4.623946098,4.636632768,4.650405126,5.406826534,5.419638665,5.429102608,5.43907926,5.443268402,5.448920265,5.457428085,5.459682899,5.464725413
CON_NTO_TLC_33TCONS3,2.200079585,1.692768125,0,2.290444226,2.335511196,2.289445343,2.340565414,2.421037448,2.539860283,3.756828994,3.755378889,3.758386985,4.340847781,4.274420928,3.839276053,3.732615751,3.731537912,3.738975512,4.70328001,4.710923648,4.715441569,4.72153782,4.735911038,4.750183291,4.777655161,4.773500077,4.769547737,4.454884756,4.52784483,4.565543384,4.61481002,4.627494921,4.641264881,5.397679769,5.410493436,5.419959565,5.429936279,5.434125465,5.43977712,5.448287958,5.450543479,5.455588384
CON_NTO_TLC_34TCONS4,2.556485858,2.387335182,2.290444226,0,1.527841626,1.890267556,1.390174735,1.880420537,2.181407283,3.728013107,3.726861972,3.730122233,4.31469674,4.247954619,3.81256212,3.705263344,3.703995447,3.711453978,4.674498635,4.682147811,4.686677794,4.692771747,4.707151636,4.721426505,4.748898612,4.744753922,4.740808315,4.425209795,4.498160113,4.535844822,4.585087936,4.597764049,4.6115223,5.367880798,5.380698936,5.390172454,5.400147562,5.40433601,5.409985323,5.418506287,5.420764013,5.42581715
CON_NTO_TLC_35TCONS5,2.584414099,2.420190153,2.335511196,1.527841626,0,1.772052138,1.562215827,1.915584893,2.116159607,3.728335937,3.727232477,3.730518611,4.315223573,4.248458955,3.813056626,3.705872667,3.704583563,3.712018044,4.673534311,4.681183179,4.685713432,4.691806861,4.706186219,4.720460524,4.747931708,4.743787599,4.739842414,4.424205774,4.497154304,4.534837113,4.584076772,4.596751659,4.610508353,5.366852054,5.379669909,5.389143462,5.399117786,5.403305854,5.408954474,5.41747545,5.419733105,5.424786342
CON_NTO_TLC_36TCONS6,2.556915501,2.37060407,2.289445343,1.890267556,1.772052138,0,1.969928474,2.15353216,2.240509071,3.739437989,3.738306108,3.741545979,4.325729374,4.259037696,3.823704981,3.71691874,3.715661668,3.723051685,4.682545747,4.690192111,4.694718489,4.700811864,4.715187938,4.729460358,4.75692991,4.752783044,4.748836148,4.433471633,4.506420714,4.544105331,4.593347686,4.606023685,4.619781992,5.376121307,5.388937084,5.398408043,5.408381638,5.41256934,5.418217649,5.426735009,5.428991754,5.4340422
CON_NTO_TLC_37TCONS7,2.584094018,2.428816408,2.340565414,1.390174735,1.562215827,1.969928474,0,1.71495246,2.116098495,3.723380674,3.722262585,3.725554062,4.310410011,4.24362668,3.808199946,3.700780179,3.6994892,3.706956383,4.670198634,4.677848739,4.682380486,4.688474234,4.702855286,4.717130711,4.744603108,4.740459843,4.736515145,4.420784492,4.493733801,4.531416918,4.580657388,4.593332497,4.607089388,5.363443331,5.376262228,5.385736863,5.39571194,5.399900379,5.405549524,5.414072028,5.41633011,5.421384475
CON_NTO_TLC_38TCONS8,2.628932296,2.497392052,2.421037448,1.880420537,1.915584893,2.15353216,1.71495246,0,2.031669893,3.712857678,3.711789217,3.715136381,4.300541286,4.233679172,3.79818292,3.69044882,3.689117602,3.69661453,4.660991543,4.668643797,4.673179229,4.679272781,4.693656593,4.707933484,4.735406945,4.731266483,4.727323551,4.411325341,4.484273289,4.521953861,4.571190243,4.583863756,4.597618446,5.353969508,5.366790178,5.37626721,5.386242588,5.390431187,5.396080294,5.404606121,5.406865004,5.411921977
CON_NTO_TLC_39TCONS9,2.712563701,2.595675334,2.539860283,2.181407283,2.116159607,2.240509071,2.116098495,2.031669893,0,3.703963836,3.703077055,3.706541064,4.292705537,4.225722605,3.790151101,3.68257804,3.681154766,3.688594754,4.648963184,4.65661599,4.661154837,4.66724663,4.681630734,4.695906899,4.723378254,4.719241549,4.715301161,4.398997877,4.47193931,4.509612207,4.558835009,4.5715036,4.585251914,5.341555023,5.354376059,5.363854868,5.373828023,5.378015556,5.383662488,5.392190675,5.394449899,5.399509006
CON_NTO_SJH_70SHCON1,3.785127956,3.766671524,3.756828994,3.728013107,3.728335937,3.739437989,3.723380674,3.712857678,3.703963836,0,1.796649346,2.037135232,3.318183973,3.201307767,2.715906359,2.54734743,2.515491039,2.476508818,4.356717521,4.36456205,4.369248194,4.37544778,4.390108366,4.404595348,4.432335587,4.428225365,4.424288812,4.101656707,4.174958084,4.212948215,4.262778861,4.275654847,4.289656396,5.049377272,5.062365949,5.071972081,5.082150177,5.086437678,5.092248655,5.100960648,5.103281727,5.108463167
