ID,Mountain,key,Region,Longitude,Latitude,Samplig_Altitude
31,CON_NTO_TLC_31TCONS1,TLC,FVTM,-99.761725,19.17599,3323
32,CON_NTO_TLC_32TCONS2,TLC,FVTM,-99.760806,19.176833,3310
33,CON_NTO_TLC_33TCONS3,TLC,FVTM,-99.76075,19.177472,3302
34,CON_NTO_TLC_34TCONS4,TLC,FVTM,-99.760083,19.179472,3271
35,CON_NTO_TLC_35TCONS5,TLC,FVTM,-99.759667,19.179583,3264
36,CON_NTO_TLC_36TCONS6,TLC,FVTM,-99.759333,19.179056,3271
37,CON_NTO_TLC_37TCONS7,TLC,FVTM,-99.760028,19.179778,3266
38,CON_NTO_TLC_38TCONS8,TLC,FVTM,-99.76025,19.180361,3265
39,CON_NTO_TLC_39TCONS9,TLC,FVTM,-99.759167,19.180972,3245
70,CON_NTO_SJH_70SHCON1,SJH,FVTM,-99.808917,19.189917,3298
71,CON_NTO_SJH_71SHCON2,SJH,FVTM,-99.808639,19.189278,3303
72,CON_NTO_SJH_72SHCON3,SJH,FVTM,-99.808778,19.188667,3318
73,CON_NTO_SJH_73SHCON4,SJH,FVTM,-99.811083,19.183556,3386
74,CON_NTO_SJH_74SHCON5,SJH,FVTM,-99.810889,19.184222,3371
75,CON_NTO_SJH_75SHCON6,SJH,FVTM,-99.810556,19.184889,3355
76,CON_NTO_SJH_76SHCON7,SJH,FVTM,-99.806361,19.187056,3288
77,CON_NTO_SJH_77SHCON8,SJH,FVTM,-99.806389,19.187417,3284
78,CON_NTO_SJH_78SHCON9,SJH,FVTM,-99.806861,19.187333,3293
79,CON_NTO_ASB_79ACON1,ASB,FVTM,-99.926639,19.2005,3053
80,CON_NTO_ASB_80ACON2,ASB,FVTM,-99.927,19.200444,3047
81,CON_NTO_ASB_81ACON3,ASB,FVTM,-99.927194,19.200194,3043
82,CON_NTO_ASB_82ACON4,ASB,FVTM,-99.9275,19.200278,3039
83,CON_NTO_ASB_83ACON5,ASB,FVTM,-99.928056,19.200194,3033
84,CON_NTO_ASB_84ACON6,ASB,FVTM,-99.928444,19.200167,3026
85,CON_NTO_ASB_85ACON7,ASB,FVTM,-99.929167,19.200222,3010
86,CON_NTO_ASB_86ACON8,ASB,FVTM,-99.929,19.199944,3014
87,CON_NTO_ASB_87ACON9,ASB,FVTM,-99.928917,19.199778,3013
106,CON_NTO_AAB_106ACON19,AAB,FVTM,-99.920694,19.222917,3143
107,CON_NTO_AAB_107ACON20,AAB,FVTM,-99.921194,19.2233,3142
108,CON_NTO_AAB_108ACON21,AAB,FVTM,-99.921667,19.223694,3136
109,CON_NTO_AAB_109ACON22,AAB,FVTM,-99.922722,19.2245,3116
110,CON_NTO_AAB_110ACON23,AAB,FVTM,-99.923083,19.224778,3109
111,CON_NTO_AAB_111ACON24,AAB,FVTM,-99.923556,19.225111,3101
120,CON_NTO_AAB_120ACON10,AAB,FVTM,-99.932371,19.228137,3046
121,CON_NTO_AAB_121ACON11,AAB,FVTM,-99.932861,19.228139,3046
122,CON_NTO_AAB_122ACON12,AAB,FVTM,-99.93325,19.228028,3040
123,CON_NTO_AAB_123ACON13,AAB,FVTM,-99.93375,19.228222,3046
124,CON_NTO_AAB_124ACON14,AAB,FVTM,-99.934111,19.228306,3049
125,CON_NTO_AAB_125ACON15,AAB,FVTM,-99.9345,19.228472,3057
126,CON_NTO_AAB_126ACON16,AAB,FVTM,-99.935056,19.228361,3052
127,CON_NTO_AAB_127ACON17,AAB,FVTM,-99.935306,19.228389,3054
128,CON_NTO_AAB_128ACON18,AAB,FVTM,-99.935694,19.228306,3051
